geoName,"afraid
"
Andaman and Nicobar Islands,85
Andhra Pradesh,21
Arunachal Pradesh,100
Assam,32
Bihar,14
Chandigarh,24
Chhattisgarh,25
Dadra and Nagar Haveli,0
Daman and Diu,0
Delhi,32
Goa,23
Gujarat,16
Haryana,26
Himachal Pradesh,36
Jammu and Kashmir,39
Jharkhand,34
Karnataka,22
Kerala,27
Lakshadweep,0
Madhya Pradesh,14
Maharashtra,21
Manipur,28
Meghalaya,82
Mizoram,57
Nagaland,70
Odisha,19
Puducherry,26
Punjab,25
Rajasthan,16
Sikkim,74
Tamil Nadu,24
Telangana,18
Tripura,21
Uttar Pradesh,18
Uttarakhand,38
West Bengal,21
