geoName,"advances
"
Andaman and Nicobar Islands,100
Andhra Pradesh,17
Arunachal Pradesh,0
Assam,11
Bihar,4
Chandigarh,16
Chhattisgarh,12
Dadra and Nagar Haveli,0
Daman and Diu,0
Delhi,16
Goa,22
Gujarat,10
Haryana,12
Himachal Pradesh,15
Jammu and Kashmir,17
Jharkhand,9
Karnataka,19
Kerala,19
Lakshadweep,0
Madhya Pradesh,6
Maharashtra,15
Manipur,9
Meghalaya,20
Mizoram,0
Nagaland,0
Odisha,11
Puducherry,69
Punjab,14
Rajasthan,6
Sikkim,0
Tamil Nadu,24
Telangana,15
Tripura,0
Uttar Pradesh,7
Uttarakhand,17
West Bengal,10
