advances,{'top':                                                 query  value
0                                  loans and advances    100
1                                    science advances     93
2                                    advances meaning     74
3                             ways and means advances     50
4                                        rsc advances     44
5                                      google scholar     15
6                                  nanoscale advances     13
7                        ways and means advances upsc     10
8                          advances in space research      7
9   advances and applications in mathematical scie...      5
10                   nanoscale advances impact factor      3, 'rising':                           query  value
0  ways and means advances upsc    170
1       ways and means advances    120
2    advances in space research     90}
