geoName,"abuse
"
Andaman and Nicobar Islands,100
Andhra Pradesh,21
Arunachal Pradesh,71
Assam,37
Bihar,16
Chandigarh,40
Chhattisgarh,31
Dadra and Nagar Haveli,0
Daman and Diu,0
Delhi,35
Goa,32
Gujarat,19
Haryana,27
Himachal Pradesh,32
Jammu and Kashmir,46
Jharkhand,24
Karnataka,27
Kerala,44
Lakshadweep,0
Madhya Pradesh,15
Maharashtra,25
Manipur,50
Meghalaya,62
Mizoram,45
Nagaland,48
Odisha,17
Puducherry,33
Punjab,33
Rajasthan,17
Sikkim,79
Tamil Nadu,35
Telangana,25
Tripura,25
Uttar Pradesh,21
Uttarakhand,29
West Bengal,23
