country,Code,population,Class,Category,HDI (2018),IHDI (2018),Gini Coefficient(%),Year and survey,Population in Multidimensional poverty (%),Population Vulnerable to Multidimensional poverty (%),Last CPI,Previous CPI,Reference last CPI,last_percent_change_CPI,HAQ_Index,Year_HAQ,"('thousands', 'Accommodation and food service activities')","('thousands', 'Agriculture, Forestry and Fishing')","('thousands', 'Construction')","('thousands', 'Education')","('thousands', 'Finantial and insurance activities')","('thousands', 'Human health and social work activities')","('thousands', 'Manufacturing')","('thousands', 'Mining and Quarrying')","('thousands', 'Other services')","('thousands', 'Public administration and defense; Compulsory social security')","('thousands', 'Real state; Business and administrative activities')","('thousands', 'Total')","('thousands', 'Transport; Storage and Communication')","('thousands', 'Utilities')","('thousands', 'Wholesale and retail trade; repair of motor vehicles')",High impacted sectors (thousands),Medium-high impacted sectors (thousands),Medium impacted sectors (thousands),Low-medium impacted sectors (thousands),Low impacted sectors (thousands),"('percent', 'Accommodation and food service activities')","('percent', 'Agriculture, Forestry and Fishing')","('percent', 'Construction')","('percent', 'Education')","('percent', 'Finantial and insurance activities')","('percent', 'Human health and social work activities')","('percent', 'Manufacturing')","('percent', 'Mining and Quarrying')","('percent', 'Other services')","('percent', 'Public administration and defense; Compulsory social security')","('percent', 'Real state; Business and administrative activities')","('percent', 'Total')","('percent', 'Transport; Storage and Communication')","('percent', 'Utilities')","('percent', 'Wholesale and retail trade; repair of motor vehicles')",Normalized_Confirmed,High impacted sectors (percent),Medium-high impacted sectors (percent),Medium impacted sectors (percent),Low-medium impacted sectors (percent),Low impacted sectors (percent),S1_SIX,S2_SIX,S3_SIX,S4_SIX,S5_SIX,S6_SIX,S7_SIX,S_1,S_10,S_11,S_12,S_13,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,StringencyIx,date_last_stringency,informality_rate,year,countrydesc,cip_2017,cipRank_2017
Afghanistan,AFG,37172386.0,Low_Income,low human development,0.49596,,,2015/2016 D,55.91024,18.13762,117.0,118.0,2020-02-01,-0.84746,32.5,2015.0,43.67,4169.823,979.94,81.476,9.26,1042.773,789.587,18.77,296.02,611.511,87.349,9845.535,622.822,8.711,1083.822,2004.428,918.842,1007.97,4169.823,1744.471,0.004436,0.423524,0.099531,0.008275,0.000941,0.105913,0.080197,0.001906,0.030066,0.06211,0.008872,1.0,0.063259,0.000885,0.110083,31.64,0.203588,0.093326,0.102378,0.423524,0.177184,0.0,0.0,66.67,66.67,100.0,66.67,66.67,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,71.43,2020-04-23,,2017.0,Afghanistan,0.001188083,143.0
Albania,ALB,2866376.0,Upper_Middle_Income,high human development,0.791406,0.70480376,29.0,2017/2018 D,0.703561,5.04032,110.0,110.0,2020-03-01,0.0,78.2,2015.0,63.145,416.655,82.687,67.087,12.875,36.828,124.126,12.269,34.246,61.527,54.293,1154.412,42.396,14.622,131.657,373.221,76.642,107.831,416.655,180.064,0.054699,0.360924,0.071627,0.058114,0.011153,0.031902,0.107523,0.010628,0.029665,0.053297,0.047031,1.0,0.036725,0.012666,0.114047,221.19,0.3233,0.066391,0.093408,0.360924,0.155979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,0.5,85.71,2020-04-23,31.9,2017.0,Albania,0.009550676999999999,109.0
Algeria,DZA,42228429.0,Upper_Middle_Income,high human development,0.758978,0.604353919,27.6,2012/2013 M,2.100729,5.836775,220.0,220.0,2020-02-01,0.0,63.7,2015.0,243.714,1067.473,1874.529,1134.219,71.775,393.658,1128.063,172.526,327.883,1733.106,193.571,10995.76,723.852,195.487,1735.902,3301.25,1051.735,2118.83,1067.473,3456.47,0.022164,0.09708,0.170477,0.103151,0.006528,0.035801,0.102591,0.01569,0.029819,0.157616,0.017604,1.0,0.06583,0.017778,0.15787,68.91,0.300229,0.095649,0.192695,0.09708,0.314346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,3.75,95.24,2020-04-23,,2017.0,Algeria,0.015269738,95.0
Andorra,AND,77006.0,High_Income,very high human development,0.856781,,,,,,,,,,94.6,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9388.88,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,71.43,2020-04-23,,,,,
Angola,AGO,30809762.0,Upper_Middle_Income,medium human development,0.574488,0.392022346,42.7,2015/2016 D,51.10411,15.54286,287.0,282.0,2020-03-01,1.77305,40.7,2015.0,105.651,6382.653,693.312,585.394,72.058,262.95,154.443,147.653,502.087,785.398,287.764,12719.38,377.374,33.404,2329.233,2877.091,879.461,913.023,6382.653,1667.146,0.008306,0.501806,0.054508,0.046024,0.005665,0.020673,0.012142,0.011609,0.039474,0.061748,0.022624,1.0,0.029669,0.002626,0.183125,0.78,0.226198,0.069143,0.071782,0.501806,0.131071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,71.43,2020-04-23,,2017.0,Angola,0.0036440490000000003,131.0
Antigua and Barbuda,ATG,,,high human development,0.776163,,,,,,,,,,66.7,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,44494502.0,Upper_Middle_Income,very high human development,0.830096,0.713737919,40.6,,,,306.0,296.0,2020-03-01,3.378378,68.4,2015.0,777.466,16.289,1662.842,1606.704,366.738,1184.029,2090.445,14.25,2874.504,1582.737,1611.151,18723.92,1411.799,173.687,3351.278,7830.34,4286.303,2043.83,16.289,4547.157,0.041523,0.00087,0.088808,0.08581,0.019587,0.063236,0.111646,0.000761,0.15352,0.08453,0.086048,1.0,0.075401,0.009276,0.178984,73.63,0.4182,0.228921,0.109156,0.00087,0.242853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,38.0,95.24,2020-04-23,,2017.0,Argentina,0.060575117000000005,51.0
Armenia,ARM,,,high human development,0.760011,0.684842104,33.6,2015/2016 D,0.186516,2.717535,132.0,131.0,2020-03-01,0.763359,67.5,2015.0,28.465,313.752,37.581,122.745,17.079,51.92,108.445,9.694,50.905,98.02,27.305,1086.158,63.888,34.64,121.721,285.936,114.793,64.354,313.752,307.325,0.026207,0.288864,0.0346,0.113008,0.015724,0.047802,0.099843,0.008925,0.046867,0.090245,0.025139,1.0,0.05882,0.031892,0.112066,,0.263255,0.105687,0.059249,0.288864,0.282947,,,,,,,,,,,,,,,,,,,,,,,39.5,2017.0,Armenia,0.01331823,99.0
Australia,AUS,24982688.0,High_Income,very high human development,0.938379,0.862000329,35.8,,,,116.0,115.0,2019-12-01,0.869565,89.8,2015.0,886.443,319.369,1197.78,1097.768,440.704,1826.148,917.458,242.096,561.068,824.729,1421.942,12736.47,1105.529,159.321,1736.111,4961.954,1666.597,1880.58,319.369,3907.966,0.069599,0.025075,0.094043,0.086191,0.034602,0.14338,0.072034,0.019008,0.044052,0.064753,0.111643,1.0,0.0868,0.012509,0.13631,266.34,0.389586,0.130852,0.147653,0.025075,0.306833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,0.25,71.43,2020-04-23,,2017.0,Australia,0.11518233300000001,30.0
Austria,AUT,8840521.0,High_Income,very high human development,0.913809,0.843172881,30.5,,,,108.0,108.0,2020-03-01,0.0,88.2,2015.0,270.625,154.856,347.457,304.94,141.122,481.536,709.243,6.726,208.067,287.563,479.246,4448.743,370.421,50.735,636.205,2095.319,578.488,495.305,154.856,1124.774,0.060832,0.034809,0.078102,0.068545,0.031722,0.108241,0.159425,0.001512,0.04677,0.064639,0.107726,1.0,0.083264,0.011404,0.143008,1688.14,0.470991,0.130034,0.111336,0.034809,0.25283,100.0,100.0,100.0,0.0,100.0,100.0,66.67,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,85.71,2020-04-23,,2017.0,Austria,0.224175154,14.0
