"OPERATOR","ADesc","Ccode","CDesc","ACode"
"M","Afghanistan","004","Afghanistan","004"
"M","Albania","008","Albania","008"
"M","Algeria","012","Algeria","012"
"M","Andorra","020","Andorra","020"
"M","Angola","024","Angola","024"
"M","Antigua and Barbuda","028","Antigua and Barbuda","028"
"M","Azerbaijan","031","Azerbaijan","031"
"M","Argentina","032","Argentina","032"
"M","Australia","036","Australia","036"
"M","Austria","040","Austria","040"
"M","Bahamas","044","Bahamas","044"
"M","Bahrain","048","Bahrain","048"
"M","Bangladesh","050","Bangladesh","050"
"M","Armenia","051","Armenia","051"
"M","Barbados","052","Barbados","052"
"M","Belgium","056","Belgium","056"
"M","Bermuda","060","Bermuda","060"
"M","Bhutan","064","Bhutan","064"
"M","Bolivia (Plurinational State of)","068","Bolivia (Plurinational State of)","068"
"M","Bosnia and Herzegovina","070","Bosnia and Herzegovina","070"
"M","Botswana","072","Botswana","072"
"M","Brazil","076","Brazil","076"
"M","Belize","084","Belize","084"
"M","Solomon Islands","090","Solomon Islands","090"
"M","British Virgin Islands","092","British Virgin Islands","092"
"M","Brunei Darussalam","096","Brunei Darussalam","096"
"M","Bulgaria","100","Bulgaria","100"
"M","Myanmar","104","Myanmar","104"
"M","Burundi","108","Burundi","108"
"M","Belarus","112","Belarus","112"
"M","Cambodia","116","Cambodia","116"
"M","Cameroon","120","Cameroon","120"
"M","Canada","124","Canada","124"
"M","Cabo Verde","132","Cabo Verde","132"
"M","Cayman Islands","136","Cayman Islands","136"
"M","Central African Republic","140","Central African Republic","140"
"M","Sri Lanka","144","Sri Lanka","144"
"M","Chad","148","Chad","148"
"M","Chile","152","Chile","152"
"M","China","156","China","156"
"M","China, Taiwan Province","158","China, Taiwan Province","158"
"M","Colombia","170","Colombia","170"
"M","Comoros","174","Comoros","174"
"M","Congo","178","Congo","178"
"M","Democratic Rep of the Congo","180","Democratic Rep of the Congo","180"
"M","Cook Islands","184","Cook Islands","184"
"M","Costa Rica","188","Costa Rica","188"
"M","Croatia","191","Croatia","191"
"M","Cuba","192","Cuba","192"
"M","Cyprus","196","Cyprus","196"
"M","Czechia","203","Czechia","203"
"M","Benin","204","Benin","204"
"M","Denmark","208","Denmark","208"
"M","Dominica","212","Dominica","212"
"M","Dominican Republic","214","Dominican Republic","214"
"M","Ecuador","218","Ecuador","218"
"M","El Salvador","222","El Salvador","222"
"M","Equatorial Guinea","226","Equatorial Guinea","226"
"M","Ethiopia","231","Ethiopia","231"
"M","Eritrea","232","Eritrea","232"
"M","Estonia","233","Estonia","233"
"M","Fiji","242","Fiji","242"
"M","Finland","246","Finland","246"
"M","France","250","France","250"
"M","French Polynesia","258","French Polynesia","258"
"M","Djibouti","262","Djibouti","262"
"M","Gabon","266","Gabon","266"
"M","Georgia","268","Georgia","268"
"M","Gambia","270","Gambia","270"
"M","State of Palestine","275","State of Palestine","275"
"M","Germany","276","Germany","276"
"M","Ghana","288","Ghana","288"
"M","Kiribati","296","Kiribati","296"
"M","Greece","300","Greece","300"
"M","Greenland","304","Greenland","304"
"M","Grenada","308","Grenada","308"
"M","Guatemala","320","Guatemala","320"
"M","Guinea","324","Guinea","324"
"M","Guyana","328","Guyana","328"
"M","Haiti","332","Haiti","332"
"M","Honduras","340","Honduras","340"
"M","China, Hong Kong SAR","344","China, Hong Kong SAR","344"
"M","Hungary","348","Hungary","348"
"M","Iceland","352","Iceland","352"
"M","India","356","India","356"
"M","Indonesia","360","Indonesia","360"
"M","Iran (Islamic Republic of)","364","Iran (Islamic Republic of)","364"
"M","Iraq","368","Iraq","368"
"M","Ireland","372","Ireland","372"
"M","Israel","376","Israel","376"
"M","Italy","380","Italy","380"
"M","Côte d'Ivoire","384","Côte d'Ivoire","384"
"M","Jamaica","388","Jamaica","388"
"M","Japan","392","Japan","392"
"M","Kazakhstan","398","Kazakhstan","398"
"M","Jordan","400","Jordan","400"
"M","Kenya","404","Kenya","404"
"M","Democratic People's Rep of Korea","408","Democratic People's Rep of Korea","408"
"M","Republic of Korea","410","Republic of Korea","410"
"M","Kuwait","414","Kuwait","414"
"M","Kyrgyzstan","417","Kyrgyzstan","417"
"M","Lao People's Dem Rep","418","Lao People's Dem Rep","418"
"M","Lebanon","422","Lebanon","422"
"M","Lesotho","426","Lesotho","426"
"M","Latvia","428","Latvia","428"
"M","Liberia","430","Liberia","430"
"M","Libya","434","Libya","434"
"M","Liechtenstein","438","Liechtenstein","438"
"M","Lithuania","440","Lithuania","440"
"M","Luxembourg","442","Luxembourg","442"
"M","China, Macao SAR","446","China, Macao SAR","446"
"M","Madagascar","450","Madagascar","450"
"M","Malawi","454","Malawi","454"
"M","Malaysia","458","Malaysia","458"
"M","Maldives","462","Maldives","462"
"M","Mali","466","Mali","466"
"M","Malta","470","Malta","470"
"M","Mauritania","478","Mauritania","478"
"M","Mauritius","480","Mauritius","480"
"M","Mexico","484","Mexico","484"
"M","Monaco","492","Monaco","492"
"M","Mongolia","496","Mongolia","496"
"M","Republic of Moldova","498","Republic of Moldova","498"
"M","Montenegro","499","Montenegro","499"
"M","Montserrat","500","Montserrat","500"
"M","Morocco","504","Morocco","504"
"M","Mozambique","508","Mozambique","508"
"M","Oman","512","Oman","512"
"M","Namibia","516","Namibia","516"
"M","Nepal","524","Nepal","524"
"M","Netherlands","528","Netherlands","528"
"M","Curaçao","531","Curaçao","531"
"M","Aruba","533","Aruba","533"
"M","New Caledonia","540","New Caledonia","540"
"M","Vanuatu","548","Vanuatu","548"
"M","New Zealand","554","New Zealand","554"
"M","Nicaragua","558","Nicaragua","558"
"M","Niger","562","Niger","562"
"M","Nigeria","566","Nigeria","566"
"M","Norway","578","Norway","578"
"M","Marshall Islands","584","Marshall Islands","584"
"M","Palau","585","Palau","585"
"M","Pakistan","586","Pakistan","586"
"M","Panama","590","Panama","590"
"M","Papua New Guinea","598","Papua New Guinea","598"
"M","Paraguay","600","Paraguay","600"
"M","Peru","604","Peru","604"
"M","Philippines","608","Philippines","608"
"M","Poland","616","Poland","616"
"M","Portugal","620","Portugal","620"
"M","Guinea-Bissau","624","Guinea-Bissau","624"
"M","Timor-Leste","626","Timor-Leste","626"
"M","Puerto Rico","630","Puerto Rico","630"
"M","Qatar","634","Qatar","634"
"M","Romania","642","Romania","642"
"M","Russian Federation","643","Russian Federation","643"
"M","Rwanda","646","Rwanda","646"
"M","Saint Kitts and Nevis","659","Saint Kitts and Nevis","659"
"M","Anguilla","660","Anguilla","660"
"M","Saint Lucia","662","Saint Lucia","662"
"M","Saint Vincent and the Grenadines","670","Saint Vincent and the Grenadines","670"
"M","San Marino","674","San Marino","674"
"M","Sao Tome and Principe","678","Sao Tome and Principe","678"
"M","Saudi Arabia","682","Saudi Arabia","682"
"M","Senegal","686","Senegal","686"
"M","Serbia","688","Serbia","688"
"M","Seychelles","690","Seychelles","690"
"M","Sierra Leone","694","Sierra Leone","694"
"M","Singapore","702","Singapore","702"
"M","Slovakia","703","Slovakia","703"
"M","Viet Nam","704","Viet Nam","704"
"M","Slovenia","705","Slovenia","705"
"M","Somalia","706","Somalia","706"
"M","South Africa","710","South Africa","710"
"M","Zimbabwe","716","Zimbabwe","716"
"M","Spain","724","Spain","724"
"M","Sudan","729","Sudan","729"
"M","Suriname","740","Suriname","740"
"M","Swaziland","748","Swaziland","748"
"M","Sweden","752","Sweden","752"
"M","Switzerland","756","Switzerland","756"
"M","Syrian Arab Republic","760","Syrian Arab Republic","760"
"M","Tajikistan","762","Tajikistan","762"
"M","Thailand","764","Thailand","764"
"M","Togo","768","Togo","768"
"M","Tonga","776","Tonga","776"
"M","Trinidad and Tobago","780","Trinidad and Tobago","780"
"M","United Arab Emirates","784","United Arab Emirates","784"
"M","Tunisia","788","Tunisia","788"
"M","Turkey","792","Turkey","792"
"M","Turkmenistan","795","Turkmenistan","795"
"M","Tuvalu","798","Tuvalu","798"
"M","Uganda","800","Uganda","800"
"M","Ukraine","804","Ukraine","804"
"M","North Macedonia","807","North Macedonia","807"
"M","Egypt","818","Egypt","818"
"M","United Kingdom","826","United Kingdom","826"
"M","United Republic of Tanzania","834","United Republic of Tanzania","834"
"M","United States of America","840","United States of America","840"
"M","Burkina Faso","854","Burkina Faso","854"
"M","Uruguay","858","Uruguay","858"
"M","Uzbekistan","860","Uzbekistan","860"
"M","Venezuela (Bolivarian Republic of)","862","Venezuela (Bolivarian Republic of)","862"
"M","Samoa","882","Samoa","882"
"M","Yemen","887","Yemen","887"
"M","Zambia","894","Zambia","894"
"A","EU-15","040","Austria","897"
"A","EU-15","056","Belgium","897"
"A","EU-15","208","Denmark","897"
"A","EU-15","246","Finland","897"
"A","EU-15","250","France","897"
"A","EU-15","276","Germany","897"
"A","EU-15","300","Greece","897"
"A","EU-15","372","Ireland","897"
"A","EU-15","380","Italy","897"
"A","EU-15","442","Luxembourg","897"
"A","EU-15","528","Netherlands","897"
"A","EU-15","620","Portugal","897"
"A","EU-15","724","Spain","897"
"A","EU-15","752","Sweden","897"
"A","EU-15","826","United Kingdom","897"
"A","EU-12","100","Bulgaria","898"
"A","EU-12","191","Croatia","898"
"A","EU-12","196","Cyprus","898"
"A","EU-12","203","Czechia","898"
"A","EU-12","233","Estonia","898"
"A","EU-12","348","Hungary","898"
"A","EU-12","428","Latvia","898"
"A","EU-12","440","Lithuania","898"
"A","EU-12","470","Malta","898"
"A","EU-12","616","Poland","898"
"A","EU-12","642","Romania","898"
"A","EU-12","703","Slovakia","898"
"A","EU-12","705","Slovenia","898"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","004","Afghanistan","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","031","Azerbaijan","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","050","Bangladesh","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","051","Armenia","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","064","Bhutan","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","090","Solomon Islands","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","096","Brunei Darussalam","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","104","Myanmar","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","116","Cambodia","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","144","Sri Lanka","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","184","Cook Islands","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","242","Fiji","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","275","State of Palestine","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","296","Kiribati","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","356","India","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","360","Indonesia","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","364","Iran (Islamic Republic of)","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","368","Iraq","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","398","Kazakhstan","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","400","Jordan","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","408","Democratic People's Rep of Korea","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","417","Kyrgyzstan","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","418","Lao People's Dem Rep","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","422","Lebanon","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","462","Maldives","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","496","Mongolia","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","512","Oman","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","524","Nepal","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","548","Vanuatu","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","584","Marshall Islands","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","585","Palau","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","586","Pakistan","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","598","Papua New Guinea","900"
