,title,url,author,date,content,is_Covid
1,'It took months to see the end of the tunnel': Gymnast opens up about how her coaches caused her eating disorder – and why she still loves the sport,https://www.asiaone.com/lifestyle/it-took-months-see-end-tunnel-gymnast-opens-about-how-her-coaches-caused-her-eating,Kimberly Anne Lim,"June 05, 2021","When she first started gymnastics at the age of eight, Joy Koh recalls being mesmerised by cartwheels and splits. But she was soon hit with a reality check. Subscribing to the ""no pain, no gain"" mindset, her coaches would body shame her and push her beyond her limits, the 36-year-old tells AsiaOne. ""If a child is crying and puking, it's correct [to them], because the more pain you're in, the more progress there is,"" she says of her coaches. The constant abuse even caused her to develop a host of eating disorders, from body dysmorphia to bulimia. Now an accomplished coach herself, Joy says she's determined not to let her students go through the same thing. She's also had a whirlwind stint on television as part of the cast of The Apprentice: One Championship Edition, competing with 15 other contestants for the chance to win a one year job with the sports media company and US$250,000 (S$331,121). While her pitch on developing the company's brand in the children's sport industry didn't get her far (she was 'fired' in the fifth week of the competition), Joy says the experience was ""amazing"" and further cemented her passion for working with kids. [embed]https://www.instagram.com/p/CMnyzSIHAI7/[/embed] Enduring eight years of abuse Back when she first took up gymnastics, her parents had objected as they were afraid of her getting injured, Joy recalls. But she insisted as she was drawn to the sport. So when her coaches began berating her for being ""too fat"", she felt like she had nowhere to turn. ""I couldn't tell them the struggles that I was facing in the gym. Because as soon as as I did that, they were like, 'Well, see, I told you, so you should stop.'"" The granular focus on her body was only intensified by the 'talent ID' process – her coaches would keep track of everything from bone density to the length of her arms and legs. [[nid:531043]] As someone who was naturally ""big boned"", she wasn't considered ""physically gifted"" for the sport, she explains. Whenever she couldn't get certain skills or moves down, her coaches would chalk it up to her weight, says Joy. By her teenage years, she'd developed body dysmorphia and bulimia, and also suffered late onset of puberty as a result. It was only when she left the sport at 16 that she began the process of working through everything, she says. Things got better once she was out of the toxic coaching environment, she shares, but it took her years to get back into fitness and healthy eating. ""And it doesn't happen overnight, it took months, if not years, to see the light at the end of the tunnel,"" Joy says . ""And you're like, wow, I can actually look at myself and not be terribly disgusted at what I see in the mirror."" Going back to gymnastics Despite the detrimental effect her coaches had on her, Joy says she's not giving up on the sport – which she still loves, she makes sure to emphasise. Citing Athlete A, a Netflix documentary covering the notorious sexual abuse scandal involving former US gymnastics national team doctor Larry Nassar, she acknowledges that the gymnastics field does indeed have ""a very bad rep"". Closer to home, Singaporean gymnasts have said that they were pressured to lose weight and diet. ""And so part of me wanting to come back to the sport is to have a positive influence, and to hopefully develop the sport. ""I think definitely just knowing that, somewhere, another child can be going through the same thing is part of the reason why I'm back coaching gymnastics,"" she explains. For her, seeing them surpass their limits and learn new skills is ""priceless"", she says. [embed]https://www.instagram.com/p/CLIeobDH2IG/[/embed] Since she's returned to gymnastics, she's been doing better than ever, coaching at prestigious events including International Gymnastics Camp in the US and judging at the Asian Games and World Championships. She's also landed a new gymnastics coaching gig in Thailand. Her eyes light up when she tells us about her new role as the head of gymnastics at an international school, where she'll work with kids from kindergarten, up to secondary school. ""Some coaches are very results oriented. They only want to work with talented kids. ""But I think about it this way. I'm really lucky that this child wants to sign up to do gymnastics. They want to learn so we're here to support them completely and help them in their journey."" kimberlylim@asiaone.com ",FALSE
2,'Everyone watching makes me feel uneasy': Students speak up on mental health struggles during home-based learning,https://www.asiaone.com/singapore/everyone-watching-makes-me-feel-uneasy-students-speak-mental-health-struggles-during-home,Mardhiah Haslan,"June 01, 2021","These days, Natasha Osman would sit in front of her laptop, her fingers fiddling with the wire of her earphones as she waited for her turn to speak. For the National University of Singapore (NUS) student, she could feel the nerves running through her with each Zoom class – her palms sweaty as she prepared to answer a question. The moment the 22-year-old unmuted her microphone and opened her mouth, she felt herself freeze as the thoughts and vision of her classmates, from the Faculty of Arts & Social Sciences, blurred. She felt as though she was drowning in water as she tried to gasp for air, her lecturer's concerned voice fading in and out of her ears. As soon as the dreaded feeling was over, she muted herself while – seemingly unable to speak further – her thoughts interrupted by her cats' purring in her room. Natasha is not alone. Some students cheered while others jeered when most schools started home-based learning on May 19. For many students, home-based learning (HBL) meant – among other mental health struggles – coping with the anxiety of being seen and speaking up for participation points during lessons. ""Although I have no issue with turning on my camera,"" Natasha told AsiaOne, ""I feel immense pressure to participate during lessons especially since the majority of the modules I'm taking now have graded class participation."" Having started HBL since last year's circuit breaker, she added that an increased percentage of graded class participation meant increased competitiveness among students in the digital space. [[nid:529611]] She said: ""The competitiveness among students had worsened my discomfort and anxiety before and during lessons, especially since I find it terrifying and difficult to ideate or answer questions on the spot."" Campus Technology conducted a recent survey of over 1,000 college students in the United States, addressing the struggles they faced while learning during a pandemic. 63 per cent said their overall learning experience was worse. Meanwhile, 53 per cent of online students and 38 per cent of in-person students felt the same. ""I think I'm more productive in school than at home,"" Republic Polytechnic (RP) student Manushri Rajesvaran told AsiaOne. ""There are a lot more teamwork-based assignments that require communication among the group which is tougher to do if it is online."" Anxiety heightens online communication  Some students like Manushri, who studies human resource and psychology, find it uncomfortable to keep their microphones and cameras switched on and engage in online team discussions due to existing living conditions. ""As I live in a household of seven members, it can get quite noisy as my family members are very loud,"" the 20-year-old told AsiaOne. ""I get really anxious whenever our lecturers would ask us to turn on our camera and mic for presentations as I am afraid that they might hear the chaos around me."" ""I also struggle to present sometimes as the pressure of being put on the spot with everyone watching makes me feel uneasy,"" she added, who started HBL on May 19.  According to media reports, students are often expected to turn on their camera for the entire lesson to ensure that they stay focused. While this may help educators ensure students pay attention, the prolonged eye contact during lessons may feel uncomfortable for some. It creates the feeling as though everyone is watching, and students may be distracted as they are seemingly more aware of how they appear on camera. [[nid:529143]] Meanwhile, secondary one student Danish Muhammad Noordin has learnt to enjoy HBL, since it started on May 19. The 13-year-old told AsiaOne: ""I can wake up a bit later and end school earlier, which gives me more time to relax."" Though he was worried about his performance during lessons, he does not feel pressured when it comes to openly answering questions in class. He added: ""I would say I am a very confident person so I have no worry turning on my camera when the teacher tells me to."" Common mental health issues students face The top three common mental health struggles students face include anxiety, social connectedness, and irritation students feel at home, founder and principal psychologist at The Therapy Room (TTR) Dr Geraldine Tan told AsiaOne. She said: ""As the method of teaching is different, online learning has been tough for many students as they require a more dynamic learning environment. ""They are anxious as they cannot understand the lessons."" Additionally, being confined at home with their families is another challenge students face – some feel that their home environment is not an ideal place to work or study in. Manushri, who lives with seven family members, found it a challenge to work and study with limited space. She said: ""There will always be noise despite telling them to quieten down and they would somehow disrupt my presentations."" Given the situation, Dr Tan explained that the number of students that have sought help had increased about 10 to 15 per cent over the last year. In addition, Dr Tan shared that the recent cases are due to the ""prolonged situation that did not seem to ease but appear to be worsening"". She added: ""(We should) understand that these teens need their space from home and to find their identities."" Also, some students who struggle with mental health issues tend to seek help without their parent's knowledge as they fear being dismissed, according to media reports. Dr Tan highlighted that there are times whereby students may turn to external help instead of their school counsellors. She said there could be several reasons but the common ones include not wanting their friends to know about their struggles, some worry about the information being in their records, while others were recommended from friends to seek external help.  Mental health care tips Dr Tan suggested five ways for students to cope with their mental health struggles: 1. Stay connected with friends and family as social isolation can cause your mood to dip. 2. Include exercise as part of your daily routine to perk up your day. 3. Eat healthily as a poor diet can affect your mood and cause sluggishness. With many students holed up at home – or in their rooms – they would snack or order meals that may be balanced. 4. Have a to-do list, and keep to it. It helps to keep you on track and motivated. Strike the items off the list as you go along.  5. Instead of just watching Netflix, challenge and stimulate your brain with reading or playing board games.    SINGAPORE HELPLINES  Samaritans of Singapore: 1800-221-4444 Singapore Association for Mental Health: 1800-283-7019 Care Corner Counselling Centre (Mandarin): 1800-353-5800 Institute of Mental Health's Mental Health Helpline: 6389-2222 Silver Ribbon: 6386-1928   mardhiahhaslan@asiaone.com ",FALSE
3,"Singapore Mental Health Film Festival 2021 returns on May 22 with panel discussions, workshops",https://www.asiaone.com/lifestyle/singapore-mental-health-film-festival-2021-returns-may-22-panel-discussions-workshops,Alexander Kyle Thirumaran,"May 18, 2021","The Covid-19 pandemic has heightened concerns on mental health and a large number of Singaporeans are still challenged by it more than one year into the pandemic.  Since its founding in 2018, one event has aimed to facilitate dialogue and encourage care for mental health. Now, it also intends to shed light on the pandemic's impact on mental health in Singapore.  Running from May 22 till May 30, the Singapore Mental Health Film Festival (SMHFF) 2021 will feature film screenings, panel discussions, and workshops based on a range of mental health topics including suicide, addiction, childhood trauma, and dementia.  The films [embed]https://www.youtube.com/watch?time_continue=1&v=ZV5Ld-LhH14&feature=emb_logo[/embed] The SMHFF offers viewing of award-winning films from around the world and in this year's festival, there are nine different films, each accompanied by a panel discussion.  One of them is Happiness (2016), a 112 minute-long Hong Kong film that depicts the struggles of a young man after his mother's death. He leaves his hometown and ends up building a friendship with a middle-aged woman with Alzheimer's. The movie is accompanied by a panel discussion titled Build a Dementia-inclusive Society. ALSO READ: How sharing mental health stories helps break down taboos Another film Those Who Work (2016) from Europe focuses on a man's struggle with work life and the effects on him and his relationships after he is fired. Accompanying the film is the panel discussion Mental Health at the Workplace. In the British film Sorry We Missed You (2019), a family fights an uphill struggle against debt since the 2008 financial crash. Like in today's Covid-19 pandemic, the family also has to meet the challenge of living life in uncertain times. There will be a discussion on Covid-19 and Navigating the Demands of Change after the screening.  [embed]https://www.youtube.com/watch?v=GDQnRFqvMnY[/embed] Another panel conversation titled Covid-19: A Pandemic Of Inequality? will take place with the screening of the 2007 American film Freedom Writers. ALSO READ: Counselling in Singapore - free & affordable help for mental healthcare Pricing and workshops Virtual tickets cost $12 and include passes to a feature film, one short film, and the accompanying panel discussion. With a $45 virtual bundle, you can view four different films and attend all four of the accompanying discussions.  For physical tickets, $18 will get you a screening of one feature and one short film at the National Gallery plus access to the live panel discussion. The $30 twin feature ticket gets you two tickets to a physical film screening and an accompanying short film and panel discussion.  In addition, workshops would also be held during the event. They include a HIIT workout, a yoga class with sound healing, why playfulness is beneficial, and other classes aimed at combating mental health issues. The workshop prices range from $15 to $35.  To make a booking visit their website.  ALSO READ: Dealing with depression: How following a daily routine can help manage emotional well-being alexanderkt@asiaone.com ",TRUE
4,"Woman, 19, rescued after sitting on 27th-floor ledge of Sengkang HDB block for 3 hours",https://www.asiaone.com/singapore/woman-19-rescued-after-sitting-27th-floor-ledge-sengkang-hdb-block-3-hours,Alexander Kyle Thirumaran,"April 09, 2021","Residents in Sengkang craned their necks as they watched a rescue take place at an HDB block on Wednesday (April 7) evening. A 19-year-old woman had been sitting on the ledge of the stairwell on the 27th floor of Block 443C, Fernvale Road, the Singapore Civil Defence Force (SCDF) said. In a video of the incident posted on Facebook, the woman is seen sitting against a railing on a staircase ledge of the block. [embed]https://www.facebook.com/permalink.php?story_fbid=1311967642517617&id=100011131819480&__cft__[0]=AZWG-M2gA8X077BhqYA6fbxM7wf1VRs[/embed] Both SCDF and the police said they were alerted to the incident at about 6.45pm that day. Upon arrival, the police cordoned off the surrounding area and the SCDF deployed a safety life air pack on the ground floor. A Disaster Assistance and Rescue Team was also on standby at the scene. Officers managed to rescue the woman who reportedly sat at the precarious spot for about three hours.  She was taken to Sengkang General Hospital following the rescue, and subsequently arrested under the Mental Health (Care and Treatment) Act, Shin Min Daily News reported. alexanderkt@asiaone.com  SINGAPORE HELPLINES  Samaritans of Singapore: 1800-221-4444 Singapore Association for Mental Health: 1800-283-7019 Care Corner Counselling Centre (Mandarin): 1800-353-5800 Institute of Mental Health's Mental Health Helpline: 6389-2222 Silver Ribbon: 6386-1928   ",FALSE
5,'I wanted to push the aircon out and jump down with it': Entrepreneur's epic meltdown changed his life... for the better,https://www.asiaone.com/lifestyle/i-wanted-push-aircon-out-and-jump-down-it-entrepreneurs-epic-meltdown-changed-his-life,Candice Cai,"January 09, 2021","In his 30s and at the peak of his life and career, Daniel Lim's world unravelled in dramatic fashion, while on holiday in New York, no less. It ended with him throwing up and screaming incoherently at the Guggenheim Museum, before he was put on an emergency flight back to Singapore.  The trigger for the meltdown was an innocent confluence of factors — a bad case of the flu, a body drugged up by medication, and pre-vacation work stress — something many of us might have experienced. But brewing unseen were years of living with an unhealthy mindset, providing the 'perfect' backdrop for everything to come together explosively at the end of 2012. In a podcast which he co-hosts twice a month, the entrepreneur turned life coach shared that the first glimpse of what was to come occurred the moment he landed in New York. Sudden spiral  Upon touching down in the city, Daniel puzzled over why the world around him appeared in dull, monochromatic tones, ""like Gotham City"". Over the next few days, he experienced ""mini waves of anxiety"". Physically, his body had also started to revolt by refusing to keep food down. The tipping point came one morning, when he remembered feeling ""very harassed"" by the noise of the rattling air-conditioning unit in his hotel room. Suddenly, he felt an urge to not only push it out of the window but also jump out along with it. ""I told myself I wanted to jump out because I wanted relief. I was so annoyed,"" he shared. Catching himself harbouring that ""nasty thought"" made Daniel realise for the first time that he needed help. He tried to call someone but descended into panic when he realised he didn't know how to unlock his mobile phone.  ""I stared at the unlock button and I realised I didn't know what to do with the phone to unlock it. And I freaked out,"" he shared. He didn't know what to do with the hotel phone either.  Daniel finally managed to connect with a friend online through his laptop, and he was quickly booked on a return flight to Singapore. With that reassurance that he was going home, Daniel's body and mind relaxed and things returned to regular programming — or so he thought.  The last thing Daniel recalled of the whole trip was an outing to New York's famed Guggenheim Museum. He was laughing with friends one minute, and the next thing he knew, the ceiling was spinning above him. Till today, he has no recollection of what happened next. According to what friends later told him, Daniel vomited thrice while at the museum and was in hysterics. The only coherent thing which came out of his mouth was ""I want to go home!"", which he yelled throughout the museum. ""My friends thought I was possessed,"" he shared. Next thing he knew, he was packed on an emergency flight back to Singapore, but Daniel doesn't even remember how he managed to get home. ""Mind-body dissociation"" Daniel had suffered what his therapist called a mind-body dissociation, which left him broken, physically and mentally. Back at home, he lost control of his motor skills and bodily functions, which also meant wetting the bed on several occasions. ""That freaked me out because I realised I was very unwell,"" he shared. ""I thought this was it, I have seen the bottom of the barrel of Daniel Lim."" Recovery took months, through therapy and lots of prescribed rest and ""low-stimuli"" activities. Speaking to AsiaOne, the 45-year-old admitted that the scariest thing was that he had no inkling of what was stirring within. In fact, at the point of his meltdown, the serial entrepreneur was riding on a high from his achievements and searching for the next feather in his cap.  He was running two successful digital businesses and negotiating a third and fourth set-up. ""Outwardly and inwardly, everything in my world was unicorns and rainbows. ""That shows how f***ed up my perception was. I had totally wrong priorities. All I wanted was more, more, more."" His insatiable appetite for excess extended to his lifestyle. The former shopaholic could buy up to 20 pairs of shoes at a store he liked. ""I would buy so many things when I went on holiday that when I landed at Changi Airport, I would get taxed because they thought I was a wholesaler,"" Daniel laughed. In his own mind, he thought he had it all and was thriving on the adrenaline, but little did he know that psychologically, he was unravelling. ""The way in which I worked, the manner in which I lived was very, very unhealthy. ""I was clocking two to three hours of sleep every day, and I felt sleep was a waste of time,"" he added. ""I continued to not pay attention to the signs that were already screaming, like the fatigue, the hives that kept breaking out, my heartburn. I didn't really think about whether something was wrong."" With help, Daniel recognised his troubled childhood had ingrained in him the constant need to overachieve, thanks to his 'tiger mum' and a dad who left the family when he was 10. The abandonment plunged the family into poverty almost overnight. Daniel, who has a younger brother, felt the responsibility to ""step up"" and take care of the family.  But today, he credits both his traumatic past and his mental breakdown as the ""best things to happen"" in his life. On the advice of his therapist, Daniel shared his entire meltdown story on Facebook when he came out of recovery after six months. Almost immediately, friends began sharing with him how they too were struggling.  ""That was when I had this revelation that so many people are experiencing similar things. And on the outside, you cannot tell how people are suffering because they are so good at projecting (an image of normality)."" Redefining success  From splashing out $20,000 a month on his wardrobe and living life in the fast lane, Daniel's life is considerably pared down these days. He wears T-shirts from Uniqlo, he has sold off his two cars as well as his house, and he can count the number of shoes that he has at home (around five pairs). The breakdown has also made him someone who's more emotionally connected to himself and others. ""I burst into tears very easily these days,"" he offered, sharing that he teared up simply from watching a moving orchestral performance the night before. It has also led him to pursue another path in life — that of a mindset coach. He works with clients on a range of issues, from relationship problems to anxiety, helping those who are struggling in life or in their business. [embed]https://www.instagram.com/p/CDGbwPXHpIl/[/embed] His youngest client is a 9-year-old with dreams of starting her own business, while his oldest clients are in their 50s. Many of them have attained their goals in life but find themselves lost.  Success to Daniel now, he said, is the feeling of connection to others, and when he sees people thriving. ""I have done away with the word success, because I think success is a very archaic, old-fashioned thing that everyone's chasing."" ""It's not that money is not important, but it's not how I measure my life,"" said Daniel, who revealed that financially, he's able to retire at this very moment, but isn't doing so because he's found his life purpose.  ""Success for me is time to call my own, freedom, autonomy, great health and vitality."" Worst thing in life is not failure [embed]https://www.instagram.com/p/CJjIKSlJe3V/[/embed] After more than two years in coaching others on emotional management and mental hygiene, we asked Daniel for the secret to bullet-proof oneself from life's slingshots. The answer came almost immediately. ""Other people can be whoever the f*** they want to be, and you have no control over them,"" he stated. ""The only person that you can control is yourself, and your own thinking. This is where our power lies."" He explained further, voice breaking: ""For people who are suffering, who feel trapped or suffocated, what I want to tell them is that pain is inevitable, but suffering is optional. The feeling we have towards the challenges in our lives is truly optional, don't give up. ""The worst thing that can happen in our lives is not failure, it's the emotion [of failure]. And you have a choice, even when you think you don't.""  SINGAPORE HELPLINES  Samaritans of Singapore: 1800-221-4444 Singapore Association for Mental Health: 1800-283-7019 Care Corner Counselling Centre (Mandarin): 1800-353-5800 Institute of Mental Health's Mental Health Helpline: 6389-2222 Silver Ribbon: 6386-1928 Shan You Counselling Centre (Mandarin): 6741-0078 Fei Yue’s Online Counselling Service: www.eC2.sg Tinkle Friend (for primary school children): 1800-2744-788   candicecai@asiaone.com ",FALSE
6,Chew Chor Meng thought of ending his life while battling his illness,https://www.asiaone.com/entertainment/chew-chor-meng-thought-ending-his-life-while-battling-his-illness,Bryan Lim,"November 13, 2020","He once had it all — fame, money, success — but when it all came crashing down, including his health, Chew Chor Meng once thought of ending his life. In the latest episode of the meWATCH talkshow Hear U Out, the 51-year-old actor told local host Quan Yi Fong that it was a dark time for him after he received his diagnosis in 2008.  Back then, the actor was told that he has Kennedy's disease — a rare inherited neuromuscular disorder that causes progressive weakening and wasting of the muscles, particularly the arms and legs. He said: ""I was struggling and couldn't come to terms with it, and I thought, 'Forget it. Why live so miserably?' Other ups and downs in life are easier to deal with and I wondered why my life was such a prank. ""I didn't have a good environment growing up, then life got a bit better and I had fame, money and whatnot; but then my fame declined and when that happened, there were issues with my health. ""I didn't know what lay ahead. I didn't know how to face people and deal with the weird looks they gave me. I also didn't know how long more I could live. There were times when I felt vulnerable. So when I felt vulnerable and couldn't let myself off, negative thoughts started flooding my mind."" Chor Meng was only given 18 months to live at that time, terrible news for a man who has two daughters who were still very young then.  However, it's been 12 years since he was diagnosed and he's become a more positive person. He told Yi Fong that the reason he was able to pull through was because of his faith, and the support and concern from his family and friends. ""For example, when I was shooting (the Chinese drama) 118, [Pan] Lingling and I supported each other. I said, 'Lingling, you're a cancer survivor right? I'm now walking a similar path so let's keep fighting this together. This journey really isn't easy,"" he said. Emotionally, it also took a toll on him as he tearily admitted that he had no choice but to move forward, not knowing what will happen in life. He also said he's ""not a strong person"" but he's ""more persistent"" compared to the average person. In the past, when Chor Meng faced difficulties pertaining to his illness, such as mobility problems, he would not dare to ask for help. But now, he's learnt to look past his ego and seek help from people. He recounted an incident when he was at Tanglin Halt and he needed to ask a female passer-by for help to climb a flight of stairs.  ALSO READ: Chew Chor Meng was shunned by other kids growing up because he didn't have a father Chor Meng said: ""I said I was ill and can't go up the stairs and asked if she could help me. She said okay. I was proud of myself because I was able to let go of my ego and ask for help. I wouldn't have dared to do so in the past."" He added: ""You sometimes find that there's a story behind every smile. Each of them has their own unbearable side. We need to learn how to deal with it. I told myself, 'It's okay. There are others who are worse off and having a tougher time. I must overcome this obstacle.' I'll occasionally feel lousy but I'll try to recover quickly.""  SINGAPORE HELPLINES  Samaritans of Singapore: 1800-221-4444 Singapore Association for Mental Health: 1800-283-7019 Care Corner Counselling Centre (Mandarin): 1800-353-5800 Institute of Mental Health's Mental Health Helpline: 6389-2222 Silver Ribbon: 6386-1928 Shan You Counselling Centre (Mandarin): 6741-0078 Fei Yue’s Online Counselling Service: www.eC2.sg Tinkle Friend (for primary school children): 1800-2744-788   bryanlim@asiaone.com ",FALSE
7,Teetering on the edge: Woman rescued from ledge of building in Ubi,https://www.asiaone.com/singapore/teetering-edge-woman-rescued-ledge-building-ubi,Anna Tan,"October 29, 2020","A 42-year-old woman sitting on a ledge at the Vertex Building was rescued on Wednesday (Oct 28), Stomp reported. The Singapore Civil Defence Force (SCDF) told AsiaOne they received the call for assistance at 33 Ubi Avenue 3 at about 1.10pm. Upon their arrival, she was seen sitting on a ledge. SCDF deployed a safety life air pack as a precaution. Two passers-by, one named Mark, and another one who declined to be named, shared photos of the incident with Stomp. A video clip taken by one of the passers-by showed a group of SCDF officers deploying a safety net from the building as they rescued the woman and carried her off the ledge. There were no injuries reported.  Thereafter, the police arrested the woman under Section 7 of the Mental Health (Care and Treatment) Act.  SINGAPORE HELPLINES  Samaritans of Singapore: 1800-221-4444 Singapore Association for Mental Health: 1800-283-7019 Care Corner Counselling Centre (Mandarin): 1800-353-5800 Institute of Mental Health's Mental Health Helpline: 6389-2222Silver Ribbon: 6386-1928 Shan You Counselling Centre (Mandarin): 6741-0078  Fei Yue’s Online Counselling Service: www.eC2.sg  Tinkle Friend (for primary school children): 1800-2744-788    annatan@asiaone.com ",FALSE
8,Eleanor Lee: Why is it an insult if I turn out like my mother Quan Yi Fong?,https://www.asiaone.com/entertainment/eleanor-lee-why-it-insult-if-i-turn-out-my-mother-quan-yi-fong,Kwok Kar Peng,"October 16, 2020","When she was a little girl growing up in a single-parent family, her mother was in a bad spot emotionally and got into some trouble, which was then splashed across headlines by the local media in a big way. In the years since then, some members of the public have left snide comments that the same young girl would grow up to be just like her mother. Now 21, actress Eleanor Lee has this to say: ""Why is it an insult if I turn out like my mother Quan Yi Fong?"" In the latest episode of the meWATCH talkshow Hear U Out, local host Yi Fong continued her interview with her only child. The first segment of the two-parter was aired last Friday. Mid-way through the episode, Yi Fong said: ""I was under medication for a very long time, around ten to 12 years. People who have worked with me would know that back then, I was always either sleeping or waking up from it. ""I also either felt very hyper or felt very low. Once I exploded, which was what the public saw in the news, it meant that I had 'short-circuited' in my brain. Through all this, you were there with me. Were my negative news a form of pressure to you?"" Eleanor ?— who appears wise beyond her years in the interview ?— replied while occasionally referring to her mother in the third person: ""A lot of people said on Facebook and other media that I would definitely grow up to be like my mother, and this and that. I see what you are truly like. ""So when people said those things, I thought to myself, why is it an insult if I turn out like my mother? This is a compliment because my mother is very strong. She could control her emotions to this point, when other people in that same position might have already killed themselves. You were able to reach where you are now. You fell many times but managed to pick yourself up."" ALSO READ: Quan Yi Fong addresses speculations about fallout with Addy Lee in passionate livestream, clarifies her friendship with him Yi Fong was very shocked and touched at what her daughter said, dabbing at her eyes to wipe away her tears. Eleanor also added: ""No one knows how strong my mother is. I even told her to write her experiences into a book, and maybe someone would turn it into a movie. ""No one can be like her. After going through the bullying and abuses as a child, she had to endure a lot of people's criticisms and pretend to be resilient. Whether it was family or love, she failed in all her relationships. How do you pick yourself up from all these? She was alone. And she had to support a daughter, too."" ALSO READ: Gong Li and Eleanor Lee first female Singaporeans nominated in Top 100 Most Beautiful Asian Faces 2020 kwokkarpeng@asiaone.com ",FALSE
9,"Woman allegedly threatens suicide after quarrel with mum, arrested after 6-hour stand-off in Toa Payoh",https://www.asiaone.com/singapore/woman-allegedly-threatens-suicide-after-quarrel-mum-arrested-after-6-hour-stand-toa-payoh,Kimberly Anne Lim,"September 04, 2020","A 50-year-old woman who allegedly threatened suicide after a quarrel with her adoptive mother was arrested on Wednesday (Sept 2) after a stand-off at Block 107 Toa Payoh Lorong 1, police confirmed. According to an 8world report, the woman had been arguing with her mother since 12pm that day.  The woman, who remains unnamed, then reportedly locked herself and her mother in the flat and threatened suicide. The police said they were alerted to the situation at 1.02 pm. Over 10 police officers, five Singapore Civil Defence Force (SCDF) officers and two Special Operations Command vehicles were seen at the scene, an eyewitness told the Chinese daily. Officers from the SCDF's Disaster Assistance and Rescue Team were also spotted on the roof of the block. The foot of the block was cordoned off and an inflatable safety life air pack was set up. The six-hour stand-off came to an end when police officers forced open the door and arrested the woman under the Mental Health Act. No one was injured, the police said. According to the pair's neighbours, the daughter frequently threw things around and argued with her mother.  ""The daughter is usually responsible for taking care of her mother, but she spends a lot and can be unstable. The mother was once so angry that she threw her daughter’s belongings away. It got so bad that social workers visited to mediate,” one neighbour revealed to Lianhe Wanbao.  Her daughter has had mental health issues since she was a teenager, the mother told 8world in an interview after the commotion. Although her daughter's condition improved after seeking professional help, this is not the first time she has had such an episode, the mother said, adding that she was ""used to it"". Nevertheless, the two of them have a good relationship and she forgives her daughter, the mother, who is in her eighties, added.  Her daughter is actually the biological child of a former colleague, she shared. She officially adopted her as a child when her family was not able to care for her.  SINGAPORE HELPLINES  Samaritans of Singapore: 1800-221-4444 Singapore Association for Mental Health: 1800-283-7019 Care Corner Counselling Centre (Mandarin): 1800-353-5800 Institute of Mental Health's Mental Health Helpline: 6389-2222 Silver Ribbon: 6386-1928   kimberlylim@asiaone.com ",FALSE
10,"'Right to disconnect' from work should be considered, says MP Melvin Yong",https://www.asiaone.com/singapore/right-disconnect-work-should-be-considered-says-mp-melvin-yong,Lam Min Lee,"September 01, 2020","Working from home has become a new norm for many in Singapore since the circuit breaker began in April as the country combats the Covid-19 pandemic. However, months of working from home have taken a toll on some employees, with growing concern about their mental health. Radin Mas MP Melvin Yong touched on the issue in Parliament on Monday (Aug 31). In his speech, he cited a recent survey that found those working from home who were feeling more stressed as compared to frontline workers.  [[nid:498938]] ""I hope that the Government could expand the list of occupational diseases under the Work Injury Compensation Act, to include mental health illnesses related to work stress,"" Yong said. ""I also hope that the Tripartite Advisory on Mental Health can be expedited so that those who are currently struggling with mental health issues related to work can get the necessary support that they need."" In April, a psychologist at the Institute of Mental Health shared how some of her patients were clocking in longer hours at work than before, as they struggled to draw the line between work and home. Overworking, as well as isolation, added to the stress and anxiety that they were facing while working from home, she said. Right to disconnect In Singapore, some employees reported that their superiors at work expected them to be on-call around the clock, even on weekends and public holidays since they were stuck at home during the pandemic. This led to an increase in their workloads.  As more people are now working from home, the MP urged the Government to consider a ""right to disconnect"" legislation, which allows employees to negotiate with their employers on answering work calls and emails outside of office hours. France pioneered the law in 2017, aimed to address the problems caused by an ""always-on"" work culture. The overuse of digital devices in modern workplaces is also linked to issues such as burnout, sleeplessness and relationship problems. ""Having a dedicated break can certainly help to reduce employee fatigue and burnout,"" Yong said. ALSO READ: Sharon Au kena complained by colleagues in France for being 'Singaporean' lamminlee@asiaone.com ",TRUE
