,headline,url,date,text,is_covid,
0,S'poreans no longer have to declare mental health condition in job application forms,https://mothership.sg/2020/01/mental-health-declaration/,"January 20, 2020, 03:18 PM "," People with mental health conditions will no longer have to declare this in job application forms.The Tripartite Alliance for Fair and Progressive Employment Practices (TAFEP) has recently updated its guidelines and now advises employers that they ""should not ask job applicants to declare personal information such as their mental health condition unless there is a job related requirement.""     Image via TAFEP    In addition, TAFEP has also stated that employers should remove all declarations on mental health condition from the job application forms.  Not abiding by TAFEP guidelines in the future may render employers liable to enforcement actions by the Ministry of Manpower on the grounds of discrimination.According to The Straits Times, TAFEP has engaged more than 8,000 employers to raise awareness.Halimah Yacob affirms TAFEP's recent guidelines update On Jan. 20, President Halimah Yacob posted an update on Facebook, affirming TAFEP's recent move.Halimah stated:""Many have campaigned against a requirement in job application forms for a person to state his or mental health condition. I’m really glad that the Tripartite Alliance for Fair Employment Practices has now declared that this is discriminatory. Indeed it is."" She continued by saying that applicants with mental health conditions will not get the job if they are honest in their declarations, yet are also susceptible to dismissal by their employers if they hide their condition and it is subsequently discovered.Halimah ended off her post by saying  that the practice of having to declare one's mental health condition is not only discriminatory but also a ""major contributing factor as to why people with mental health issues do not seek treatment"". Previously, a 2016 study by Institute of Mental Health found that one in seven people here have experienced a mental health condition at some point in their life. You can read her full post here:Top image via Sasha Freemind on Unsplash ",FALSE,
1,43-year-old woman apprehended under mental health act near Ang Mo Kio Hub,https://mothership.sg/2020/12/amk-hub-police-catch-woman-video/,"December 15, 2020, 06:55 PM "," In a viral video that was posted on Dec. 15, a few police officers can be seen using force to restrain a woman at a traffic light stop in Ang Mo Kio.Based on the video, the incident happened near Ang Mo Kio Hub.   Screenshot from Google Maps.       Screenshot from Google Maps.   Police officers restrained the woman In the beginning of the footage, two police officers can be seen kneeling on the ground, trying to restrain a woman. A few seconds later, several other police officers arrive to help restrain the woman. The woman repeatedly shouts in Mandarin that the police are ""beating"" her.Two passers-by accuse officers of manhandling the woman A female passer-by can be heard saying in Malay: ""Why did they handcuff the woman? They can't handcuff her.""Another passer-by, a man wearing a red shirt, shouts at the officers: ""Eh hello, she's a lady, you know? [...] Eh, don't use force lah!""He then crosses the road and continues shouting, this time cursing the officers in Malay.He also shouts: ""You used force! I saw since just now. You used force!"" Two police officers try to calm him down, but he continues shouting. At the 2:36 minute mark, a policeman says to the woman in Mandarin: ""We are here to help you.""The woman then replies: ""I just want to earn living here, just earn enough to eat can already…Let go of me, remove the handcuff, we are all Chinese.""""She was being aggressive towards us"" At this point, the two passers-by from before confront the police officers.The man in the red shirt says in Malay: ""If it was a female officer, then it's fine. But you guys are men.""One policeman replies: ""She was being aggressive towards us... we are doing our job.""He subsequently shows his broken lanyard and explains: ""If she didn't do all these things, I wouldn't have gone to restrain her."" Another police officer adds: ""She was being aggressive towards us so we have to use necessary force to keep her in control. It's our duty.""Woman continues struggling after being handcuffed A second video was uploaded in the comments section of the post.  In the video, the police officers try to calm the woman, but she continues struggling even with handcuffs on her.She then shouts in Mandarin: ""Police is catching me! Why are you guys catching me? Help! Help!""Woman apprehended under mental health act In response to Mothership's queries, the police said that they received a call for assistance at 4:43pm on Dec. 14 in relation to a woman who was ""believed to be of unsound mind and creating trouble"".When the police officers arrived, they attempted to engage the 43-year-old woman but she was uncooperative and started shouting incoherently.Police added that she also behaved in an ""erratic and aggressive manner"" near the road junction.For her safety and the safety of other road users, the police officers proceeded to restrain her and bring her to safety.Female police officers subsequently arrived at the scene to assist.The woman was apprehended under Section 7 of the Mental Health (Care and Treatment) Act.No injuries were reported during the incident.The police also explained:""Police officers have a duty to protect lives and property as well as to maintain peace and order. Male officers are allowed to apprehend women in the execution of their duties, without a female officer present."" We deliver more stories to you on LinkedIn Top image screenshots from Aizz Zboy/FB. ",FALSE,
2,"MOE to tackle bullying & mental health with peer support structure, curriculum revision",https://mothership.sg/2021/03/mental-health-bullying-moe-cos-2021/,"March 03, 2021, 05:15 PM "," The Ministry of Education (MOE) will strengthen support for students' mental well being across the education system this year.Dedicated key personnel to oversee students' well-being During the Committee of Supply (COS) debate on March 3, Minister of State for MOE Sun Xueling said that starting in 2021, schools will appoint a dedicated key personnel to oversee peer support and student well-being matters. This key personnel will consist of experienced teachers in the school's student development teams.They will oversee and implement prevention and intervention measures to create a peer support culture in students' learning, social, and cyber spaces.They will also tap on peer supporters to positively influence and support students involved in bullying and cyber issues.According to MOE, all schools are expected to have appointed these key personnel by the end of 2021.Peer support MOE is also on track to have a peer support structure and culture in every primary, secondary, and pre-university schools by end-2021.This will allow students look out for one another and encourage those in distress to seek help from trusted adults, such as their parents, teachers or school counsellors.Schools will also train up to five per cent of students as peer support leaders (PSLs) to anchor a supportive network in the school.As PSLs, they will promote positive mindsets, prosocial behaviours both online and offline, and be a good role model to other students.Revising CCE curriculum The Character and Citizenship Education (CCE) curriculum will be revised to make it more authentic, relevant and purposeful for students.The revised curriculum will have a strengthened mental health and cyber wellness education, explained Sun.""We recognise the nexus between increasing digital usage and mental health concerns, even more so amongst our young who may not know how to regulate the use of social media,"" explained Sun.Sun added that teachers will work alongside student peer supporters to look out for other students. MOE will also work with parents to help guide their children in the use of online media.During CCE lessons, students will learn to identify risks in the digital space, such as doxing or scams, discern unverified or inappropriate content, and take steps to protect themselves and others.Schools will also guide students to report cyber-bullying and harmful content to the online service provider.In secondary schools and pre-university, students will also have regular discussions on contemporary issues, such as environmental sustainability, and race and religion.According to MOE, the revised curriculum will be progressively implemented in all schools from this year, starting with the secondary level.Sun said:""Through CCE 2021, we hope that students will be equipped to become more resilient, and to be healthy, and engage one another respectfully and constructively on issues."" New mental wellness curriculum in poly and ITE The Institutes of Higher Learning (IHLs) are similarly strengthening their ongoing efforts to support students' mental health, said Sun.MOE is introducing a new mental wellness curriculum for all Year 1 students in polytechnics and the Institute of Technical Education (ITE) from AY2020 and AY2021 respectively.The curriculum was designed in collaboration with the Health Promotion Board (HPB) to raise awareness and understanding of mental health, through topics such as identifying risk factors and stress.It also aims to teach students to understand signs of anxiety and depression, and encourage early help-seeking behaviour.Besides the new curriculum, the polytechnics and ITE, in collaboration with HPB, will roll out a common training programme for peer supporters from 2021 to 2023.Peer supporters will be trained on a range of key skillsets, such as active listening, how to recognise signs of distress, and having a deeper appreciation of the importance of self-care.This will better equip them to look out for one another's well-being and alert a trusted adult if their peers are feeling distressed or facing mental health issues.Peer support structures will also be enhanced, including through regular supervision of and greater recognition for peer supporters.Additionally, the IHLs will continue to build community partnerships, partnering community organisations to further amplify mental well-being messages, including raising awareness of support available to students and youths in the community.More CCE training for teachers Previously during the COS debate, education minister Lawrence Wong had said that teachers will be receiving more help this year to be better equipped to support the students' mental well-being.Wong announced that MOE will be strengthening PD for teachers in CCE and establishing a centre for CCE in the National Institute of Education (NIE) by end-2022.The centre will provide thought leadership for CCE and conduct CCE-related research to inform policy and practice, with greater emphasis on practice and pedagogy in the local context.It will also collaborate with schools to enhance learning of CCE, and provide pre-service and in-service professional development (PD) courses, with various forms of certifications.MOE and the NIE have developed a new pre-service CCE course to equip all student-teachers with the fundamental content and skills to teach CCE.Almost all secondary schools now have four specialised CCE teachers to role model and mentor other teachers in facilitating challenging discussions in CCE lessons.From 2022 onwards, all pre-universities will also have a group of specialised CCE teachers to facilitate learning in CCE, including topics that may be complex and/or sensitive.""Our goal is for every teacher to be a CCE teacher and we will provide them full support to achieve this,"" said Wong.Top image from MOE/FB for illustration purposes only. ",FALSE,
3,S'porean resilience not possible without improving mental health support: NMP Anthea Ong,https://mothership.sg/2020/02/mental-health-budget-2020-anthea-ong/,"February 27, 2020, 09:39 AM "," Deputy Prime Minister and Minister for Finance Heng Swee Keat's calls for strengthening resilience among Singaporeans are not possible without tackling mental health issues in Singapore, said Nominated Member of Parliament Anthea Ong in her Budget 2020 debate speech on Wednesday (Feb. 26).In what she said was ""likely [her] last Budget speech"", Ong, a social entrepreneur, called on the government to improve the affordability, accessibility, and quality of mental healthcare in Singapore -- the same theme of her maiden speech in Parliament.Resilience can't happen without supporting good mental health  Ong referenced Heng's Budget speech, which he gave on Tuesday, Feb. 18, in which he mentioned the word ""resilience"" multiple times.While she thanked Heng and his MOF team for their hard work on a ""generous"" Budget, Ong said she was disappointed that mental health was not mentioned.She added: ""The ability to adapt to significant and adverse changes we call resilience is not happenstance -- it is enabled by good mental health.""She noted there had been a rise in the prevalence of mental illness in Singapore over the past two decades.Ong and her team conducted a public consultation Ong drew from over 400 responses that she and her team received in the public consultation on mental health they conducted earlier this year, the first done in Singapore.Ong and her team will be sharing their findings from the public consultations online here.Of the 400 responses, she said, 70 per cent were from people with lived experiences, while the remainder were from caregivers and mental healthcare professionals.Improving affordability, accessibility, and quality of mental healthcare Affordability: 66 per cent of the respondents said that mental healthcare costs were high, while others had stopped seeking treatment for financial reasons.""How is it that our world-class healthcare system has denied so many people the mental healthcare that they need?"", Ong asked.She pointed out there is a significant difference between treating physical health as compared to mental health for the limits of Medisave and Medishield Life.  Medisave: Inpatient claim limit of S$450 per day for physical health conditions, as compared to S$150 per day for psychiatric treatment.  MediShield Life: Claim limit of S$700 per day for inpatient treatment of physical health conditions in a normal ward, versus the limit of S$100 a day for inpatient psychiatric treatment.  Ong called for the limits to be made equal for physical and mental health conditions, in order to remove the ""entrenched stigma"" surrounding mental health issues.Accessibility: In Singapore, there are 4.4 psychiatrists and 8.3 psychologists for every 100,000 people. The overall median waiting time for new subsidised appointments across public hospitals is 27 days to see a psychiatrist, and 28 days to see a psychologist.71 respondents cited they did not seek help because of a lack of relevant and trusted information.However, she said, she was encouraged by respondents who praised CHAT (Community Health Assessment Team), a public healthcare initiative by IMH located within the community.CHAT provides free and confidential mental health check service and care navigation, including subsidised referral for public mental healthcare services if required.Ong hoped that this could be expanded to support people of all ages, and not just youths at present.Quality: 36 per cent of respondents explicitly mentioned the lack of empathy shown by the mental healthcare professionals they interacted with, as well as the ""dismal environment"" of the psychiatric wards in public hospitals.Ong was not trying to imply that all mental healthcare professionals are ""incompetent or without heart"", and many respondents felt the poor quality could be due to ""the excessive workload which strains both professionals and the system"".She emphasised the importance of feedback and public consultations with people with lived experiences and their caretakers when putting together plans such as the Community Mental Health Masterplan, launched by the Ministry of Health (MOH) in 2017.She added that she would speak more about issues surrounding mental healthcare for vulnerable communities, such as LGBTQ+ people, migrant workers and the differently abled during the upcoming Committee of Supply Debates.Necessary paradigm shifts Ong also highlighted paradigm shifts needed to be made in order to ""move beyond mental healthcare to total wellbeing for every Singaporean"".She mentioned considerations the government could make, such as treating mental health as a public health issue.This could result in measures like conducting mental health screening for students, similar to physical health and dental checks.In the workplace, employees could be allowed to use sick leave for mental health treatment or recovery.Another shift would be to recognise that mental health is something that affects all of us, and that it is a ""critical part of total well-being"". Said Ong:""Strong mental health support at schools and workplace directly impacts how we show up for our roles in our family and community - which contributes to how we support our children as parents, our elderly parents as caregivers, and how we build strong ties and connections with our friends, our colleagues and our neighbours."" Message to Singaporeans: it's not your fault Ong noted that Singaporeans' mental wellbeing ""forms the bedrock of our psychological resilience and social cohesion"", said Ong.She directly asked Heng what needs to happen for mental health to be a ""national and budget priority"" and called on the government to make quality mental healthcare accessible and affordable for all Singaporeans.Ong closed her speech with a powerful message to Singaporeans:""To Singaporeans, I invite you to remember that wherever you are on the mental health continuum is not solely a matter of personal agency but also largely determined by your social support structures, or lack of.So if you are struggling right now, I hope you know it’s not a personal failing. We are all responsible for each other’s mental wellbeing, including the Government and institutions.You have, in fact, shown us what true resilience is by fiercely living each day with less-than-adequate state support in mental healthcare whilst constantly dealing with structural stigma and discriminative behaviours."" Related story: Top images via Parliament website and Tim Mossholder on Unsplash. ",FALSE,
4,"""Strong, United S'pore"" only possible if mental health is a S'pore govt priority: NMP Anthea Ong",https://mothership.sg/2019/02/anthea-ong-mental-health-budget-2019/,"February 27, 2019, 04:47 PM "," While other MPs kicked off the Budget 2019 debate by discussing various aspects of the budget and industry sectors, Nominated MP Anthea Ong chose to take a different tack.In her maiden Budget speech on Wednesday, Feb. 27, Ong, a social entrepreneur, acknowledged inequality, ageing population and climate change as long-term challenges facing Singapore, but something that's so far not been discussed is the issue of mental health and well-being.""Mental wellbeing must be an ongoing national and whole-of-government priority with the recognition that our quality of life is defined not only by markers of economic growth and our material wellbeing but also our subjective wellbeing. We must constantly question if our national policies and spending empower, beyond just enabling, our people to be ready for challenges ahead and confident of our future.""  Personal experiences with mental health issues In her speech, Ong shared her own personal experiences with depression.She mentioned her own ""close shave"" with depression 12 years ago, despite having achieved professional and economic success.Ong also talked about the people she had known in her life who had their own experience with mental health issues.These include a colleague who almost committed suicide even though he was being treated for depression, a neighbour who started sleeping at a void deck after his wife's death, a taxi driver whose grandfather committed suicide while the rest of his family was eating breakfast just inside where he jumped, and her own teenage nephew, who was diagnosed with depression and anxiety disorder.People of all ages are affected Ong pointed out that her nephew was not alone, with more young Singaporeans seeking help with mental health issues:  The number of Singaporeans between 16 and 30 who sought help from the Institute of Mental Health's (IMH) Community Health Assessment Team has risen by 190 per cent over the past three years.  The number of children aged five to nine calling the SOS hotline gone up more than fivefold in less than three years.  Suicide is the leading cause of death in Singapore for those aged 10 - 29.  She also said young Singaporeans are the group most at risk of suffering from mental disorders, according to the December 2018 Singapore Mental Health Study.But Ong also cited more statistics to show that working adults and the elderly are also at risk if mental health issues are not addressed:  90 per cent of psychological conditions in working Singaporean adults are caused by workplace stress.  86.5 per cent of employed workers do not seek help with mental health difficulties.  The mental well-being of working adults in Singapore is 13 per cent lower than the general population.  20 per cent of Singaporeans aged 75 and above show signs of depression.  The number of Singaporeans aged 60 and above who committed suicide was the highest in 2017, since records began in 1991.  Ong added that vulnerable communities like elderly caregivers, migrant workers and single-parent heads of households were also at high risk of suffering from mental health issues.1 in 9 S'poreans suffer from diabetes, but 1 in 7 have mental health conditions And while the government has declared a war on diabetes, Ong pointed out that diabetes affects one in nine Singaporeans (in 2017), while mental health conditions affect one in seven Singaporeans.This is an increase from one in eight Singaporeans, just eight years ago.Ong acknowledged the importance of addressing the challenges that come with our ageing population in policy-making.""Yet, there is clear and present danger that the invisible yet mounting challenge of mental health could be headed that way with the escalating prevalence. We must therefore make mental health a deafening priority now rather than languishing it in the shadows because mental health affects the lives of Singaporeans across all ages and segments.""    Screen shot from Samaritans of Singapore.   View mental health as a ""basic need"", reduce stigma in seeking help Ong made some suggestions on how the government could proceed with tackling the issue.The first is to normalise mental health, reduce stigma and view it as a basic need, and bring it out into the open.This is important when 86.5 per cent of those employed don't seek help for mental health difficulties, and two-thirds don't seek help due to stigma and discrimination.The second is to recognise that support for mental health should not be the sole purview of the Ministry of Health.Instead, the impact any policy may have on mental health should be considered across the whole of government.Ong also suggested that optional mental health programmes in schools should be made mandatory, to provide better support and help normalise the issue.She also proposed that the Workplace Health and Safety Act could be updated to also cover mental as well as physical well-being.Long-term focus needed Ong said she doubted that ""one-off and discriminate bonus payouts"" would be enough to allow citizens to thrive ""mentally and confidently"".""The way we look at mental health reminds me of climate change, Mr. Speaker. It’s invisible, and so it gets parked mindlessly and incorrectly in the ‘important but not urgent’ quadrant of our awareness. Yet like climate change, it’s our future — our young ones — that we are jeopardising most if we continue with a transactional approach in addressing the challenge."" Instead, she suggested that a national coordinating body be established to improve mental well-being. Said Ong:""It’s time for the government to recognise, acknowledge and understand the complexity of mental health and to create opportunities and solutions to improve the lives of our people, especially our children and youth.It’s time to redefine our values as a nation as cherish every individual’s subjective well-being, dreams and aspirations beyond just their material and economic achievements. It can be done, it must be done because mental health is what makes us human."" Related stories: Top image from Parliament and Samaritans of Singapore. ",FALSE,
5,PM Lee: New mental health task force to tackle Covid-19 pandemic's psychological impact,https://mothership.sg/2020/10/pm-lee-covid-19-mental-health/,"October 11, 2020, 02:04 PM "," A new mental wellness task force has been established to tackle the impact of the Covid-19 pandemic on mental health, Prime Minister Lee Hsien Loong said, in a message for the World Health Organisation (WHO)'s virtual event, ""The Big Event For Mental Health"" on Oct, 10, World Mental Health Day.He noted that more people were facing stressful pressures as a result of the disruption that Covid-19 had brought to their lives and livelihoods.PM Lee's comments echoed a statement by the Ministry of Health (MOH) in June, which stated that it was taking into account the psychological impact of Covid-19, as part of a review on the ministry's mental health strategy. At that time, MOH added that it was also studying ways to enhance mental health services for the support of new vulnerable groups that may emerge due to Covid-19. National Care Hotline established PM Lee further highlighted that a National Care Hotline has since been set up to provide psychological first aid and emotional support to the public.According to MOH, the line had first been established in April 2020, and is manned by by volunteers comprising of trained psychologists, counsellors and social workers, among other professionals.PM Lee: One in seven Singaporeans will suffer from a mental health condition PM Lee further stated that one in seven Singaporeans will suffer from a mental condition at some point in their lives.He elaborated:""Ensuring access to quality mental healthcare for every citizen is therefore a major priority. We have strived to raise mental health literacy, promote early intervention, and improve mental health services."" He was echoed by Alvin Tan, the Minister of State for the Ministry of Culture, Community and Youth (MCCY) and Trade and Industry (MTI) at a Facebook panel titled ""Building Mental Resilience in a Digital World"" on Oct. 10.Tan said that ""social media companies are an important stakeholder in safeguarding youths’ mental well-being"", and added that the government was keen to work with social media companies and other organisations to do more.Totally unrelated but follow and listen to our podcast here  Top photo from Ministry of Communications and Information. ",TRUE,
6,"Festival aiming to combat mental health stigma happening at Timbre+ on Sept. 28, 2019",https://mothership.sg/2019/09/beyond-the-label-festival-mental-health/,"September 19, 2019, 06:59 PM "," Talking about mental health issues can be a challenge because of the stigma.However, an upcoming festival, Beyond the Label, is seeking to address mental health stigma surrounding the topic by helping Singaporeans better understand the matter, and why it’s important to show support for those recovering from such conditions.Happening on Sept. 28 at Timbre+, from 12pm to 10pm, Beyond the Label Fest will feature making your own essential oil, pottery, mindfulness and yoga workshops, as well as an Escape Room with the theme of a student navigating his life while being in recovery from depression and anxiety, among other things.Here are some event highlights. Escape Room Objective: To de-stigmatise mental health conditions among youths and young adults.Organised by: The Youth Alliance.What can you expect: Being placed in the shoes of a 22-year-old student having depression and anxiety, and helping him to navigate his way at work and school.Called the Escape Room, this is an immersive experience for participants as they take the perspective of a 22-year-old student having depression and anxiety.Organised by the Youth Alliance, a mental health committee co-chaired by Campus PSY Limited and TOUCH Community Services, that seeks to promote awareness of mental health conditions amongst youth in Singapore, by encouraging them to seek help early and also provide support to their peers.As such, the purpose is to de-stigmatise the issue of mental health among youths and young adults, as well as educate participants on the early identification of signs and symptoms of mental health conditions.This allows better understanding of mental health conditions and the importance of seeking for help.Participants will have to navigate through three settings, beginning with:  the student’s workplace where he interns at, in which he has problems meeting project deadlines and adjusting to the work environment,  his own bedroom, which showcases his struggle with insomnia and his laptop’s search history of anxiety and depression,  and finally, a project room in school, where he is able to open up to his friends.     Source: National Council of Social Service      Source: National Council of Social Service   Five to six participants are allowed in the room at each time, with a limit of 20 to 30 minutes to complete the room.Pottery workshop Objective: To allow participants an avenue to channel their negative emotions.Organised by: Center Pottery.What you can expect: A unique pottery workshop to help a person with their mental health.Here, the classes will be run by Center Pottery, a social enterprise that conducts special clay classes for the elderly, persons with mental health conditions and persons with disabilities.What’s more, for Mindful Pottery classes in particular, the social enterprise has worked with two prominent psychologists to devise the curriculum for both the general public, as well as mental health patients.The classes will therefore be specifically aimed at providing an avenue for people looking to release their stress, anxiety, or any other negative emotions that they might be experiencing in their daily lives.It also aims to teach participants how to better understand themselves and manage their negative emotions better through the process of pottery.As such, a total of two Pottery workshops will be held during the event, with the first session from 1.30pm to 3.30pm and the second session from 5pm to 7pm.A maximum of 20 people can sign up for each session.   Source: National Council of Social Service   Workshops on making your own essential oil  Objective: Introducing aromatherapy and essential oil to improve your mental health and well-being.Organised by: aromamaymay What you can expect: Learning the use of essential oils in meditation and aromatherapy, and making your very own type of oil.Organised by aromamaymay, a team of health enthusiasts who advocate the use of natural essences for health and wellness, this class will introduce participants to the basics of essential oils and aromatherapy, and their uses in meditation and daily life.They will be conducted by Janice Wong, a senior Occupational Therapist who has worked at the Institute of Mental Health (IMH) for four years, with a specialisation in mood disorders, and a keen interest in the use of natural remedies to optimise overall health and wellness.Apart from learning the use of essential oils in aromatherapy and sensory meditation, participants will also get the chance to make their very own type of oils.Three classes will be held, from 12pm to 1.15pm, 3.30pm to 4.45pm and 7.30pm to 8.45pm respectively, with a maximum of 20 people allowed for each class.   Aromamaymay: Rediscover Essential Oils Facebook   Workshops for mindfulness and yoga Objective: Teaching participants how to cope with difficult emotions, and developing one’s emotional resiliency.Organised by: Mindful Insights for mindfulness, and The Breathe Movement for yoga.What you can expect: Learning how to be aware of your own emotions, and practising yoga.Visitors at the festival will also have the chance to sign up for classes on mindfulness and yoga.The mindfulness class will aim to teach participants on how to cope with difficult emotions and letting go of judgements, and will be run by Mindful Insights, a social enterprise that aims to make mindfulness training accessible to as many people as possible.Meanwhile, the yoga class will focus on cultivating self-awareness and emotional resiliency.It will be run by The Breathe Movement, a social organisation that seeks to increase the emotional and mental resiliency of individuals through the practice and philosophies of yoga.Here are their details:Mindfulness Introductory workshop:  First session: 12pm – 1.30pm  Second Session: 3.30pm -5.00pm  Third Session: 6.30pm – 8.00pm  Yoga:  First session: 2pm – 3pm  Second Session: 5pm – 7pm  Third Session: 8pm to 9pm  Where to sign up Note that for the pottery, make your own essential oils, mindfulness and yoga workshops, you will need to donate S$15 via giving.sg to confirm your registration.Here’s how you can do so:Step 1: Register for workshops at the link here.Step 2: Make your token donation of $15 as all your contributions will go towards supporting various agencies under the President’s Challenge.Apart from these events, there are many more things to eat, drink, and buy too.Come and check this festival out.Event details Date: Sept. 28, 2019Time: 12pm-10pmVenue: Timbre+Admission: FreeFor more information, you can check out Beyond the Label Here and here.Top image from National Council of Social Service The writer of this sponsored article hopes that people will one day be able to talk about mental health conditions like we talk about diabetes -- without fear ",FALSE,
7,MOM steps up efforts to care for migrant workers' mental health & reduce effect of isolation,https://mothership.sg/2020/08/migrant-workers-mental-health-mom/,"August 06, 2020, 03:36 PM "," The Ministry of Manpower (MOM) has stepped up its efforts to better support migrant workers' mental health and allow them more freedom to leave the dormitories.In a statement to Mothership, MOM said that it is aware of the recent spate of suicides and attempted suicides involving the migrant workers. MOM added that such incidents stem from ""issues that migrant workers face back home such as marital or familial issues, or unforeseen mishaps in their home countries"".Due to the Covid-19 situation, migrant workers may face delays in returning to their home countries.MOM cited factors such as the need to ensure workers have fully recovered and have taken a swab test for the delay.Meanwhile, MOM is taking actions to ensure migrant workers' mental health is taken care of.Taking care of migrant workers' mental health To provide mental health support and assistance to the workers, MOM has been working with non-governmental organisations (NGO)s, such as the Migrant Workers' Centre (MWC) and HealthServe.According to MOM, MWC’s Helpline has received about 300 calls a week during this period.Meanwhile, HealthServe has counselled over 700 migrant workers since mid-April this year.These NGOs will follow up closely with the workers on their respective issues and will escalate them to MOM for further actions if necessary.MOM has also made ""considerable effort"" to keep the workers updated on Covid-19 related efforts.This is done through daily messages and materials in the workers' languages to promote their mental health and well-being.""These materials encourage workers to identify symptoms of distress, look out for one another, be a buddy to a friend, and know where to seek help,"" stated MOM.The Forward Assurance & Support Teams (FAST) have also stepped up vigilance to proactively look out for workers whom they assess may benefit from speaking to a mental health counsellor.MOM has worked with the Institute of Mental Health (IMH) to train and better equip frontline staff to help workers who need support.Plans to allow workers to leave their dorms In addition to taking care of the migrant workers' mental health, MOM is also planning to reduce the effect of isolation.It has scheduled time for workers to leave their rooms and access common areas.MOM has also worked with the NGOs to run activities for the workers.For example, HealthServe conducts activities such as exercise sessions for workers staying at cruise ships thrice a week.When community and dormitory cases have been sustained at low levels for a period of time, MOM has plans to allow the workers to leave their dormitories for Recreational Centres (RCs) in a measured and safe manner.Helplines MOM has advised all workers not to put themselves in harm's way if they encounter problems.Those who may be facing any issues can call the MWC's 24-hour helpline at 6536 2692 or Healthserve at +65 31384443.They can also reach out to MOM online if they require assistance.""MOM will be able to better assist and help workers solve their problems sooner if they do not act rashly."" Additionally, MOM urged members of the public not to circulate photos or videos of graphic nature to prevent further distress to the individuals, their loved ones and those around them.Top image from MOM/Facebook. ",TRUE,
8,Feeling 'heat & anger': EDB chief opens up about recent mental health struggle,https://mothership.sg/2020/11/chng-kai-fong/,"November 23, 2020, 09:12 PM "," A top bureaucrat in Singapore has opened up about his struggles with mental health amid the Covid-19 pandemic, Bloomberg reports.The man in question is Chng Kai Fong, managing director of the Economic Development Board (EDB).He was also the principal private secretary to Prime Minister Lee Hsien Loong from 2014 to 2017. Chng, who was part of a panel during a virtual technology conference, She Loves Tech, on November 2, opened up about the ""unprecedented year in terms of personal crisis"".He lost his brother-in-law to cancer in April. Another close family member is also going through serious mental health issues.The emotional and mental state that Chng found himself in was very unique, he said, and one that he had never experienced before.There were physiological symptoms that manifested, according to Chng:“There was this feeling of heat and anger starting with palms and then sort of moves towards your entire body.” “There was one day when I couldn’t even wake up,"" he added.""I had to really drag myself out at 11:30 and go for a run because I knew these were signs of depressive bouts. Even during the run, I was super breathless. It was a bad sign.” In its report, Bloomberg quoted a Mercer survey which found that more senior management (jumping from 9 per cent to 33 per cent) reported experiencing high levels of stress during the pandemic.Chng said that he decided to share about his experience with people who might face pressure to lead during uncertain times.He found that acknowledging that ""it's OK not to be OK"" helped him to cope with the pressure. He also suggested pro-actively seeking help.Chng said that while such situations will always take time to heal, he decided to openly share his experience with others who might be facing mounting pressure to lead during times of fear and uncertainty.One thing that helped him cope is to “acknowledge that it’s OK not to be OK,” he said. Another thing is to pro-actively seek help.“We can do a lot more as leaders to acknowledge that and to share a little bit more about ourselves. And that builds trust.” We deliver more stories to you on LinkedIn Top image via Challenge/PSD. ",TRUE,
9,Helplines & migrant worker ambassadors help address mental health issues faced by isolated workers in dorms,https://mothership.sg/2020/09/migrant-worker-mental-health/,"September 05, 2020, 07:21 PM "," The manpower ministry has measures in place to help migrant workers who are facing mental health distress, and said measures appear to be working.This was Minister for Manpower Josephine Teo's written reply to Member of Parliament Leon Perera who asked:   What measures have been put in place to address mental health challenges faced by migrant workers during this period including those who are barred from leaving their living and work spaces  When have these measures been put in place  What is being done to help workers who develop mental health conditions when under confinement; and  What steps are taken to ascertain the effectiveness of such measures and to improve on them.  Hotlines available for workers to seek help There are a few channels for workers to seek and get help if they are facing mental distress, said Teo, including  Migrant Workers' Centre's 24-hour Helpline which will refer serious cases to mental health specialists in hospitals.  HealthServe's dedicated hotline which provides medical information and tele-counselling sessions.  The HealthServe hotline, which was launched in April 2020, has received more than 15,000 enquiries and helped more than 1,100 workers, said Teo.Being able to return to work can also help to prevent ""isolation-induced stress"" and address anxiety over job stability, said Teo.The testing and clearing of workers in dormitories have helped workers to return to their work faster, she said.""This process started in June and was completed in mid-August. As of 31 Aug, close to 90 per cent of workers in the dormitories are able to resume work."" The manpower ministry has also started trials to allow residents of selected cleared dormitories to visit Recreation Centres on their rest days at staggered timings. MOM is also working with NGOs to provide workers with free hair cuts and other ""mental wellness engagement activities"".Foreign Worker Ambassador, FAST teams identify distressed workers Forward Assurance & Support Teams (FAST) are also trained to identify and manage mental health issues. Complementing this team is the Migrant Worker Centre's network of 5,000 Foreign Worker Ambassadors who proactively look out for distressed migrant workers to understand their key concerns so that the right help can be given quickly.The ministry also sends daily bulletins to dormitory operators, the Migrant Worker Centre Ambassadors, and foreign worker mobile applications. These bulletins feature doctors' advice on how one can protect oneself and recovered workers' experience.MOM has also facilitated the departure of workers who wanted to return home.""There are signs that these measures have helped,"" said Teo.""After calls to the MWC Helpline spiked to 700 calls per week during circuit breaker, call volume has reduced to around 500 a week now. This is not too far from the pre-Covid-19 call volume of around 400 a week. We will continue to monitor and support the workers closely."" Related stories: Top image via MOM. ",TRUE,
