Article_Headline,Article_url,Article_content,Article_Author,COVID Related?
"452 suicides reported in Singapore in 2020 amid Covid-19, highest since 2012",https://www.straitstimes.com/singapore/452-suicides-reported-in-singapore-in-2020-amid-covid-19-highest-since-2012,"SINGAPORE - A total of 452 suicides were reported in Singapore last year, the highest figure since 2012.
In a statement on Thursday (July 8), non-profit suicide prevention centre Samaritans of Singapore (SOS) said this was a 13 per cent increase from 2019's 400 cases.
It added that the increase in suicide deaths was observed across all age groups. In particular, the number of suicide deaths among the elderly - aged 60 and above - hit 154, the highest recorded figure among this age group since 1991 and a 26 per cent increase from 2019.
SOS chief executive Gasper Tan said: ""Covid-19 has severely affected the nation's economy, lifestyle and mental health. We are extremely worried about how our elderly are coping during this public health crisis.
""During the pandemic period, the elderly were more likely to face social isolation and financial worries. Difficulty in constantly adapting to changes as well as prolonged feelings of loneliness may be devastating.""
While there was an increase in suicide deaths among the elderly in 2020 compared with 2019, SOS said its 24-hour hotline received fewer calls from them.
In its 2020 financial year from April 2020 to March 2021, 4,455 calls were made by the elderly, compared with 4,816 in the 2019 financial year.
SOS added that elderly callers expressed difficulty coping with loneliness and inactivity due to isolation, psychological distress, and impaired social and family relationships - which were compounded by the pandemic.
The Institute of Mental Health's clinical director in the Office of Population Health, Adjunct Associate Professor Lee Cheng, said that the elderly who are living alone may lack support to deal with the pandemic.
""Those who are used to attending social activities outside on a regular basis will also likely feel socially isolated during this period,"" he added.
Said SOS' Mr Tan: ""Since the pandemic, many in-person activities and initiatives for the elderly have moved digitally. Those with limited proficiency with technology may find themselves lost and helpless.
He added that given the uncertainty of how long more the pandemic will last, it is important to build on existing efforts and find new ways to support the mental health of the elderly.
More on this topic
Spike in calls to suicide prevention agency SOS in 2020 as more in distress amid Covid-19
Don't be afraid to ask for help, says mother who contemplated suicide
Singapore University of Social Sciences' Associate Professor Helen Ko said it was important to find as many ways as possible to connect with the elderly who are lonely and socially isolated.
""Very often, most elderly persons want to hear a human voice and they long to hear the familiar voice of a loved one,"" she said.
""For those who are not digitally savvy, please be very patient as they may need more time to pick up digital skills.""
From July 26, those who need emotional support may call SOS at its new four-digit hotline at 1-767. SOS said the shortened hotline will help make seeking help more convenient.
The old hotline number, 1800-221-4444, will remain operational even after the four-digit hotline is launched, and both numbers will be toll-free.
Helplines
Samaritans of Singapore: 1-767 (24 hours)
Institute of Mental Health: 6389-2222 (24 hours)
Singapore Association for Mental Health: 1800 283-7019 (Mon to Fri, 9am to 6pm)
TOUCHline: 1800 377-2252 (Mon to Fri, 9am to 6pm)
Care Corner (Mandarin hotline): 1800-3535-800 (Daily, 10am to 10pm)
More on this topic
Mental wellness an important issue amid Covid-19 pandemic: Shanmugam
How to keep calm and carry on amid the pandemic",Ng Keng Gene,TRUE
Malaysia sees rise in suicides and calls to helplines amid Covid-19 pandemic,https://www.straitstimes.com/asia/se-asia/malaysia-sees-rise-in-suicides-and-calls-to-helplines-amid-covid-19-pandemic,"KUALA LUMPUR - Having been diagnosed with depression since she was a teenager, online retailer Nina Razif, 35, had learnt to cope with it over the years - or so she thought.
Being under Malaysia's first two lockdowns after the pandemic started last year did not affect her mental health, but by the time the third one was imposed last month, Madam Nina's feelings of stress and depression began to overwhelm her.
""I started feeling really depressed and helpless when I saw more and more people, including some I know, suffering. And I can't do much about it,"" she told The Straits Times.
During the lockdown, a friend attempted to take his life but she managed to reach him in time.
""This shook me to the core because years ago, I lost a close friend to suicide and it also brought me back to the time when I tried to take my own life,"" she said.
""I'm burnt out, and it's almost impossible to juggle parenting, work, school and taking care of my differently-abled child. And for the first time in my life, I'm tired of staying at home. I've been a good citizen but why are cases still increasing?""
Madam Nina is not alone.
The police recorded 468 suicides in the first five months of 2021, compared to 631 in 2020, and 609 in 2019. The three main causes cited were family problems, emotional pressure and finances.
Emotional support help centre Befrienders Kuala Lumpur recorded 20,575 calls from January to June this year, compared to 32,710 for the whole of last year, its publicity director Ardy Ayadali told ST.
When the first lockdown began in March last year, lasting until June, some 9,754 calls were received. This year, a total of 14,136 calls were made to the Befrienders during the same period, marking a 45 per cent surge.
The centre said the main problems the callers faced were issues relating to mental health, relationships and family.
It has also seen an increase in calls related to financial and job-related issues over the past two months.
Malaysia has recorded nearly 800,000 coronavirus cases since the pandemic began, with some 7,000 daily new cases over the last few days.
The country is under a nationwide lockdown until the number of daily cases dips below 4,000.
While six states have had some restrictions eased this week, much of Klang Valley has been placed under the strictest form of lockdown due to a persistently high number of infections.
Dr Ng Yin Ping, a consultant psychiatrist from Pantai Hospital, Penang, said that she is seeing more patients with symptoms of increased stress, such as insomnia, anxiety, irritability and low mood, which may affect their daily functioning.
More on this topic
Malaysians talk of mental anguish as Covid-19 lockdown is extended
People prepare for a tough time during full Covid-19 lockdown in Malaysia
""Contributing factors include work stress or academic stress. Many are required to work from home so some may have difficulties focusing at home due to an unsuitable or noisy home environment.""
Economic uncertainty, loneliness, fear of visiting health facilities due to the risk of infection, and the loss of one's usual coping mechanisms such as socialising, group sports and travelling also contribute to mental health problems, said Dr Ng.
The government needs to incorporate suicide prevention in its lockdown plans, the Consumers' Association of Penang (CAP) said.
""Never have Malaysians witnessed the despair of so many jobless, hungry and homeless people, having to depend on soup kitchens for their meals,"" CAP president Mohideen Abdul Kader was quoted as saying by The New Straits Times on July 1.
""Such a situation causes despair and hopelessness, besides the feeling of loneliness during the pandemic.""
Government aid was insufficient as some may have already depleted their life savings and were jobless, he said.
Shops are closed following a lockdown imposed due to the movement control order at a business area in Kuala Lumpur on July 2, 2021. PHOTO: EPA-EFE
While the number of people with mental health issues is rising, Malaysia is also grappling with a shortage of psychiatrists.
Health Minister Adham Baba on Tuesday (July 6) revealed that Malaysia's psychiatrist-to-patient ratio was only a tenth of the one per 10,000 recommended by the World Health Organisation (WHO).
There are a total of 400 psychiatrists in Malaysia, when there should be 3,100.
Dr Ng's advice for those who find it difficult to cope during the pandemic is to reach out to family and friends, or to call helplines or see mental health professionals for help.
""Stay connected with people, via video or phone calls. Remember to eat balanced meals, exercise and have adequate rest and sleep. Exercise caution when it comes to receiving or sharing information on social media as some news may be triggering or even harmful to your mental health.
""Finally, be kind to yourself. It's okay to not be okay, and to seek help from mental health professionals,"" she said.
More on this topic
Malaysian business groups warn of mass unemployment as Covid-19 lockdown stretches on
Malaysian police and opposition MP help the hungry in Johor Bahru
Helplines
Samaritans Of Singapore: 1800-221-4444
Singapore Association For Mental Health: 1800-283-7019
Institute Of Mental Health: 6389-2222
Care Corner Counselling Centre (Mandarin): 1800-353-5800
Tinkle Friend: 1800-274-4788
Related Stories:
S'pore to allow up to 5 to dine in from July 12, gathering size may go up to 8 at end-July
S'pore's Covid-19 rules from July 12: 9 things you need to know
Covid-19 curbs in Seoul may be raised to highest level as new cases surge
Indonesia expands nationwide Covid-19 curbs
Made-in-Malaysia Covid-19 vaccine expected to be ready in 2024
Israel sees decline in Pfizer Covid-19 vaccine efficacy rate due to Delta variant
Moving from Covid-19 pandemic to endemic: Singapore's strategy and how it can unfold
Covid-19 cases climb in Thailand as it opens up less-affected Phuket to tourists
MOH to stop giving details of Covid-19 community cases",Hazlin Hassan,TRUE
Singapore residents exercising more and eating healthier now compared with last year: Poll,https://www.straitstimes.com/singapore/health/singapore-residents-feel-healthier-than-last-year-but-mental-health-has-taken-a-hit,"SINGAPORE - People here are exercising more and eating healthier now compared with last year, with about three in four saying physical health is ""very much"" a priority.
But nearly 25 per cent said their mental health has suffered, with money woes being the top reason for anxiety and depression, a recent poll has found.
An online survey of 1,000 Singapore residents aged between 18 and 70 found that 44 per cent felt physically healthier now than before the Covid-19 outbreak.
Sixty-six per cent of respondents reported higher motivation to adopt healthy lifestyles, said communications firm Wunderman Thompson in a report on Monday (July 5).
However, work commitments can get in the way.
Despite their motivation level, 61 per cent reported living more sedentary lives.
The poll found that 46 per cent of respondents reported longer working hours, and 73 per cent said they spend more time in front of their screens.
After money, stress about work and the impact from Covid-19 were the factors that affected mental health most, respondents said.
""Most worryingly, 39 per cent say they have considered suicide at some point, with 5 per cent saying they think of it every day and 8 per cent once or twice a week. Unemployed people were most likely to consider suicide every day or once or twice a week,"" the report said.
At a virtual press conference last Friday (July 2), Ms Malati Afridi, co-author of the study, said 48 per cent of people under 35 had considered suicide at least once in the past year, while the rate was 50 per cent for those with children under the age of six.
The study examined Covid-19's impacts on physical and mental health, as well as relationships and health inequities.
Although nearly a quarter of respondents reported suffering from anxiety and depression in the past year, 68 per cent believe there is a stigma against mental health issues in Singapore.
More than 65 per cent would avoid the topic with their family, even when there is an issue.
Dr Shawn Ee, director of The Psychology Practice, said this decline in mental health was not surprising.
He added: ""Covid-19 is an abnormal event that interrupts our way of life. Any major lifestyle change that removes a coping strategy for stress, can tip someone over into feeling trapped. For example, avid gym goers would struggle when gyms are closed.""
Covid-19's impacts have also carried over to family relationships, with 49 per cent of respondents agreeing that family stress has increased over the past year.
More on this topic
One year after S'pore's circuit breaker, people socialising less, working more
More needed help during Covid-19 pandemic, say mental health experts
Inequities have also become more pronounced, across markers of gender, education levels, employment status and income.
Women reported feeling less healthy than men, both physically and mentally. The study cited a possible reason as women being more likely to juggle paid work with childcare or eldercare.
Individuals in the highest income bracket (earning $75,000 and above a year) and education level (having post-graduate qualifications) also reported more satisfaction with both physical and mental health.
Mr Gasper Tan, chief executive of Samaritans of Singapore, a suicide prevention centre, said one common anxiety cited by callers to their mental health helpline was uncertainty of the future due to financial insecurity and unemployment.
To cope with such struggles, Mr Tan advised: ""It could be helpful to talk to someone by letting trusted family or friends know what they are going through.
""Having a listening ear can provide relief and assurance that they do not have to go through this difficult period alone.""
More on this topic
Covid-19 pandemic brought women's mental health needs to the forefront: Muslim women's association
Moving from Covid-19 pandemic to endemic: Singapore's strategy and how it can unfold
Helplines
National Care Hotline: 1800-202-6868
Institute of Mental Health's Mental Health Helpline: 6389-2222
Samaritans of Singapore: 1800-221-4444
Touchline: 1800-377-2252
Care Corner Counselling Centre: 6353-1180
Related Stories:
S'pore to allow up to 5 to dine in from July 12, gathering size may go up to 8 at end-July
S'pore's Covid-19 rules from July 12: 9 things you need to know
Covid-19 curbs in Seoul may be raised to highest level as new cases surge
Indonesia expands nationwide Covid-19 curbs
Made-in-Malaysia Covid-19 vaccine expected to be ready in 2024
Israel sees decline in Pfizer Covid-19 vaccine efficacy rate due to Delta variant
Moving from Covid-19 pandemic to endemic: Singapore's strategy and how it can unfold
Covid-19 cases climb in Thailand as it opens up less-affected Phuket to tourists
MOH to stop giving details of Covid-19 community cases",Eleanor Katharine Yeo,TRUE
"Tennis: Osaka says preparing for Olympics, will do news conferences",https://www.straitstimes.com/sport/tennis/tennis-osaka-says-preparing-for-olympics-will-do-news-conferences,"TOKYO (AFP) - Tennis star Naomi Osaka said on Monday (July 5) she wants to be on top form at the Olympics and will take part in press conferences, after pulling out of several tournaments citing her struggles with depression and anxiety.
The world No. 2 told Japan's national broadcaster NHK she was getting ready to play on home turf at the pandemic-postponed Tokyo Games, after having withdrawn from Wimbledon and the French Open.
""I am preparing myself little by little so I can be at the top of my game for the Olympics,"" the 23-year-old wrote in a message published by the broadcaster.
""Since getting the attention of the world, I've always had bouts of anxiety. This is especially the case in the lead up to big competitions.""
She set off a debate about mental health in June after abandoning her French Open campaign just one match in over a dispute on media duties.
The Japanese player had said post-match news conferences were detrimental to her mental health and likened them to ""kicking people when they're down"".
She later revealed her battle with depression and anxiety in a post on social media, saying she wanted to take time away from the game to get better.
In the message published by NHK, Osaka said she was ""proud"" to play for her country at the Games, adding that she would take part in news conferences while giving consideration to her mental health.
She was fined US$15,000 (S$20,000) and threatened with disqualification from Roland Garros after refusing to honour mandatory media commitments.
French Open organisers protested that they had treated her with ""care and respect"" after they were accused of being heavy-handed.
Osaka's agent said last month that she had withdrawn from Wimbledon to spend time with friends and family.
But he added that she was ""excited to play in front of her home fans"" at Tokyo 2020, which begins on July 23.
More on this topic
In supporting Naomi Osaka, President Halimah highlights the importance of mental health
Naomi Osaka and the power of 'nope'",,TRUE
"Job worries, poor mental health afflict Covid-19-hit British youth",https://www.straitstimes.com/business/economy/job-worries-poor-mental-health-afflict-pandemic-hit-uk-youth,"LONDON (BLOOMBERG) - Young people in Britain are emerging from the coronavirus crisis blighted by poor mental health and worried about their financial future, reports published on Monday (July 5) warned.
The separate analyses, by the Institute for Fiscal Studies (IFS) and the Resolution Foundation, underscore the huge challenges facing millions in their late teens and early 20s as the country returns to normality after more than a year of lockdowns to fight the pandemic.
Those restrictions hit the young harder than other age groups. With government support programmes coming to an end, they are now in danger of permanent damage to their prospects unless policymakers make helping them back to work a top priority, the research groups said.
""Without effective support, there is a risk that young people today will bear the scars of the recession for years to come,"" said IFS senior research economist Xiaowei Xu.
The IFS study found that 19 to 24-year olds were particularly vulnerable to the winding down of furlough wage subsidies, which have saved the vast majority of jobs affected during the pandemic.
Young people, many of whom were forced to move back into the family home, report being more pessimistic about their immediate financial future than other age groups.
The Resolution Foundation said that one in four people aged 18 to 24 are afraid that poor mental health will affect their ability to find a job in future.
Of those placed on furlough, reduced pay or made unemployed, almost 30 per cent say they are experiencing adverse mental effects, according to its survey, which uses new YouGov data.
""Where someone is struggling with their mental health, making the essential first step into the job market can prove impossible, especially in a job market as challenging as the one facing young people,"" said Health Foundation's policy and engagement manager Martina Kane. The Health Foundation supported the survey.
More on this topic
Work-from-home boom risks loss of 6 million UK professional jobs
Working from home in the UK holds back pay and promotions",,TRUE
Voices of Youth: Make the classroom a more inclusive space for neurodivergent students,https://www.straitstimes.com/opinion/forum/voices-of-youth-make-the-classroom-a-more-inclusive-space-for-neurodivergent-students,"Nowadays, Singaporeans are fortunate enough to have a greater awareness of neurodivergent individuals, people whose brains essentially function differently from neurotypical individuals.
This awareness has also led to a better understanding of those with conditions such as attention deficit hyperactivity disorder (ADHD), autism spectrum disorder and dyslexia.
Despite this progress, Singapore can do better to accommodate neurodivergent students in classroom environments, to ensure that their learning is as fruitful and comfortable as that of everyone else.
For instance, allowing students short breaks in between lessons may help students with ADHD, who may struggle to pay attention for long periods of time. Also, as many neurodivergent students may suffer from sensory overload, allowing students to step out of the classroom whenever they need to can benefit their overall learning experience.
The people around them can also make the classroom a more inclusive space through their daily actions.
As a neurodivergent individual myself, I know that we may sometimes behave differently from neurotypical people.
But we go to school for the same reasons as everyone else - to learn and make friends.
Instead of judging us, students can learn to be patient and more accepting by talking to us and learning more about our conditions.
Through clear communication, students will be able to understand their neurodivergent peers better and can better accommodate their needs.
Ultimately, the classroom should be a safe space for all students. Through fostering an understanding environment, all students can understand one another better and not only get along, but also thrive together.
Kooi Xiu Min, 18
JC2 student",,TRUE
"askST: When stress takes a toll, who can youth call?",https://www.straitstimes.com/singapore/askst-when-stress-takes-a-toll-who-can-youth-call,"For many young Singaporeans, it has been a year of anxiety and uncertainty.
In the first of this three-part series exploring opportunities to emerge stronger as Singapore together, we answer questions about youth mental health and the SG Together Alliance for Action that aims to help them build emotional resilience.
Q: What are some key challenges facing youth today? How have these changed from issues that they might have faced in the past?
A: The young in Singapore are concerned about a wide range of issues, including employment, sustainability and support for mental well-being.
With that in mind, the Youth Mental Well-being Network Alliance for Action (AfA) has shortlisted 24 projects that focus on enhancing the emotional resilience of youth and strengthening their support system. The AfA aims to empower young Singaporeans to manage their mental struggles and garner support from their peers.
Q: Do I need to have experience in the mental health sector to join the Youth Mental Well-being Network?
A: No prior experience is required. The AfA welcomes all who are passionate about supporting our youth’s mental health.
Since the Network was set up in February last year, more than 1,500 youths, parents, caregivers, educators, mental health professionals and practitioners have stepped forward to take part in efforts to enhance youth mental well-being.
Q: While the aim of the Youth Mental Well-being Network is good, how can we trust that the methods behind the programmes and initiatives are reliable?
A: The Youth Mental Well-being Network develops initiatives and programmes through consultation with agencies and experienced professionals in mental health. It is also supported by three government agencies — the Ministry of Social and Family Development (MSF), Ministry of Health (MOH) and Ministry of Education (MOE).
For parents looking for support on youth mental well-being
The MOE Parent Kit and MOE Parents’ Instagram account offer tips on how to provide social and emotional support to your children.
MOE also organises regular ""Ask Me Anything About"" Facebook Live sessions that help address parents’ concerns on supporting their children’s mental well-being. You can reach out to your children’s schools for guidance and support in this area if needed.
For tips on building healthy relationships with your child
MSF’s Positive Parenting Programme teaches you to communicate with your child and techniques to manage their behaviour.
The Health Promotion Board (HPB) also conducts mental health education programmes for parents with pre-school and primary school-going children. These include the ‘Colours of the Mind’ workshops, which equip parents with the knowledge and skills to develop and strengthen their children’s mental well-being.
You can visit HPB’s Parent Hub, a one-stop online resource portal, for more resources on youth mental well-being.
Q: Is there an AfA to support the mental health of older Singaporeans?
A: Yes, the Singapore Together AfA on Emerging Needs and Volunteerism. One of its focus areas is to increase support for mental wellness in the community.
The SG Cares VC @ Jurong East, run by Loving Heart Multi-Service Centre, has introduced a community mental wellness initiative called Sound Mind, Soft Heart. It is working together with partners such as Bold At Work, a ground-up group, and grassroots organisations, to curate core training modules that will equip volunteers with knowledge of mental wellness and skills to help design fun intervention activities within a safe environment for residents.
Together with their partners, the SG Cares VC @ Jurong East aims to recruit about 550 volunteers to conceptualise and execute more mental wellness programmes and activities to further build up the community’s knowledge of self-care, ability to detect signs of stress or early dementia, as well as the capacity to keep an eye on vulnerable neighbours.
There are plans to scale up this initiative across Jurong East with the support of other partners to reach out to and support a greater pool of residents, with the goal of building a more supportive and resilient community.
For more information, e-mail the SG Cares Office.
Q: Why did the Government decide to launch Singapore Together in 2019?
A: More Singaporeans want to be involved in building a shared future for the country, and to co-create policies and programmes to address complex issues. Singapore Together was launched to facilitate partnerships between the Government and citizens and among citizens themselves.
This new governance approach gives Singaporeans the opportunity to understand and engage more deeply with a range of topics and issues facing our nation, and directly contribute their ideas and energies, including through processes such as conversations, citizen workgroups and the Alliances for Action.
Building Singapore Together
The Singapore Together Alliances for Action (AfA) were formed to bring together partnerships between people, public and private sectors to tackle complex socio-economic issues the nation faces.
To date, 25 AfAs have been announced.
GRAPHICS: COURTESY OF THE MINISTRY OF CULTURE, COMMUNITY AND YOUTH
Interested in supporting the mental health of young Singaporeans? Click here to join the Youth Mental Well-being Network. For more info on Singapore Together, visit www.sg. This was produced in partnership with the Ministry of Culture, Community and Youth.",,TRUE
Seoul using AI to detect and prevent suicide attempts on bridges,https://www.straitstimes.com/asia/east-asia/seoul-using-ai-to-detect-and-prevent-suicide-attempts-on-bridges,"SEOUL (REUTERS) - Is the young woman in the summer dress just admiring the view off the bridge or is she thinking of taking her life?
That is the question South Korean researchers and the emergency services are working to answer using artificial intelligence to detect and prevent suicide attempts.
In this case, it is one of the researchers demonstrating how hard it can be for human surveillance teams to tell.
But the AI system they are developing has been learning patterns of behaviour by analysing data from cameras, sensors and the dispatch records of rescue services since April 2020, Seoul Institute of Technology said on Wednesday (June 30).
Based on information from hours of closed-circuit television (CCTV) footage and assessing details such as the hesitation of the person, the AI system can then forecast a hazardous situation and immediately alert rescue teams, principal researcher Kim Jun-chul said.
""We believe the new CCTV will enable our crews to detect the cases a bit faster and help us head to a call more promptly,"" Mr Kim Hyeong-gil, who is in charge of the Yeouido Water Rescue Brigade, told Reuters as he monitored real-time footage from bridges on Seoul's Han River.
Mr Kim's team has been working with the researchers to come up with the technology that his crew and the Seoul Fire and Disaster Headquarters will be piloting from October. Their work cannot come quickly enough.
South Korea, with a population of 52 million people in 2019, had the highest suicide rate in the Organisation for Economic Cooperation and Development (OECD). More than 13,700 people took their own lives that same year, government data showed.
Nearly 500 suicide attempts are reported on 27 bridges over the nearly 500km-long Han River every year, the city said.
The number of rescue dispatches surged about 30 per cent in 2020 compared with the year before, and many of the attempts were made by people in their 20s and 30s as the coronavirus pandemic brought greater economic hardship and worsened the battle for jobs, the rescue brigade's Mr Kim said.
""The system learns the footage itself, which can bring about improved results by greatly reducing false alarms,"" principal researcher Kim Jun-chul said.
More on this topic
Investors call for ethical approach to facial recognition technology
Police in India's Uttar Pradesh state using facial recognition technology to track known sex offenders",,TRUE
Malaysians talk of mental anguish as Covid-19 lockdown is extended,https://www.straitstimes.com/asia/se-asia/malaysians-talk-of-mental-anguish-as-covid-19-lockdown-gets-extended,"KUALA LUMPUR - Ms Firdaus Nisha used to earn a good income from her small environmental consulting firm in Kuala Lumpur, but now, more than a year after the pandemic started, she has slipped into the lower-income group.
She said her business, which had to shift its office and cut overheads, has effectively been in ""cold storage"" for much of this year.
""I used to think I am in the middle-income category, but now I have slipped into the B40 (lower income group) category,"" Ms Nisha told The Straits Times.
Her firm's work is usually done with international clients and schools, but with borders mostly closed and schools shuttered, work has been drying up.
Now that Malaysia's full lockdown - originally scheduled to end on Monday (June 28) - has been extended indefinitely, the future looks bleak for Ms Nisha.
""I am already broke, so I am just thinking about how to survive for the next few months. If I start thinking (about finances), I would go into a panic state,"" she said. ""When (the lockdown) is extended indefinitely, we have nothing to look forward to.""
Ms Nisha urged the government to re-evaluate where people are economically and provide them with consistent aid, saying there are many like her who have slipped in the income category as a result of a challenging year. ""We need proactive measures, not reactive ones,"" she said.
Prime Minister Muhyiddin Yassin announced on Sunday that the full lockdown - which is costing the country RM1 billion (S$322 million) a day - would be extended indefinitely as Covid-19 numbers remained stubbornly high.
That means millions of Malaysians will spend a third month under some form of lockdown. They were in a partial lockdown for much of May before the full lockdown began on June 1.
And with no end date given, Malaysians are speaking of the toll that the lockdown and pandemic are taking on their mental health, relationships and finances.
Mrs Elvina Fernandez understands the need to prolong the curbs due to the high number of cases every day, but she has had ""mixed feelings"".
""I also wonder what will happen to all the people who are surviving on daily wages. Once (the pandemic) is over, what kind of community we are going to create,"" the freelance writer told ST, adding that she imagined a post-pandemic society where poverty and social ills might be on the rise.
Mrs Fernandez - who left her previous job as an executive last year - initially wanted to return to the workforce after a couple of months' break. But she has been putting off the plans as Malaysia has spent much of this year so far dealing with high numbers of Covid-19 cases, a state of emergency, and various iterations of lockdown.
""Fortunately, for now, I have been able to survive despite not having a full-time job,"" she told ST.
More on this topic
Malaysia unveils additional $48b aid package as Covid-19 lockdown is extended
Malaysians struggle with long WFH hours during Covid-19 pandemic
Even those who are still employed are feeling the strain of the prolonged closure of the economy and restrictions on movement.
An oil and gas industry worker from an offshore platform - who wanted to be known only as Raj - said that Covid-19 protocols meant he is separated from his family for long periods . He works for four weeks and has to quarantine for two weeks before returning home.
""I spend six weeks away from the family, and only get 10 days with them. We can't go anywhere when onshore,"" Mr Raj told ST. ""There is no mental stability, and it is affecting my family and my relationship.""
Mr Raj's income has fallen by up to 70 per cent since the pandemic started. He lost a previous job at an oil field overseas and returned to Malaysia at the onset of the pandemic, and subsequently went 11 months without work.
""When I heard about the extension, I just felt helpless,"" he said.
More on this topic
Some businesses bemoan unfair rules as Covid-19 lockdown continues in Malaysia
Malaysia's hungry and it's not just the homeless as Covid-19 lockdown extended
Tan Sri Muhyiddin said Malaysia will remain under the lockdown until the daily case load reduces to below 4,000 infections a day - a number last seen more than a month ago.
The country recorded 5,218 infections on Monday, bringing the total tally to 739,266. Another 57 deaths were recorded, meaning the death toll now stands at 5,001.
Malaysia is on a four-phase Covid-19 exit plan that will likely see a reopening of the economy only towards the end of the year.
To move to a second phase - which will allow more businesses to open - daily cases need to drop below 4,000, 10 per cent of its population has to be fully inoculated, and intensive care bed usage needs to return to moderate levels.
ICU bed usage remains above 90 per cent, while only 6.4 per cent of Malaysians are currently fully inoculated. The 10 per cent vaccination target is expected to be reached in mid-July.
Indigenous people from the Temuan tribe waiting to be vaccinated against Covid-19 in Sungai Buloh, Selangor, on June 28, 2021. PHOTO: AFP
As the lockdown drags on, some are worried about the impact on children.
A communications executive and mother of two - who wanted to be known only as Amy - said: ""Reduced physical activity impacts a healthy body and mind. It's even worse on kids, who are happy to sit with devices but there are long-term effects to this.""
""My heart goes out to those living in confined spaces,"" she said.
More on this topic
Tears, fears and frustration during Malaysia's Covid-19 lockdown
Malaysian minister apologises for breaking Covid-19 dine-in restriction",Ram Anand,TRUE
"Patient allegedly choked on food he was fed: IMH, family settle suit",https://www.straitstimes.com/singapore/patient-allegedly-choked-on-food-he-was-fed-imh-family-settle-suit,"SINGAPORE - The Institute of Mental Health (IMH) has settled a lawsuit by the family of a schizophrenic in-patient who ended up in a persistent vegetative state following an April 2017 incident when he allegedly choked on the food he was fed.
Responding to The Straits Times last week, an IMH spokesman said the case had been resolved amicably, on a confidential basis, without any admission of liability.
Please subscribe or log in to continue reading the full article.
Get unlimited access to all stories at $0.99/month
Latest headlines and exclusive stories
In-depth analyses and award-winning multimedia content
Get access to all with our no-contract promotional package at only $0.99/month for the first 3 months*
Subscribe Now
*Terms and conditions apply",K.C. Vijayan,TRUE
