,content,category,label
0,"The fact their might be so many marital rape and other sexual assaults within homes taking place right now with a greater rate, and no one wont be talking about it bcz CORONA.",DV_OPINION_ADVOCATE,0
1,"‘If the child has been through sexual abuse, adults/Parents should give the child some space &amp; not be pushy + don’t make them feel like it’s the end of the world - please tell them it was never their fault and they can also seek help from therapists and counsellors’ @TanujaSodhi",NON_D_VIOLENCE_DIRECTED,1
2,"‘If you have any doubt & pick up any signs of sexual abuse with a child, make sure you have a conversation about it with the child’ - it shows them that there’s an open channel of communication- says Pooja from @Arpan_CSA On https://bit.ly/preventingCSA_lockdown #ChildrenAndCovid19",NON_D_VIOLENCE_DIRECTED,1
3,"FUCCBOIS 8/10: a great film and yeah, it talks about POLITICS, ABUSED OF AUTHORITY, BLACKMAILING, SEXUAL EXPLOITATION &amp; FRIENDSHIP not just a mundane porn-pooled scene you are expecting to devour. It’s deeper than that. It’s one of the Ph’s good films i must say. pic.twitter.com/R2F0YygTcB",NON_D_VIOLENCE_DIRECTED,1
4,#Lockdown New Time Zone for #Sexual Couples... pic.twitter.com/8wX4AEukVL,NO_VIOLENCE,2
5,"#POCSO Act - Accused was 29 years of age when the incident took place - Not a habitual offender or criminal - #Sexual intercourse was consensual in nature, though the victim had not attained age of consent - Not a #kidnapping - Sentence reduced. (Bombay)https://bit.ly/2yXqld6",NON_D_VIOLENCE_DIRECTED,1
6,"mag papageant ka pa din ba kahit bi kana? — I believe that all people regardless of their sexual orientation, deserve the equal opportunities to be on stage https://curiouscat.me/k_gntvn/post/1089060585",NO_VIOLENCE,2
7,"kasi it talks about politics, sexual abuse, blackmail and it's quite intense, but actually a good movie, medj clip hanger lang",NON_D_VIOLENCE_DIRECTED,1
8,The Coronavirus Pandemic Puts Children at Risk of Online Sexual Exploitation. https://www.scientificamerican.com/article/the-coronavirus-pandemic-puts-children-at-risk-of-online-sexual-exploitation/?amp=true&amp;fbclid=IwAR28Z7d4FKiMDAXhjpBKKrfb6bLkJnScxzuHkkHoGpjY1GiiA_Wc7B4Helk&amp;__twitter_impression=true,DV_OPINION_INFO_NEWS,3
9,"But heinous crime as molestation , sexual harassment, and rape is always being denounced @highest degree, but yes such references must be mentioned when it comes to azabe elahi.I think echo of such reference must be mentioned again &amp; again to equalize this woman dress phenomena",NON_D_VIOLENCE_DIRECTED,1
10,These people who support Biden’s sexual abuse case are the real “Quid Pro Quo” and the #metoo4somethinginreturn,NON_D_VIOLENCE_DIRECTED,1
11,"Cat ValentineCat is so aloof because she is suffering through emotional, sexual, and potentially physical abuse from her brother who has been referred to in the show as crazyShe is on anti-depressants which make her so perky, and her brothers abuse has caused her to childlike – at My bed",DV_STORY,4
12,"Peace Over Violence an NGO in the US developed the Denim Day campaign in response to this case and the activism surrounding it. Since then, the campaign to bring awareness to victim-blaming and destructive myths that surround sexual violence has grown into a movement.",NON_D_VIOLENCE_DIRECTED,1
13,I am sure that’s true you sexual deviant! She should back you up just fine and help with your sex abuse allegations!,NON_D_VIOLENCE_DIRECTED,1
14,Some 24 women have accused Donald Trump of sexual abuse. He openly boasted about grabbing women by the private parts. Which one of them do you support?,NON_D_VIOLENCE_DIRECTED,1
15,"I'm literally fighting for the equality of every man, woman and child regardless of race, religion, color, creed, and sexual orientation and here to spread a message of peace, love, and positivity.--Logic",NO_VIOLENCE,2
16,"Clearly, there is something wrong with the justice system in there. Throwing papers where it should be handed to the owner properly violates the Child Friendly Act and then what? Sexual harassment at the highest peak... THIS IS A SERIOUS MATTER. Hopefully, justice will prevail.",NON_D_VIOLENCE_DIRECTED,1
17,Itu lg ramai bgt kok cewe playing victim kena pelecehan sexual,NON_D_VIOLENCE_DIRECTED,1
18,Kaya gini aja dibilang pelecehan sexual online. Gatau deh kalau gendernya di-switch,NON_D_VIOLENCE_DIRECTED,1
19,"Mr. Keshavanand Swamiji was sentenced to 12 years in jail for imposing a false charge of sexual abuse. He was proved innocent after serving seven years in jail, but did not appear in any newspaper. #संत_संस्कृति_और_षड्यंत्र pic.twitter.com/9BsJ4bTABP",DV_OPINION_INFO_NEWS,3
20,What are the stains on the garment? Sexual sin Abortion False prophets False apostles The gospel of liberal theology The gospel of prosperity and money Witchcraft Nudity Immorality Pornography Smoking and drug addiction No reverence No fear of GOD #DispensationOfRepentance,NO_VIOLENCE,2
21,"Above 1,300 #Children sexual abuse cases reported in #Pakistan within six months https://www.thenews.com.pk/latest/529471-1300-cases-of-child-sexual-abuse-reported-in-pakistan-study",NON_D_VIOLENCE_DIRECTED,1
22,Chinese bats can carry virus and come to India they don't require passport nor they bother about jurisdiction.. no one can stop the hand of God. Fortunately Indians are God fearing and sexual immorality is low.. thus saved us from Mahadevs thandav..,NO_VIOLENCE,2
23,"If you don't understand that when a woman acuses a white male of sexual assault, her credibility will be on the line. And if that man has power, that woman better be a nun. If you're an American, you should know this already.",NON_D_VIOLENCE_DIRECTED,1
24,Romanticizing pedophilia ang complaints nila pero lalapagan ka ng arguments about child sexual abuse huehue gulo n'yo po the latter is different from the former :'(((,NON_D_VIOLENCE_DIRECTED,1
25,https://twitter.com/fatallure/status/1254478523185545216?s=19 This might be triggering to those who are diagnosed with the said disorder. I hope we don't confuse Pedophilia with Child Sexual Abuse. Thank you!,NON_D_VIOLENCE_DIRECTED,1
