,username,text,retweets,favorites,replies,tweet_id,user_id,date,hashtags,mentions,tweet_location,user_location,city,state,country
8,YashPat63296643,with fazal siddiqui s account suspend all the so call celebrities on tiktok who enjoy make embarrass videos on acid attack rape domestic violence and corona etc must have receive a clear message with freedom come responsibility understand it and be responsible,0,0,0,1262700485150212097,1114902997736263680,2020-05-19 11:03:50+00:00,,,,"Pune, India",Pune,Maharashtra,India
26,rachelchitra,i do nt think there s a law bar reporters from name coronavirus patients like there s a law on not name sexual assaultrape victims but i think reporters be choose not to because of the social stigma ostracization the victims families face,0,0,0,1262674845441146883,55389338,2020-05-19 09:21:57+00:00,,,,"Chennai, India",சென்னை - Chennai,Tamil Nadu,India
31,LambaSarjeet,report now tik tokiyas be glorify acid attack domestic violence rap animal cruelty in the name of content what kind of influencer be they do nt you think they should be ban tiktokdown tiktokban bantiktokapp,0,0,0,1262642060131262464,1435464997,2020-05-19 07:11:40+00:00,#tiktokdown #tiktokban #BanTikTokApp,,,jaipur,Jaipur Municipal Corporation,Rajasthan,India
42,AleemIlahi,i tell gujarat police i be pregnant they keep hit me with their stick till my neighbour come and save me islamophobia_in_india,10,10,1,1260860047548186625,2677650788,2020-05-14 09:10:35+00:00,#Islamophobia_In_India,,,"Gulbarga, India",,Karnataka,India
46,ExplicitOpinion,opindia_com should have record the statement of the father in mobile or something this would have save them from an fir,0,0,0,1261929127273086976,2356449684,2020-05-17 07:58:44+00:00,,@OpIndia_com,,"New Delhi, India",New Delhi,Delhi,India
62,sawantaniket96,many sexually explicit videos on youtube see in millions should be act upon justiceforcarryminati youtubeindia bantiktokinindia youtubevstiktok 20mforcarrytoo,0,0,0,1262347110491590656,2839480112,2020-05-18 11:39:39+00:00,#justiceforcarryminati #YoutubeIndia #BanTikTokInIndia #youtubevstiktok #20MFORCARRYToo,,,karad,,Maharashtra,India
71,thisguymayank,hi sir tsrawatbjp pmoindia narendramodi my mother be 55 govt school teacher she s order to resume duty from 19th may by hon dm v shanmugam district tehri garhwal do you think it be appropriate for old folks to return to grind i think it s unsafe please help,5,2,1,1262385715687706625,426050432,2020-05-18 14:13:03+00:00,,@tsrawatbjp @PMOIndia @narendramodi,,"New Delhi, India",New Delhi,Delhi,India
75,newsicology,nawaz s wife aaliya allege mental torture https iftt2zupfrs,0,0,0,1262978768962048007,751806356345290753,2020-05-20 05:29:38+00:00,,,,India,,Madhya Pradesh,India
85,okaybrbwait,the way my ex convince me he should hook up w someone at his summer school because he be horny look at everyone do it and then have the audacity to torture me for be insecure,1,17,7,1263019774323445760,1183781904182415360,2020-05-20 08:12:34+00:00,,,,"New Delhi, India",New Delhi,Delhi,India
96,peacockhelp,crimeagainsthumanity genderequality humananglestories sexualviolence womensafety violenceagainstwomen supportindependentjournalism an urgent appeal donate and get 50 cash back plus a book on terrorism worth rs 200 28,0,0,0,1263229500978089985,2985388466,2020-05-20 22:05:57+00:00,#CrimeAgainstHumanity #GenderEquality #HumanAngleStories #SexualViolence #WomenSafety #ViolenceAgainstWomen #SupportIndependentJournalism,,,"Kolkata, India",Kolkata,West Bengal,India
