,Country name,Country Code,Region,Region Code,Year of Survey,Survey Type,Subsample,Total population,Children (aged 0-14),Youth (aged 15-24),Adult (aged 25-64),Elderly (aged 65+),Urban Population (% of total Population), Working Age Population (aged 15-64 (% of total Pop.)),Dependency Rate (all compared to 15-64),Youth Dependency Rate (younger than 15 compared to 15-64),Old Age Dependency Rate (older than 64 compared to 15-64),Labor Force (aged 15-64),Labor Force Participation Rate (aged 15-64),Female Labor Force Participation Rate (aged 15-64),Not in labor force or education rate among youth (aged 15-24),Employment to Population Ratio (aged 15-64),Share of workers (aged 15-64) with more than one jobs in last week,Employment to Labor Force Ratio (aged 15-64 ),Unemployment Rate (aged 15-64),Youth Employment to Labor Force Ratio (aged 15-24),Youth Unemployment Rate (aged 15-24),Wage employees (aged 15-64) ,Unpaid or Self-employed (age 15-64),Employers (aged 15-64),Informal jobs (aged 15-64),Formal jobs (aged 15-64),Share of work contract,Share of health insurance,Share of social security,Public sector employment (aged 15-64), Agriculture (aged 15-64), Industry (aged 15-64), Services (aged 15-64), Female in non-agricultural employment (aged 15-64),Youth in non-agricultural employment (aged 15-64), Mining (aged 15-64), Manufacturing (aged 15-64), Public utilities (aged 15-64), Construction (aged 15-64), Commerce (aged 15-64),Transport & Communication (aged 15-64),Financial and Business Services (aged 15-64),Public Administration (aged 15-64), Other services (aged 15-64), Senior Officials (aged 15-64), Professionals (aged 15-64), Technicians (aged 15-64), Clerks (aged 15-64), Service and Market Sales (aged 15-64), Skilled Agriculture (aged 15-64), Craft Workers (aged 15-64), Machine Operators (aged 15-64), Elementary Occupations (aged 15-64), Armed Forces,Average weekly working hours,Underemployment ( <35 hours per week),Excessive working hours (>48 hours per week),Median Earnings for wage workers per hour (local nominal currency),Median Earnings for wage workers per hour (deflated to 2010  local currency val),Real Median Hourly  Wages in USD (base 2010) (PPP adjusted),Median Earnings for wage workers per month ( local nominal currency),Median Earnings for wage workers per month (deflated to 2010 local currency valu),Real Median Monthly Wages in USD (base 2010) (PPP adjusted),Median Earnings for wage workers per month in agriculture (local nominal currenc),Median Earnings for wage workers per month in industry (local nominal currency),Median Earnings for wage workers per month in service (local nominal currency),Female to Male gender wage gap,Public to Private wage gap, No Education, Primary Education, Secondary Education, Post Secondary Education
0,Afghanistan,AFG,South Asia,SAS,2007,nrva,Female,12152827,0.48,0.18,0.31,0.02,0.21,0.5,0.52,0.49,0.03,2574194.0,0.45,0.45,0.54,0.44,0.01,0.98,0.02,0.96,0.04,0.05,0.95,0.0,,,,,,0.03,0.77,0.1,0.14,0.23,0.32,0.0,0.09,0.0,0.0,0.03,0.0,0.0,0.01,0.09,,,,,,,,,,,36.0,0.62,0.21,,,,,,,,,,,,0.87,0.04,0.08,0.02
1,Afghanistan,AFG,South Asia,SAS,2007,nrva,Higher education,7407306,0.71,0.17,0.12,0.01,0.29,0.29,0.52,0.49,0.03,1193691.0,0.61,0.28,0.23,0.58,0.04,0.95,0.05,0.92,0.08,0.43,0.57,0.01,,,,,,0.28,0.27,0.1,0.64,0.77,0.59,0.0,0.03,0.0,0.06,0.19,0.05,0.0,0.18,0.22,,,,,,,,,,,36.0,0.37,0.44,,,,,,,,,,,,0.0,0.0,0.7,0.3
2,Afghanistan,AFG,South Asia,SAS,2007,nrva,Lower education,17521661,0.39,0.19,0.38,0.04,0.18,0.57,0.52,0.49,0.03,6272353.0,0.66,0.47,0.37,0.65,0.04,0.98,0.02,0.97,0.03,0.19,0.8,0.0,,,,,,0.02,0.65,0.13,0.22,0.21,0.39,0.0,0.05,0.0,0.08,0.1,0.03,0.0,0.01,0.08,,,,,,,,,,,36.0,0.49,0.3,,,,,,,,,,,,0.88,0.07,0.05,0.0
3,Afghanistan,AFG,South Asia,SAS,2007,nrva,Male,12776140,0.49,0.19,0.29,0.03,0.21,0.48,0.52,0.49,0.03,4891850.0,0.85,,0.14,0.83,0.06,0.97,0.03,0.96,0.04,0.32,0.67,0.01,,,,,,0.08,0.49,0.14,0.36,,0.48,0.01,0.02,0.0,0.12,0.15,0.05,0.0,0.05,0.11,,,,,,,,,,,36.0,0.4,0.38,,,,,,,,,,,,0.62,0.09,0.22,0.08
4,Afghanistan,AFG,South Asia,SAS,2007,nrva,Old worker,7497719,0.0,0.0,1.0,0.0,0.21,1.0,0.52,0.49,0.03,5286863.0,0.71,0.49,,0.69,0.04,0.98,0.02,,,0.23,0.76,0.0,,,,,,0.07,0.6,0.11,0.29,0.2,,0.0,0.04,0.0,0.07,0.11,0.03,0.0,0.05,0.11,,,,,,,,,,,36.0,0.47,0.33,,,,,,,,,,,,0.84,0.04,0.07,0.05
5,Afghanistan,AFG,South Asia,SAS,2007,nrva,Rural,19653594,0.5,0.18,0.3,0.03,0.0,0.48,0.52,0.49,0.03,6194349.0,0.7,0.53,0.31,0.69,0.04,0.98,0.02,0.97,0.03,0.19,0.8,0.0,,,,,,0.03,0.69,0.12,0.2,0.19,0.34,0.0,0.04,0.0,0.07,0.07,0.02,0.0,0.02,0.08,,,,,,,,,,,36.0,0.53,0.26,,,,,,,,,,,,0.81,0.05,0.11,0.02
6,Afghanistan,AFG,South Asia,SAS,2007,nrva,Total,24928967,0.49,0.19,0.3,0.03,0.21,0.49,1.05,1.0,0.06,7466044.0,0.61,0.45,0.34,0.6,0.04,0.98,0.02,0.96,0.04,0.23,0.77,0.0,,,,,,0.06,0.59,0.13,0.29,0.23,0.43,0.0,0.05,0.0,0.08,0.11,0.03,0.0,0.04,0.11,,,,,,,,,,,36.0,0.47,0.32,,,,,,,,,,,,0.74,0.06,0.15,0.05
7,Afghanistan,AFG,South Asia,SAS,2007,nrva,Urban,5275373,0.44,0.23,0.3,0.03,1.0,0.53,0.52,0.49,0.03,1271695.0,0.48,0.18,0.41,0.46,0.02,0.95,0.05,0.91,0.09,0.4,0.59,0.01,,,,,,0.19,0.1,0.18,0.72,0.69,0.91,0.0,0.08,0.0,0.1,0.29,0.08,0.0,0.13,0.23,,,,,,,,,,,36.0,0.21,0.61,,,,,,,,,,,,0.49,0.1,0.29,0.12
8,Afghanistan,AFG,South Asia,SAS,2007,nrva,Young worker,4646204,0.0,1.0,0.0,0.0,0.26,1.0,0.52,0.49,0.03,2179181.0,0.55,0.37,0.34,0.53,0.03,0.96,0.04,0.96,0.04,0.22,0.78,0.0,,,,,,0.03,0.57,0.17,0.26,0.32,0.43,0.0,0.07,0.0,0.09,0.11,0.02,0.0,0.02,0.11,,,,,,,,,,,36.0,0.5,0.3,,,,,,,,,,,,0.59,0.09,0.26,0.05
9,Afghanistan,AFG,South Asia,SAS,2011,nrva,Female,13105589,0.48,0.2,0.31,0.02,0.23,0.51,0.52,0.5,0.02,1221253.0,0.2,0.2,0.69,0.16,,0.83,0.17,0.76,0.24,0.18,0.81,0.0,,,,,,0.09,0.54,0.23,0.22,0.46,0.56,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.01,0.21,0.0,0.09,0.0,0.0,0.04,0.0,0.2,0.05,0.32,0.0,41.0,0.63,0.15,,,,,,,,,,,,0.83,0.1,0.05,0.02
