Mental Health Keywords,Pandemic Keywords,Hashtages
depression,covid-19,#HereForYou
mental illness,pandemic,#depression
unalive,restriction,#selfcare
social anxiety,social distancing,#selflove
loneliness,circuit breaker,#mentalillness
stress,pre-covid,#therapy
lonely,coronavirus,#MentalHealthAwareness
isolation,quarantine,#AnxietyAwareness
suicide,lockdown,#ItsOkayToNotBeOkay
death,wfh,#EndTheStigmaofMentalHealth
post traumatic stress disorder,tighter measures,#mentalhealthmatters
no motivation,phase 2,#ptsd
therapy,vaccine,#stress
trauma,community cases,#trauma
counselling,epidemic,#selfcare4sg
mood disorder,mask,#ShiftYourMindset
mood swings,asymptomatic,#selfgrowth
mental health,fatality rate,#MentalHealthAdvovate
angst,clinical trial,#anxiety
emotion,contact tracing,#covid19
phobia,contactless,#support
addiction,national emergency,#pandemic
stigma,transmission,#love
self-harm,screening,#insomnia
neurosis,testing,
abuse,hospital,
disorder,healthcare worker ,
dependence,death,
socialize,symptomatic,
help,symptoms,
dead,isolation,
melancholia,safe distancing,
dysthemia,physical distancing,
tired,outbreak,
trapped,cluster,
paranoia,spread,
overwhelmed,hygiene,
irritable,crisis,
bipolar,new normal,
psychologist ,uncertainty,
well-being,zoom,
imh,retrenchment,
sos,variant,
counsellor,heightened alert,
toxic,stay home notice,
insominia,shn,
drugs,hbl,
fight,safe entry,
self-esteem,home based learning,
,frontline,
,school closure,
,job insecurity,
