sex	age	unemployment insurance fund	type of benefits	region	2018M01	2018M02	2018M03	2018M04	2018M05	2018M06	2018M07	2018M08	2018M09	2018M10	2018M11	2018M12	2019M01	2019M02	2019M03	2019M04	2019M05	2019M06	2019M07	2019M08	2019M09	2019M10	2019M11	2019M12	2020M01	2020M02	
Total	Age, total	Total	Gross unemployment	Region Hovedstaden	38894	38828	37496	34777	35192	34599	33067	34739	34393	34991	34751	34787	36606	36697	36158	33012	33476	34237	33185	34827	34085	34241	34305	34676	36780	36954
Total	Age, total	Total	Gross unemployment	Province Byen København	19436	19513	18690	17413	17683	17824	17891	18579	17785	18138	17744	17679	18773	18878	18622	17160	17430	18138	18597	19245	18332	18305	18144	18044	19212	19399
Total	Age, total	Total	Gross unemployment	Copenhagen	16194	16297	15561	14476	14687	14854	14973	15589	14844	15188	14853	14776	15709	15854	15652	14454	14692	15256	15669	16270	15490	15459	15354	15224	16267	16414
Total	Age, total	Total	Gross unemployment	Frederiksberg	2266	2268	2220	2107	2120	2108	2093	2173	2096	2100	2049	2045	2162	2149	2082	1908	1915	2053	2156	2184	2065	2058	1989	1998	2075	2137
Total	Age, total	Total	Gross unemployment	Dragør	193	179	182	171	181	166	158	166	170	162	167	171	178	174	177	161	179	181	161	165	161	165	167	174	168	168
Total	Age, total	Total	Gross unemployment	Tårnby	783	769	727	659	695	696	668	653	676	688	675	686	724	702	711	636	644	648	611	624	616	623	634	649	702	680
Total	Age, total	Total	Gross unemployment	Province Københavns omegn	11179	11105	10880	10183	10384	10016	9056	9736	9931	9995	9975	9922	10402	10475	10373	9461	9665	9792	8818	9435	9536	9540	9613	9704	10212	10264
Total	Age, total	Total	Gross unemployment	Albertslund	738	745	742	696	699	653	566	604	649	667	657	668	713	702	667	627	640	654	546	603	634	626	617	617	641	653
Total	Age, total	Total	Gross unemployment	Ballerup	873	865	837	766	802	772	675	722	750	768	768	750	796	809	800	727	749	761	664	742	761	745	761	757	815	814
Total	Age, total	Total	Gross unemployment	Brøndby	980	960	956	934	956	927	837	905	914	945	932	922	968	983	1002	901	909	910	806	889	902	900	920	947	996	1008
Total	Age, total	Total	Gross unemployment	Gentofte	1101	1112	1083	1000	1038	1033	957	1020	1027	1016	1047	1019	1086	1080	1081	980	997	1021	970	1017	990	1005	1012	1002	1040	1026
Total	Age, total	Total	Gross unemployment	Gladsaxe	1335	1354	1321	1249	1266	1230	1127	1165	1225	1188	1183	1167	1216	1238	1218	1098	1133	1130	1022	1058	1073	1075	1053	1085	1138	1130
Total	Age, total	Total	Gross unemployment	Glostrup	525	523	513	472	495	468	474	470	463	447	455	452	472	463	463	420	439	440	409	418	431	449	438	436	431	451
Total	Age, total	Total	Gross unemployment	Herlev	551	515	500	471	463	443	376	425	435	426	440	449	454	450	451	407	424	412	354	368	368	362	364	375	407	423
Total	Age, total	Total	Gross unemployment	Hvidovre	994	994	962	886	917	902	841	883	866	887	865	882	922	927	903	849	890	909	872	899	905	887	882	904	968	975
Total	Age, total	Total	Gross unemployment	Høje-Taastrup	1242	1227	1207	1145	1149	1100	948	1060	1064	1082	1078	1094	1132	1162	1150	1068	1068	1087	925	1016	1046	1075	1102	1117	1178	1184
Total	Age, total	Total	Gross unemployment	Ishøj	784	757	751	724	726	697	584	668	708	707	691	677	692	699	691	632	626	632	529	603	614	613	616	634	660	651
Total	Age, total	Total	Gross unemployment	Lyngby-Taarbæk	782	787	765	697	709	661	642	685	690	721	727	696	756	761	756	678	671	686	690	734	702	710	709	718	751	754
Total	Age, total	Total	Gross unemployment	Rødovre	990	987	957	873	882	868	799	862	872	879	856	876	911	923	907	833	858	887	810	836	857	836	874	849	908	902
Total	Age, total	Total	Gross unemployment	Vallensbæk	285	279	287	271	282	261	231	267	268	263	277	271	285	279	285	243	262	265	221	252	253	258	265	263	279	293
Total	Age, total	Total	Gross unemployment	Province Nordsjælland	7344	7305	7080	6506	6552	6268	5664	5965	6091	6124	6174	6259	6458	6439	6344	5813	5909	5882	5375	5737	5740	5798	5804	6107	6469	6470
Total	Age, total	Total	Gross unemployment	Allerød	294	295	284	251	261	243	231	234	232	243	258	254	245	259	269	237	242	245	230	244	250	268	273	284	300	301
Total	Age, total	Total	Gross unemployment	Egedal	646	632	622	569	586	562	512	519	553	575	587	598	604	620	614	557	575	574	533	547	548	567	560	590	625	621
Total	Age, total	Total	Gross unemployment	Fredensborg	633	632	597	539	539	536	495	528	563	562	562	580	589	582	575	490	498	502	463	542	509	504	463	508	560	548
Total	Age, total	Total	Gross unemployment	Frederikssund	772	810	781	703	719	671	604	645	636	673	662	642	630	628	631	560	566	580	527	556	558	573	591	618	661	654
Total	Age, total	Total	Gross unemployment	Furesø	541	531	542	511	507	478	426	460	467	463	473	478	495	497	503	475	477	466	404	437	448	465	469	479	532	545
Total	Age, total	Total	Gross unemployment	Gribskov	643	628	603	542	510	477	423	430	447	452	470	474	533	540	527	479	466	465	422	453	458	462	503	532	543	542
Total	Age, total	Total	Gross unemployment	Halsnæs	621	614	612	535	533	514	456	469	472	488	482	492	531	509	498	461	445	428	398	413	418	428	435	459	503	500
Total	Age, total	Total	Gross unemployment	Helsingør	1308	1284	1238	1155	1156	1094	977	1032	1069	1047	1055	1101	1147	1144	1103	1042	1085	1061	969	1012	1026	1011	1016	1082	1147	1146
Total	Age, total	Total	Gross unemployment	Hillerød	817	823	793	746	731	703	637	662	678	677	662	676	709	712	677	625	648	654	586	608	602	599	579	618	649	657
Total	Age, total	Total	Gross unemployment	Hørsholm	308	318	313	295	324	312	306	323	309	283	302	308	314	292	289	264	268	271	243	274	258	254	256	267	281	295
Total	Age, total	Total	Gross unemployment	Rudersdal	761	739	694	660	686	680	598	662	665	661	661	656	661	657	658	623	639	636	599	651	666	669	658	671	667	660
Total	Age, total	Total	Gross unemployment	Province Bornholm	935	905	846	675	573	490	456	459	586	734	858	928	973	906	819	578	473	424	395	410	477	598	745	821	888	822
Total	Age, total	Total	Gross unemployment	Bornholm	935	905	846	675	573	490	456	459	586	734	858	928	973	906	819	578	473	424	395	410	477	598	745	821	888	822
Total	Age, total	Total	Gross unemployment	Region Sjælland	16785	16751	16473	14754	14480	13792	12601	13003	13117	13499	13885	14280	15123	15176	14675	13268	13086	12930	12006	12421	12501	12928	13166	13758	14667	14729
Total	Age, total	Total	Gross unemployment	Province Østsjælland	4048	3966	3899	3601	3611	3486	3231	3448	3445	3513	3511	3568	3649	3649	3640	3378	3403	3402	3203	3356	3393	3484	3545	3587	3780	3761
Total	Age, total	Total	Gross unemployment	Greve	781	737	727	682	672	619	577	618	624	660	679	679	677	704	718	677	702	707	625	645	680	683	719	714	736	720
Total	Age, total	Total	Gross unemployment	Køge	1107	1106	1072	996	984	955	864	917	929	957	948	995	1034	1009	994	895	904	894	838	866	885	934	945	984	1035	1004
Total	Age, total	Total	Gross unemployment	Lejre	385	369	357	325	335	320	304	341	336	329	342	349	333	327	328	306	307	324	307	335	338	336	336	349	367	371
Total	Age, total	Total	Gross unemployment	Roskilde	1474	1458	1450	1329	1342	1333	1252	1329	1317	1307	1291	1301	1347	1350	1341	1254	1252	1252	1213	1264	1235	1254	1254	1235	1317	1348
Total	Age, total	Total	Gross unemployment	Solrød	301	297	294	269	277	257	235	242	238	260	252	244	258	259	259	246	238	225	220	246	256	276	291	304	324	317
Total	Age, total	Total	Gross unemployment	Province Vest- og Sydsjælland	12737	12785	12574	11154	10869	10306	9370	9556	9672	9987	10373	10712	11474	11527	11034	9890	9684	9528	8803	9065	9108	9444	9621	10172	10888	10968
Total	Age, total	Total	Gross unemployment	Faxe	743	732	733	666	670	651	601	618	631	639	655	662	713	702	658	593	585	552	521	561	560	597	580	606	666	664
Total	Age, total	Total	Gross unemployment	Guldborgsund	1360	1360	1371	1227	1187	1088	989	1019	1022	1057	1141	1181	1283	1284	1247	1098	1066	1047	968	994	1019	1044	1054	1113	1248	1271
Total	Age, total	Total	Gross unemployment	Holbæk	1373	1338	1269	1120	1112	1078	958	994	959	1008	1034	1071	1125	1148	1105	1000	1006	974	883	907	921	945	946	998	1076	1057
Total	Age, total	Total	Gross unemployment	Kalundborg	1038	1029	1010	852	834	760	700	715	748	792	817	847	889	871	808	730	728	704	636	670	691	723	736	779	850	855
Total	Age, total	Total	Gross unemployment	Lolland	1013	1018	1022	904	856	774	696	702	699	725	793	818	863	891	849	753	724	689	642	643	669	711	746	803	869	834
