Country name,Country Code,Region,Year of Survey,Survey Type,Subsample,Total population, Agriculture (aged 15-64), Industry (aged 15-64), Services (aged 15-64), Female in non-agricultural employment (aged 15-64),Youth in non-agricultural employment (aged 15-64), Mining (aged 15-64), Manufacturing (aged 15-64), Public utilities (aged 15-64), Construction (aged 15-64), Commerce (aged 15-64),Transport & Communication (aged 15-64),Financial and Business Services (aged 15-64),Public Administration (aged 15-64), Other services (aged 15-64), Senior Officials (aged 15-64), Professionals (aged 15-64), Technicians (aged 15-64), Clerks (aged 15-64), Service and Market Sales (aged 15-64), Skilled Agriculture (aged 15-64), Craft Workers (aged 15-64), Machine Operators (aged 15-64), Elementary Occupations (aged 15-64), Armed Forces
Afghanistan,AFG,South Asia,2011,nrva,Female,13105589,0.54,0.23,0.22,0.46,0.56,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.01,0.21,0.0,0.09,0.0,0.0,0.04,0.0,0.2,0.05,0.32,0.0
Afghanistan,AFG,South Asia,2011,nrva,Higher education,8168829,0.16,0.1,0.73,0.86,0.78,0.0,0.04,0.0,0.06,0.14,0.08,0.0,0.16,0.36,0.0,0.22,0.0,0.0,0.34,0.0,0.05,0.08,0.19,0.0
Afghanistan,AFG,South Asia,2011,nrva,Lower education,18785967,0.44,0.19,0.37,0.4,0.6,0.0,0.08,0.0,0.11,0.1,0.06,0.0,0.04,0.17,0.0,0.01,0.0,0.0,0.15,0.0,0.09,0.08,0.47,0.0
Afghanistan,AFG,South Asia,2011,nrva,Male,13849207,0.35,0.16,0.49,,0.66,0.0,0.04,0.0,0.12,0.13,0.07,0.0,0.07,0.21,0.0,0.05,0.0,0.0,0.22,0.0,0.06,0.08,0.43,0.0
Afghanistan,AFG,South Asia,2011,nrva,Old worker,8138972,0.39,0.15,0.46,0.41,,0.0,0.06,0.0,0.09,0.11,0.07,0.0,0.07,0.21,0.0,0.06,0.0,0.0,0.2,0.0,0.07,0.08,0.42,0.0
Afghanistan,AFG,South Asia,2011,nrva,Rural,19365469,0.46,0.16,0.38,0.4,0.57,0.0,0.06,0.0,0.1,0.08,0.05,0.0,0.05,0.2,0.0,0.04,0.0,0.0,0.15,0.0,0.07,0.06,0.48,0.0
Afghanistan,AFG,South Asia,2011,nrva,Total,26954796,0.38,0.17,0.45,0.46,0.64,0.0,0.07,0.0,0.1,0.11,0.06,0.0,0.06,0.21,0.0,0.05,0.0,0.0,0.19,0.0,0.08,0.08,0.41,0.0
Afghanistan,AFG,South Asia,2011,nrva,Urban,6130066,0.04,0.22,0.74,0.88,0.96,0.0,0.11,0.0,0.12,0.22,0.11,0.0,0.12,0.29,0.0,0.1,0.0,0.0,0.35,0.0,0.13,0.14,0.1,0.0
Afghanistan,AFG,South Asia,2011,nrva,Young worker,5106220,0.36,0.22,0.42,0.56,0.64,0.0,0.1,0.0,0.13,0.1,0.05,0.0,0.05,0.21,0.0,0.04,0.0,0.0,0.17,0.0,0.11,0.08,0.4,0.0
Albania,ALB,Europe and Central Asia,2012,lsms,Female,1404677,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Europe and Central Asia,2012,lsms,Higher education,1427405,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Europe and Central Asia,2008,lsms,Lower education,1646815,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Europe and Central Asia,2008,lsms,Male,1600157,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Europe and Central Asia,2012,lsms,Old worker,1407983,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Europe and Central Asia,2008,lsms,Rural,1626803,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Europe and Central Asia,2012,lsms,Total,2802801,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Europe and Central Asia,2008,lsms,Urban,1541480,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Europe and Central Asia,2012,lsms,Young worker,501560,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Sub-Saharan Africa,2008,ibep-,Female,8484786,0.64,0.01,0.35,0.36,0.29,0.0,0.0,0.0,0.0,0.22,0.01,0.0,0.01,0.1,0.01,0.03,0.03,0.02,0.13,0.46,0.0,0.0,0.32,0.01
Angola,AGO,Sub-Saharan Africa,2008,ibep-,Higher education,5909577,0.24,0.06,0.69,0.63,0.53,0.0,0.03,0.01,0.03,0.19,0.06,0.01,0.11,0.33,0.06,0.14,0.18,0.07,0.12,0.08,0.08,0.05,0.19,0.03
