,id,title,published_date,location,description,processed_text,label
0,mNQVqzMrNq8,Measures to prevent sexual abuse and harassment in the film industry,2020-02-21T17:47:28Z,IN,"Sexual abuse and harassment on film sets in SA has become so rife that some are employing safety officers on set, as well as intimacy co-ordinators so that sex ...","sexual abuse harassment film set sa become rife employ safety officer set, well intimacy co-ordinators sex ...",DV
1,ej9GF847yR0,Abuse in China: Kenyan Government writes to China after reports of harassment of Kenyan nationals,2020-04-10T19:11:38Z,IN,Kenyans threatening to retaliate against Chinese in the wake of xenophobic attacks. #Kenya #KTNNews #KTNPrime #COVID19 #CoronaVirus SUBSCRIBE to ...,kenyan threaten retaliate chinese wake xenophobic attacks. #kenya #ktnnews #ktnprime #covid19 #coronavirus subscribe ...,
2,xU-J58dtGLI,Shocking! Woman constable accuses Lucknow police officers of rape and harassment,2020-01-10T04:53:50Z,IN,Lucknow #WomanConstable A woman constable has accused Lucknow police officers of rape and harassment. A video where she can be seen crying and ...,lucknow #womanconstable woman constable accused lucknow police officer rape harassment. video see crying ...,NO_DV
3,8iajCgOH95Q,"Allegations of animal abuse, harassment fly in Fremont over humane society controversy",2020-05-07T23:53:17Z,IN,At least nine former Dodge County Humane Society employees have spoken out about their experiences.,least nine former dodge county humane society employee speak experiences.,NO_DV
4,NWgGuo0Vf1M,SportWorks TALKS &quot;Prevention of harassment and abuse in sport: The role of sports organisation&quot;,2020-04-22T07:51:25Z,IN,"SportWorks TALKS - #MeetTheMembers - Webinar Series 2020 TALK: ""Prevention of harassment and abuse in sport: The role of sports organisation"" GUEST: ...","sportworks talks - #meetthemembers - webinar series 2020 talk: ""prevention harassment abuse sport: role sport organisation"" guest: ...",NO_DV
5,Eza3uUvBETM,Not Okay: 5 Women Share Their Everyday Sexual Harassment Stories | Women&#39;s Day | The Quint,2020-03-07T06:49:05Z,IN,"This #InternationaWomensDay, The Quint spoke to five women who shared stories of #SexualHarassment, how they fought back and the trauma that lingers on.","#internationawomensday, quint spoke five woman share story #sexualharassment, fight back trauma linger on.",DV
6,rrd6MVP3vpE,Iowa Sheriff Arrested for Domestic Abuse Also Faces Sexual Harassment Allegation,2020-04-15T19:28:29Z,IN,The man in charge of the Calhoun County Jail is now behind bars himself.,man charge calhoun county jail behind bars himself.,
7,mnFdfYESoMc,How to Beat Sexual Harassment in the Workplace,2020-05-15T00:32:03Z,IN,Adrienne Lawrence speaks with Francesca Fiorentini on The Conversation about her new book Staying in the Game: The Playbook for Beating Sexual ...,adrienne lawrence speak francesca fiorentini conversation new book stay game: playbook beating sexual ...,DV
8,rLkueAXa92s,"Report: A culture of misogyny, sexual harassment by top execs at Victoria&#39;s Secret",2020-02-01T23:09:26Z,IN,"Report: A culture of misogyny, sexual harassment by top execs at Victoria's Secret.","report: culture misogyny, sexual harassment top exec victoria's secret.",DV
9,i9kuAHOnFsY,Addressing Sexual Harassment and Abuse in The Spiritual &amp; YouTube Community,2020-03-23T03:42:38Z,IN,"Not fun to talk about but it has to be said because it's going on. Be safe, be aware and know your worth. No one deserves abuse or harassment EVER. Anyone ...","fun talk say going on. safe, aware know worth. one deserve abuse harassment ever. anyone ...",NO_DV
10,ULgC_CF89VQ,Sexual Harassment Case In Ambala Given Communal Spin,2020-01-22T08:40:05Z,IN,A two-minute long video showing women beating up the accused is viral on social media with claims that he is a Muslim man who was harassing a 5-year-old ...,two-minute long video showing woman beating accused viral social medium claim muslim man harass 5-year-old ...,NO_DV
11,FHDA9u2wrpg,"Bystander guide: tips for intervening if you see harassment, vilification or abuse.",2020-03-03T06:48:25Z,IN,"Have you seen public acts of harassment, vilification, or racist abuse, but been unsure what to do about it? This short video provides some tips for bystanders on ...","see public acts harassment, vilification, racist abuse, unsure it? short video provide tip bystander ...",NO_DV
12,v6RkwBEyBSI,SEXUAL HARASSMENT RAPE THREATS #Boys Locker Room | Magizhchi Media | Sriram Chellaiah |,2020-05-06T08:55:14Z,IN,SEXUAL HARASSMENT RAPE THREATS |MagizhchiMedia| #BoysLockerRoom #sriramchellaiah #sexualharassment.,sexual harassment rape threat |magizhchimedia| #boyslockerroom #sriramchellaiah #sexualharassment.,DV
13,4qWt2qZ59w8,"Sexual Assault, Consent and Sexual Harassment: What&#39;s The Difference?",2020-04-16T12:15:47Z,IN,"What is the difference between sexual assault, consent and sexual harassment? Watch this short video and check out the related videos below to learn more!","difference sexual assault, consent sexual harassment? watch short video check relate video learn more!",DV
14,FXgVs4vQPjc,Enough is Enough: STOP Sexual Harassment! | Shaykh Dr. Yasir Qadhi,2020-01-21T18:00:09Z,IN,"This is an issue that is found everywhere around the world, even in Islamic countries. You will be shocked if you were to look at the number of cases in such ...","issue found everywhere around world, even islamic countries. shock look number case ...",
15,6uvzMV1tANY,&#39;They abused &amp; threatened me&#39;: Surat doctor accuses neighbours of harassment,2020-04-07T10:27:24Z,IN,"Even as healthcare workers are risking their lives to battle the COVID-19 pandemic, reports have emerged of some being harassed. After the shocking Indore ...","even healthcare worker risk life battle covid-19 pandemic, report emerge harassed. shock indore ...",NO_DV
16,Cxkn7Xu3W0s,SEXUAL HARASSMENT &amp; ABUSE PART 1,2020-04-30T05:43:39Z,IN,"UNDERGROUND [UG] Is the Arlington Seventh-day Adventist Church High-School student ministry. UG Exist to Engage, Prepare, and Empower students to ...","underground [ug] arlington seventh-day adventist church high-school student ministry. ug exist engage, prepare, empower student ...",
