seasonal adjustment and actual figures	benefits, sex and age	2018M01	2018M02	2018M03	2018M04	2018M05	2018M06	2018M07	2018M08	2018M09	2018M10	2018M11	2018M12	2019M01	2019M02	2019M03	2019M04	2019M05	2019M06	2019M07	2019M08	2019M09	2019M10	2019M11	2019M12	2020M01	2020M02	
Seasonally adjusted figures in percent of the labour force	16-24 years	2.4	2.3	2.3	2.3	2.2	2.2	2.1	2.1	2.1	2.1	2.0	1.9	2.0	1.9	1.9	1.9	1.9	1.9	2.0	1.9	1.9	1.8	1.8	1.8	1.8	1.8
Seasonally adjusted figures in percent of the labour force	25-29 years	7.2	7.2	7.2	7.1	7.0	7.0	7.0	7.0	6.9	6.9	6.8	6.8	6.8	6.8	6.8	6.8	6.8	7.0	7.0	7.0	6.9	6.9	7.0	6.9	7.0	7.0
Seasonally adjusted figures in percent of the labour force	30-39 years	5.3	5.3	5.3	5.3	5.2	5.2	5.1	5.1	5.1	5.1	5.0	5.0	4.9	4.9	4.9	4.9	4.9	5.0	5.0	5.0	4.9	4.9	5.0	4.9	4.9	4.9
Seasonally adjusted figures in percent of the labour force	40-49 years	3.3	3.3	3.4	3.3	3.3	3.2	3.2	3.1	3.1	3.1	3.1	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.9	2.9
Seasonally adjusted figures in percent of the labour force	50-59 years	3.2	3.1	3.2	3.2	3.1	3.1	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Seasonally adjusted figures in percent of the labour force	60 years and more	3.3	3.3	3.4	3.3	3.3	3.3	3.3	3.3	3.4	3.4	3.5	3.5	3.2	3.3	3.3	3.3	3.3	3.4	3.5	3.5	3.6	3.6	3.7	3.7	3.7	3.7
Seasonally adjusted	16-24 years	9646.3	9409.5	9329.5	9099.3	8881.8	8671.8	8626.0	8575.1	8418.8	8260.3	8106.7	7852.5	7891.4	7789.7	7685.8	7587.6	7591.1	7805.8	7984.7	7596.0	7505.4	7428.2	7312.6	7069.4	7175.0	7175.3
Seasonally adjusted	25-29 years	21637.1	21424.9	21502.1	21275.2	21037.4	20937.0	20903.1	20942.1	20791.9	20707.8	20469.4	20395.6	20458.9	20359.4	20459.6	20483.1	20317.6	20846.1	21044.2	21034.8	20714.3	20711.1	20834.1	20781.0	20852.0	20955.1
Seasonally adjusted	30-39 years	30177.7	29894.8	30211.9	30113.6	29781.9	29357.8	29167.1	29078.7	28959.6	28757.9	28445.1	28222.0	27944.1	27885.4	27929.1	27748.4	27920.1	28167.1	28227.1	28223.8	28035.7	27985.3	28108.5	28083.2	28080.9	27818.6
Seasonally adjusted	40-49 years	21962.6	21832.0	22126.3	21911.0	21621.0	21258.1	20773.4	20568.4	20398.7	20348.6	20179.2	19998.9	19818.0	19774.1	19819.2	19666.6	19584.1	19824.6	19808.7	19727.3	19689.0	19502.0	19489.2	19485.4	19355.6	19285.5
Seasonally adjusted	50-59 years	21049.2	20715.6	21065.1	21014.5	20657.5	20197.6	20018.5	20037.5	19936.6	19976.3	19865.0	19855.9	19637.7	19645.9	19633.9	19596.1	19694.0	19959.6	19992.3	19885.8	19881.9	19685.5	19745.7	19700.1	19579.5	19621.0
Seasonally adjusted	60 years and more	7409.1	7390.0	7468.4	7375.8	7375.5	7294.7	7274.2	7388.7	7507.9	7636.8	7696.9	7806.6	7851.6	7939.3	8056.4	8039.5	8117.5	8327.0	8462.1	8601.4	8686.9	8829.0	8924.6	8961.5	8991.4	9067.6
Enumerated actual figures  in percent of the labour force	16-24 years	2.5	2.6	2.5	2.2	2.0	2.1	2.2	2.2	1.9	2.0	1.9	1.9	2.1	2.2	2.0	1.8	1.7	1.9	2.1	2.0	1.7	1.8	1.7	1.7	1.9	2.0
Enumerated actual figures  in percent of the labour force	25-29 years	7.6	7.7	7.3	6.7	6.4	6.7	7.7	7.4	6.8	6.8	6.6	6.6	7.2	7.4	6.9	6.4	6.1	6.6	7.8	7.5	6.8	6.8	6.7	6.7	7.3	7.6
Enumerated actual figures  in percent of the labour force	30-39 years	5.7	5.7	5.6	5.2	5.1	5.0	4.8	5.0	4.9	5.0	5.0	5.1	5.3	5.3	5.1	4.7	4.8	4.8	4.6	4.9	4.8	4.8	4.9	5.1	5.4	5.3
Enumerated actual figures  in percent of the labour force	40-49 years	3.7	3.7	3.6	3.2	3.2	3.1	2.7	3.0	3.0	3.0	3.1	3.2	3.4	3.3	3.2	2.9	2.9	2.9	2.6	2.9	2.9	2.9	3.0	3.1	3.3	3.3
Enumerated actual figures  in percent of the labour force	50-59 years	3.7	3.6	3.5	3.0	3.1	2.9	2.5	2.7	2.8	3.0	3.1	3.2	3.5	3.4	3.2	2.8	2.9	2.8	2.5	2.7	2.8	2.9	3.0	3.2	3.5	3.4
Enumerated actual figures  in percent of the labour force	60 years and more	3.7	3.7	3.6	3.1	3.4	3.2	2.8	3.0	3.2	3.4	3.5	3.7	3.6	3.6	3.5	3.1	3.4	3.3	3.0	3.2	3.4	3.6	3.7	3.9	4.2	4.2
Enumerated actual figures	16-24 years	10212.4	10434.4	9973.3	8971.1	8212.7	8441.3	8949.8	8732.4	7820.0	7874.1	7782.5	7661.7	8401.5	8691.5	8230.2	7375.1	6886.0	7526.1	8426.4	7910.2	7007.7	7097.7	6955.9	6832.0	7664.7	8061.5
Enumerated actual figures	25-29 years	22642.9	23129.9	21935.8	20094.4	19044.0	19918.9	22900.7	22144.1	20423.8	20376.6	19789.4	19797.7	21435.9	22005.1	20779.1	19145.1	18251.1	19837.5	23293.7	22542.5	20461.4	20400.0	20063.2	20070.7	21811.8	22624.9
Enumerated actual figures	30-39 years	32611.4	32244.7	31662.1	29258.7	29110.3	28423.7	27071.3	28531.8	28042.0	28294.6	28320.6	28826.6	30235.1	30064.9	29127.9	26896.1	27177.5	27185.7	26235.6	27865.5	27164.4	27527.3	28002.2	28715.9	30427.2	30315.0
Enumerated actual figures	40-49 years	24592.2	24150.0	23532.0	21179.8	21267.2	20287.6	17686.3	19544.7	19666.9	19959.2	20363.0	21031.1	22227.6	21909.5	21104.7	18957.1	19215.5	18849.8	16781.4	18782.4	18952.8	19124.2	19657.5	20587.3	21844.9	21429.4
Enumerated actual figures	50-59 years	24411.1	23579.3	22916.7	19933.6	20331.7	18945.2	16523.2	18100.7	18813.5	19561.8	20227.1	21355.3	22808.0	22393.7	21304.8	18642.0	19376.9	18625.7	16428.0	17951.3	18748.9	19234.1	20064.8	21295.6	22887.7	22481.1
Enumerated actual figures	60 years and more	8291.2	8185.7	7993.7	6958.6	7491.0	7082.2	6230.6	6758.3	7133.1	7514.2	7828.0	8224.3	8800.0	8819.8	8594.4	7605.1	8225.3	8059.9	7217.7	7844.5	8243.8	8693.3	9078.9	9482.0	10117.4	10094.4
