Map key,Name of State or Union Territory,Number of Districts,Population[4],Population/district
1,Andhra Pradesh,13,"49,386,799","3,798,985"
2,Arunachal Pradesh,25,"1,383,727","57,656"
3,Assam,33,"31,169,272","944,523"
4,Bihar,38,"104,099,452","2,739,459"
5,Chhattisgarh,28,"25,545,198","946,118"
6,Goa,2,"1,458,545","729,273"
7,Gujarat,33,"60,439,692","1,831,506"
8,Haryana,22,"25,351,462","1,152,339"
9,Himachal Pradesh,12,"6,864,602","572,050"
10,Jharkhand,24,"32,988,134","1,374,506"
11,Karnataka,30,"61,095,297","2,036,510"
12,Kerala,14,"33,406,061","2,386,147"
13,Madhya Pradesh,55,"72,626,809","1,396,669"
14,Maharashtra,36,"112,374,333","3,121,509"
15,Manipur,16,"2,721,756","170,110"
16,Meghalaya,11,"2,966,889","269,717"
17,Mizoram,11,"1,097,206","137,151"
18,Nagaland,12,"1,978,502","179,864"
19,Odisha,30,"41,974,218","1,399,141"
20,Punjab,22,"27,743,338","1,261,061"
21,Rajasthan,33,"68,548,437","2,077,225"
22,Sikkim,4,"610,577","152,644"
23,Tamil Nadu,38,"72,147,030","2,254,595"
24,Telangana,33,"35,193,978","1,135,290"
25,Tripura,8,"3,673,917","459,240"
26,Uttar Pradesh,75,"199,812,341","2,664,165"
27,Uttarakhand,13,"10,086,292","775,869"
28,West Bengal,23,"91,276,115","3,968,527"
A,Andaman and Nicobar Islands,3,"380,581","126,860"
B,Chandigarh,1,"1,055,450","1,055,450"
C,Dadra and Nagar Haveli and Daman and Diu,3,"586,956","195,652"
D,Jammu and Kashmir,20,"1,247,953","311,988"
E,Ladakh,2,"1,247,953","311,988"
F,Lakshadweep,1,"64,473","64,473"
G,Delhi,11,"16,787,941","1,526,176"
"H, I",Puducherry,4,"1,247,953","311,988"
36,Total,739,"1,210,854,977","1,677,084"
