Code,Subdivision name (en),Local variant,Subdivision category
IN-AP,Andhra Pradesh,,State
IN-AR,Arunachal Pradesh,,State
IN-AS,Assam,,State
IN-BR,Bihar,,State
IN-CT,Chhattisgarh[note 1],,State
IN-GA,Goa,,State
IN-GJ,Gujarat,,State
IN-HR,Haryana,,State
IN-HP,Himachal Pradesh,,State
IN-JH,Jharkhand,,State
IN-KA,Karnataka,,State
IN-KL,Kerala,,State
IN-MP,Madhya Pradesh,,State
IN-MH,Maharashtra,,State
IN-MN,Manipur,,State
IN-ML,Meghalaya,,State
IN-MZ,Mizoram,,State
IN-NL,Nagaland,,State
IN-OR,Odisha[note 2],,State
IN-PB,Punjab,,State
IN-RJ,Rajasthan,,State
IN-SK,Sikkim,,State
IN-TN,Tamil Nadu,,State
IN-TG,Telangana[note 3],,State
IN-TR,Tripura,,State
IN-UT,Uttarakhand[note 4],,State
IN-UP,Uttar Pradesh,,State
IN-WB,West Bengal,,State
IN-AN,Andaman and Nicobar Islands,,Union territory
IN-CH,Chandigarh,,Union territory
IN-DN,Dadra and Nagar Haveli[note 5],,Union territory
IN-DD,Daman and Diu[note 6],,Union territory
IN-DL,Delhi,,Union territory
IN-JK,Jammu and Kashmir,,Union territory
IN-LA,Ladakh,,Union territory
IN-LD,Lakshadweep,,Union territory
IN-PY,Puducherry,Pondicherry,Union territory
