,title,description,topic,source
0,New safe space for child victims of crime,The centre will give children in Scotland a welcoming place to give evidence and receive trauma support.,child abuse,BBC
1,Abuse victims still allowed to leave home - Patel,"The government's coronavirus rules are tougher on people at risk of domestic abuse, the home secretary says.",child abuse,BBC
2,Online child abuse warning during lockdown,Europol is warning that online child abusers are preparing to take advantage of more unsupervised kids online.,child abuse,BBC
3,Grooming gang petition set to be debated by MPs,"The petition calling for the release of Home Office research has gained more than 100,000 signatures.",child abuse,BBC
4,Apps 'must check images for abuse before publishing',Inquiry says apps should screen posts before displaying them to help tackle 'explosion' of child abuse imagery.,child abuse,BBC
5,'Zainab's law' aims to catch child abusers,Pakistan legislates two years after the murder of a girl of seven prompts a debate on child abuse.,child abuse,BBC
6,'My search for the boy in a child abuse video',Lucy Proctor was horrified when she was WhatsApped a sex abuse video. And she wanted to find out if the boy was safe.,child abuse,BBC
7,David Tait: De-stigmatise survivors of abuse,"People should be able to speak openly about what they faced, says Mr Tait who was abused as a child.",child abuse,BBC
8,'I was abused - now I want to give hope to others',Rhys Dickinson is using his own experience of child sex abuse to help give young survivors a voice.,child abuse,BBC
9,Scientists aim to spot abusers from their hands,A study hopes to discover whether our hands are truly unique by looking at anatomical differences.,child abuse,BBC
10,Six ways the lockdown has changed the UK,"After three weeks of the restrictions, many aspects of everyday life have been transformed.",domestic abuse,BBC
11,When home gets violent under lockdown in Europe,Worrying cases of domestic abuse have emerged across Europe after weeks of confinement.,domestic abuse,BBC
12,New domestic abuse helpline set up for Hampshire,Aurora New Dawn started the service after national charities were inundated with calls.,domestic abuse,BBC
13,Domestic abuse services to get £2m amid lockdown,The Home Office is also launching a new campaign called 'You Are Not Alone' for victims needing help.,domestic abuse,BBC
14,Cheshire Police launch anti-domestic violence campaign,"Cheshire ConstabularyCheshire's chief constable and police and crime commissioner have launched a campaign called Open the Door to support dometic violence victims who are self-isolating.Working with councils, officers are sharing information and leaflets in public locations and businesses.Crime commissioner David Keane said:With the government asking everyone to stay at home to help fight the Covid-19 outbreak, I am concerned that domestic abuse incidents could increase as vulnerable people are trapped at home with abusive partners.The National Domestic Abuse charity said staff had seen a 25% rise in calls since lockdown began.A spokesman for Cheshire Constabulary said the force wants to do more to encourage domestic abuse victims to seek help from the police or at support services across the county.",domestic abuse,BBC
15,Man who killed partner by throwing phone jailed,"A judge says Lloyd Birkby ""poses a significant risk of harm to intimate future partners"".",domestic abuse,BBC
