Economy,ADB Country Code,Sector,Country 2018 GDP,Scenario,as % of total GDP,in $ Mn,Employment (in 000),as % of sector GDP,as % of sector employment
Australia,AUS,'AgricultureMining and Quarrying',1433904.349,'Shorter containmentsmaller demand shock',-0.33,' 4,671.70 ',18,-2.70,-2.65
Australia,AUS,'BusinessTradePersonaland Public Services',1433904.349,'Shorter containmentsmaller demand shock',-1.41,' 20,147.01 ',191,-2.31,-2.29
Australia,AUS,Hotel and restaurants and Other Personal Services,1433904.349,'Shorter containmentsmaller demand shock',-0.35,' 5,023.10 ',112,-6.70,-7.24
Australia,AUS,'Light/Heavy ManufacturingUtilitiesand Construction',1433904.349,'Shorter containmentsmaller demand shock',-0.39,' 5,660.89 ',54,-2.31,-2.29
Australia,AUS,Transport services,1433904.349,'Shorter containmentsmaller demand shock',-0.30,' 4,307.48 ',47,-6.47,-7.22
Australia,AUS,_All,1433904.349,'Shorter containmentsmaller demand shock',-2.78,' 39,810.18 ',422,-2.78,-3.11
Austria,AUT,'AgricultureMining and Quarrying',455285.818,'Shorter containmentsmaller demand shock',-0.03147.80 ,6,-2.10,-1.99
Austria,AUT,'BusinessTradePersonaland Public Services',455285.818,'Shorter containmentsmaller demand shock',-1.12,' 5,112.21 ',55,-2.05,-2.01
Austria,AUT,Hotel and restaurants and Other Personal Services,455285.818,'Shorter containmentsmaller demand shock',-0.56,' 2,547.44 ',33,-5.06,-5.08
Austria,AUT,'Light/Heavy ManufacturingUtilitiesand Construction',455285.818,'Shorter containmentsmaller demand shock',-0.51,' 2,306.08 ',22,-1.83,-1.82
Austria,AUT,Transport services,455285.818,'Shorter containmentsmaller demand shock',-0.40,' 1,827.21 ',21,-7.93,-8.50
Austria,AUT,_All,455285.818,'Shorter containmentsmaller demand shock',-2.62,' 11,940.76 ',138,-2.62,-2.67
Belgium,BEL,'AgricultureMining and Quarrying',542761.0921,'Shorter containmentsmaller demand shock',-0.0282.40 ,1,-1.96,-1.98
Belgium,BEL,'BusinessTradePersonaland Public Services',542761.0921,'Shorter containmentsmaller demand shock',-1.34,' 7,287.43 ',73,-2.05,-2.04
Belgium,BEL,Hotel and restaurants and Other Personal Services,542761.0921,'Shorter containmentsmaller demand shock',-0.21,' 1,130.04 ',14,-3.26,-3.13
