LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,PPP,TOT,NATUSD,A,2003,1.354042,
AUS,PPP,TOT,NATUSD,A,2004,1.366762,
AUS,PPP,TOT,NATUSD,A,2005,1.388356,
AUS,PPP,TOT,NATUSD,A,2006,1.403933,
AUS,PPP,TOT,NATUSD,A,2007,1.42752,
AUS,PPP,TOT,NATUSD,A,2008,1.479073,
AUS,PPP,TOT,NATUSD,A,2009,1.441454,
AUS,PPP,TOT,NATUSD,A,2010,1.502756,
AUS,PPP,TOT,NATUSD,A,2011,1.511052,
AUS,PPP,TOT,NATUSD,A,2012,1.540115,
AUS,PPP,TOT,NATUSD,A,2013,1.447123,
AUS,PPP,TOT,NATUSD,A,2014,1.452489,
AUS,PPP,TOT,NATUSD,A,2015,1.474079,
AUS,PPP,TOT,NATUSD,A,2016,1.449851,
AUS,PPP,TOT,NATUSD,A,2017,1.465824,
AUS,PPP,TOT,NATUSD,A,2018,1.450856,
AUS,PPP,TOT,NATUSD,A,2019,1.47162,
AUT,PPP,TOT,NATUSD,A,1960,0.96508,
AUT,PPP,TOT,NATUSD,A,1961,1.006974,
AUT,PPP,TOT,NATUSD,A,1962,1.02202,
AUT,PPP,TOT,NATUSD,A,1963,1.043092,
AUT,PPP,TOT,NATUSD,A,1964,1.058072,
AUT,PPP,TOT,NATUSD,A,1965,1.087932,
AUT,PPP,TOT,NATUSD,A,1966,1.084075,
AUT,PPP,TOT,NATUSD,A,1967,1.088047,
AUT,PPP,TOT,NATUSD,A,1968,1.067039,
AUT,PPP,TOT,NATUSD,A,1969,1.042291,
AUT,PPP,TOT,NATUSD,A,1970,1.01774,
AUT,PPP,TOT,NATUSD,A,1971,1.028755,
AUT,PPP,TOT,NATUSD,A,1972,1.061072,
AUT,PPP,TOT,NATUSD,A,1973,1.086913,
AUT,PPP,TOT,NATUSD,A,1974,1.091917,
AUT,PPP,TOT,NATUSD,A,1975,1.063871,
AUT,PPP,TOT,NATUSD,A,1976,1.065111,
AUT,PPP,TOT,NATUSD,A,1977,1.054936,
AUT,PPP,TOT,NATUSD,A,1978,1.044678,
AUT,PPP,TOT,NATUSD,A,1979,1.004334,
AUT,PPP,TOT,NATUSD,A,1980,0.972533,
AUT,PPP,TOT,NATUSD,A,1981,0.94814,
AUT,PPP,TOT,NATUSD,A,1982,0.940792,
AUT,PPP,TOT,NATUSD,A,1983,0.936772,
AUT,PPP,TOT,NATUSD,A,1984,0.948906,
AUT,PPP,TOT,NATUSD,A,1985,0.947072,
AUT,PPP,TOT,NATUSD,A,1986,0.955772,
AUT,PPP,TOT,NATUSD,A,1987,0.95544,
AUT,PPP,TOT,NATUSD,A,1988,0.936977,
AUT,PPP,TOT,NATUSD,A,1989,0.928361,
AUT,PPP,TOT,NATUSD,A,1990,0.921707,
AUT,PPP,TOT,NATUSD,A,1991,0.924026,
AUT,PPP,TOT,NATUSD,A,1992,0.934869,
AUT,PPP,TOT,NATUSD,A,1993,0.93841,
AUT,PPP,TOT,NATUSD,A,1994,0.941989,
AUT,PPP,TOT,NATUSD,A,1995,0.939379,
AUT,PPP,TOT,NATUSD,A,1996,0.935491,
AUT,PPP,TOT,NATUSD,A,1997,0.931818,
AUT,PPP,TOT,NATUSD,A,1998,0.922781,
AUT,PPP,TOT,NATUSD,A,1999,0.923906,
AUT,PPP,TOT,NATUSD,A,2000,0.90728,
AUT,PPP,TOT,NATUSD,A,2001,0.922773,
AUT,PPP,TOT,NATUSD,A,2002,0.899797,
AUT,PPP,TOT,NATUSD,A,2003,0.889139,
AUT,PPP,TOT,NATUSD,A,2004,0.878875,
AUT,PPP,TOT,NATUSD,A,2005,0.881939,
AUT,PPP,TOT,NATUSD,A,2006,0.861063,
AUT,PPP,TOT,NATUSD,A,2007,0.869081,
AUT,PPP,TOT,NATUSD,A,2008,0.854424,
AUT,PPP,TOT,NATUSD,A,2009,0.84292,
AUT,PPP,TOT,NATUSD,A,2010,0.841628,
AUT,PPP,TOT,NATUSD,A,2011,0.831374,
AUT,PPP,TOT,NATUSD,A,2012,0.813648,
AUT,PPP,TOT,NATUSD,A,2013,0.797081,
AUT,PPP,TOT,NATUSD,A,2014,0.798797,
AUT,PPP,TOT,NATUSD,A,2015,0.798599,
AUT,PPP,TOT,NATUSD,A,2016,0.77701,
AUT,PPP,TOT,NATUSD,A,2017,0.77037,
AUT,PPP,TOT,NATUSD,A,2018,0.767172,
AUT,PPP,TOT,NATUSD,A,2019,0.765966,
BEL,PPP,TOT,NATUSD,A,1960,0.861825,
BEL,PPP,TOT,NATUSD,A,1961,0.863464,
BEL,PPP,TOT,NATUSD,A,1962,0.857953,
BEL,PPP,TOT,NATUSD,A,1963,0.871225,
BEL,PPP,TOT,NATUSD,A,1964,0.895709,
BEL,PPP,TOT,NATUSD,A,1965,0.9168,
BEL,PPP,TOT,NATUSD,A,1966,0.922523,
BEL,PPP,TOT,NATUSD,A,1967,0.925407,
BEL,PPP,TOT,NATUSD,A,1968,0.905811,
BEL,PPP,TOT,NATUSD,A,1969,0.89597,
BEL,PPP,TOT,NATUSD,A,1970,0.888869,
BEL,PPP,TOT,NATUSD,A,1971,0.893315,
BEL,PPP,TOT,NATUSD,A,1972,0.910744,
BEL,PPP,TOT,NATUSD,A,1973,0.924456,
BEL,PPP,TOT,NATUSD,A,1974,0.954677,
BEL,PPP,TOT,NATUSD,A,1975,0.979982,
BEL,PPP,TOT,NATUSD,A,1976,0.999227,
BEL,PPP,TOT,NATUSD,A,1977,1.011125,
BEL,PPP,TOT,NATUSD,A,1978,0.986463,
BEL,PPP,TOT,NATUSD,A,1979,0.951928,
BEL,PPP,TOT,NATUSD,A,1980,0.908783,
BEL,PPP,TOT,NATUSD,A,1981,0.872893,
BEL,PPP,TOT,NATUSD,A,1982,0.884338,
BEL,PPP,TOT,NATUSD,A,1983,0.898772,
BEL,PPP,TOT,NATUSD,A,1984,0.914655,
BEL,PPP,TOT,NATUSD,A,1985,0.927647,
BEL,PPP,TOT,NATUSD,A,1986,0.934766,
BEL,PPP,TOT,NATUSD,A,1987,0.927574,
BEL,PPP,TOT,NATUSD,A,1988,0.915403,
BEL,PPP,TOT,NATUSD,A,1989,0.923129,
BEL,PPP,TOT,NATUSD,A,1990,0.914846,
BEL,PPP,TOT,NATUSD,A,1991,0.910376,
BEL,PPP,TOT,NATUSD,A,1992,0.920573,
BEL,PPP,TOT,NATUSD,A,1993,0.935176,
BEL,PPP,TOT,NATUSD,A,1994,0.9348,
BEL,PPP,TOT,NATUSD,A,1995,0.926779,
BEL,PPP,TOT,NATUSD,A,1996,0.929274,
BEL,PPP,TOT,NATUSD,A,1997,0.927793,
BEL,PPP,TOT,NATUSD,A,1998,0.935617,
BEL,PPP,TOT,NATUSD,A,1999,0.931348,
BEL,PPP,TOT,NATUSD,A,2000,0.899777,
BEL,PPP,TOT,NATUSD,A,2001,0.892248,
BEL,PPP,TOT,NATUSD,A,2002,0.8733,
BEL,PPP,TOT,NATUSD,A,2003,0.877071,
BEL,PPP,TOT,NATUSD,A,2004,0.889132,
BEL,PPP,TOT,NATUSD,A,2005,0.891788,
BEL,PPP,TOT,NATUSD,A,2006,0.875325,
BEL,PPP,TOT,NATUSD,A,2007,0.879887,
BEL,PPP,TOT,NATUSD,A,2008,0.86694,
BEL,PPP,TOT,NATUSD,A,2009,0.849292,
BEL,PPP,TOT,NATUSD,A,2010,0.836013,
BEL,PPP,TOT,NATUSD,A,2011,0.831911,
BEL,PPP,TOT,NATUSD,A,2012,0.822137,
BEL,PPP,TOT,NATUSD,A,2013,0.806166,
BEL,PPP,TOT,NATUSD,A,2014,0.800214,
BEL,PPP,TOT,NATUSD,A,2015,0.799784,
BEL,PPP,TOT,NATUSD,A,2016,0.78109,
BEL,PPP,TOT,NATUSD,A,2017,0.772879,
BEL,PPP,TOT,NATUSD,A,2018,0.769659,
BEL,PPP,TOT,NATUSD,A,2019,0.768387,
CAN,PPP,TOT,NATUSD,A,1960,0.953324,
CAN,PPP,TOT,NATUSD,A,1961,0.94867,
CAN,PPP,TOT,NATUSD,A,1962,0.941626,
CAN,PPP,TOT,NATUSD,A,1963,0.948107,
CAN,PPP,TOT,NATUSD,A,1964,0.957314,
CAN,PPP,TOT,NATUSD,A,1965,0.963874,
CAN,PPP,TOT,NATUSD,A,1966,0.977764,
CAN,PPP,TOT,NATUSD,A,1967,0.992304,
CAN,PPP,TOT,NATUSD,A,1968,0.980698,
CAN,PPP,TOT,NATUSD,A,1969,0.97448,
CAN,PPP,TOT,NATUSD,A,1970,0.937057,
CAN,PPP,TOT,NATUSD,A,1971,0.936287,
CAN,PPP,TOT,NATUSD,A,1972,0.949722,
CAN,PPP,TOT,NATUSD,A,1973,0.987082,
CAN,PPP,TOT,NATUSD,A,1974,1.043035,
CAN,PPP,TOT,NATUSD,A,1975,1.05818,
CAN,PPP,TOT,NATUSD,A,1976,1.096067,
CAN,PPP,TOT,NATUSD,A,1977,1.102116,
CAN,PPP,TOT,NATUSD,A,1978,1.099868,
CAN,PPP,TOT,NATUSD,A,1979,1.117306,
CAN,PPP,TOT,NATUSD,A,1980,1.125813,
CAN,PPP,TOT,NATUSD,A,1981,1.134384,
CAN,PPP,TOT,NATUSD,A,1982,1.162945,
CAN,PPP,TOT,NATUSD,A,1983,1.183843,
CAN,PPP,TOT,NATUSD,A,1984,1.183011,
CAN,PPP,TOT,NATUSD,A,1985,1.185028,
CAN,PPP,TOT,NATUSD,A,1986,1.197759,
CAN,PPP,TOT,NATUSD,A,1987,1.224862,
CAN,PPP,TOT,NATUSD,A,1988,1.23685,
CAN,PPP,TOT,NATUSD,A,1989,1.246145,
CAN,PPP,TOT,NATUSD,A,1990,1.241934,
CAN,PPP,TOT,NATUSD,A,1991,1.237967,
CAN,PPP,TOT,NATUSD,A,1992,1.228063,
CAN,PPP,TOT,NATUSD,A,1993,1.21507,
CAN,PPP,TOT,NATUSD,A,1994,1.206976,
CAN,PPP,TOT,NATUSD,A,1995,1.20881,
CAN,PPP,TOT,NATUSD,A,1996,1.207792,
CAN,PPP,TOT,NATUSD,A,1997,1.200953,
CAN,PPP,TOT,NATUSD,A,1998,1.185426,
CAN,PPP,TOT,NATUSD,A,1999,1.19081,
CAN,PPP,TOT,NATUSD,A,2000,1.227543,
CAN,PPP,TOT,NATUSD,A,2001,1.221132,
CAN,PPP,TOT,NATUSD,A,2002,1.229333,
CAN,PPP,TOT,NATUSD,A,2003,1.226339,
CAN,PPP,TOT,NATUSD,A,2004,1.233194,
CAN,PPP,TOT,NATUSD,A,2005,1.213644,
CAN,PPP,TOT,NATUSD,A,2006,1.205783,
CAN,PPP,TOT,NATUSD,A,2007,1.212727,
CAN,PPP,TOT,NATUSD,A,2008,1.23439,
CAN,PPP,TOT,NATUSD,A,2009,1.201386,
CAN,PPP,TOT,NATUSD,A,2010,1.221393,
CAN,PPP,TOT,NATUSD,A,2011,1.239904,
CAN,PPP,TOT,NATUSD,A,2012,1.244607,
CAN,PPP,TOT,NATUSD,A,2013,1.224,
CAN,PPP,TOT,NATUSD,A,2014,1.230358,
CAN,PPP,TOT,NATUSD,A,2015,1.248004,
CAN,PPP,TOT,NATUSD,A,2016,1.206834,
CAN,PPP,TOT,NATUSD,A,2017,1.204736,
CAN,PPP,TOT,NATUSD,A,2018,1.198346,
CAN,PPP,TOT,NATUSD,A,2019,1.202552,
CZE,PPP,TOT,NATUSD,A,1990,5.556529,
CZE,PPP,TOT,NATUSD,A,1991,7.320025,
CZE,PPP,TOT,NATUSD,A,1992,8.041325,
CZE,PPP,TOT,NATUSD,A,1993,9.505499,
CZE,PPP,TOT,NATUSD,A,1994,10.455402,
CZE,PPP,TOT,NATUSD,A,1995,11.173328,
CZE,PPP,TOT,NATUSD,A,1996,12.093687,
CZE,PPP,TOT,NATUSD,A,1997,12.907501,
CZE,PPP,TOT,NATUSD,A,1998,13.987399,
CZE,PPP,TOT,NATUSD,A,1999,14.22935,
CZE,PPP,TOT,NATUSD,A,2000,14.327053,
CZE,PPP,TOT,NATUSD,A,2001,14.320173,
CZE,PPP,TOT,NATUSD,A,2002,14.458321,
CZE,PPP,TOT,NATUSD,A,2003,14.191516,
CZE,PPP,TOT,NATUSD,A,2004,14.43922,
CZE,PPP,TOT,NATUSD,A,2005,14.562493,
CZE,PPP,TOT,NATUSD,A,2006,14.43196,
CZE,PPP,TOT,NATUSD,A,2007,14.273609,
CZE,PPP,TOT,NATUSD,A,2008,13.916713,
CZE,PPP,TOT,NATUSD,A,2009,13.625321,
CZE,PPP,TOT,NATUSD,A,2010,13.66287,
CZE,PPP,TOT,NATUSD,A,2011,13.345305,
CZE,PPP,TOT,NATUSD,A,2012,13.297699,
CZE,PPP,TOT,NATUSD,A,2013,12.785271,
CZE,PPP,TOT,NATUSD,A,2014,12.70321,
CZE,PPP,TOT,NATUSD,A,2015,12.934509,
CZE,PPP,TOT,NATUSD,A,2016,12.577614,
CZE,PPP,TOT,NATUSD,A,2017,12.377591,
CZE,PPP,TOT,NATUSD,A,2018,12.399511,
CZE,PPP,TOT,NATUSD,A,2019,12.564851,
DNK,PPP,TOT,NATUSD,A,1960,3.941534,
DNK,PPP,TOT,NATUSD,A,1961,4.071686,
DNK,PPP,TOT,NATUSD,A,1962,4.244655,
DNK,PPP,TOT,NATUSD,A,1963,4.424863,
DNK,PPP,TOT,NATUSD,A,1964,4.547297,
DNK,PPP,TOT,NATUSD,A,1965,4.752777,
DNK,PPP,TOT,NATUSD,A,1966,4.957231,
DNK,PPP,TOT,NATUSD,A,1967,5.110157,
DNK,PPP,TOT,NATUSD,A,1968,5.208318,
DNK,PPP,TOT,NATUSD,A,1969,5.28073,
DNK,PPP,TOT,NATUSD,A,1970,6.115805,
DNK,PPP,TOT,NATUSD,A,1971,6.254143,
DNK,PPP,TOT,NATUSD,A,1972,6.570582,
DNK,PPP,TOT,NATUSD,A,1973,6.89079,
DNK,PPP,TOT,NATUSD,A,1974,7.160593,
DNK,PPP,TOT,NATUSD,A,1975,7.428843,
DNK,PPP,TOT,NATUSD,A,1976,7.701814,
DNK,PPP,TOT,NATUSD,A,1977,7.89488,
DNK,PPP,TOT,NATUSD,A,1978,8.036567,
DNK,PPP,TOT,NATUSD,A,1979,7.945435,
DNK,PPP,TOT,NATUSD,A,1980,7.929222,
DNK,PPP,TOT,NATUSD,A,1981,8.018449,
DNK,PPP,TOT,NATUSD,A,1982,8.317981,
DNK,PPP,TOT,NATUSD,A,1983,8.595661,
DNK,PPP,TOT,NATUSD,A,1984,8.790764,
DNK,PPP,TOT,NATUSD,A,1985,8.886927,
DNK,PPP,TOT,NATUSD,A,1986,8.913209,
DNK,PPP,TOT,NATUSD,A,1987,9.111718,
DNK,PPP,TOT,NATUSD,A,1988,9.148432,
DNK,PPP,TOT,NATUSD,A,1989,9.240421,
DNK,PPP,TOT,NATUSD,A,1990,9.138803,
DNK,PPP,TOT,NATUSD,A,1991,9.074952,
DNK,PPP,TOT,NATUSD,A,1992,9.019675,
DNK,PPP,TOT,NATUSD,A,1993,8.862016,
DNK,PPP,TOT,NATUSD,A,1994,8.812569,
DNK,PPP,TOT,NATUSD,A,1995,8.74227,
DNK,PPP,TOT,NATUSD,A,1996,8.723104,
DNK,PPP,TOT,NATUSD,A,1997,8.702445,
DNK,PPP,TOT,NATUSD,A,1998,8.661849,
DNK,PPP,TOT,NATUSD,A,1999,8.752578,
DNK,PPP,TOT,NATUSD,A,2000,8.668051,
DNK,PPP,TOT,NATUSD,A,2001,8.690685,
DNK,PPP,TOT,NATUSD,A,2002,8.561606,
DNK,PPP,TOT,NATUSD,A,2003,8.657312,
DNK,PPP,TOT,NATUSD,A,2004,8.467503,
DNK,PPP,TOT,NATUSD,A,2005,8.569438,
DNK,PPP,TOT,NATUSD,A,2006,8.297116,
DNK,PPP,TOT,NATUSD,A,2007,8.170935,
DNK,PPP,TOT,NATUSD,A,2008,7.944128,
DNK,PPP,TOT,NATUSD,A,2009,7.7237,
DNK,PPP,TOT,NATUSD,A,2010,7.585765,
DNK,PPP,TOT,NATUSD,A,2011,7.466492,
DNK,PPP,TOT,NATUSD,A,2012,7.564136,
DNK,PPP,TOT,NATUSD,A,2013,7.354846,
DNK,PPP,TOT,NATUSD,A,2014,7.328674,
DNK,PPP,TOT,NATUSD,A,2015,7.303397,
DNK,PPP,TOT,NATUSD,A,2016,7.080572,
DNK,PPP,TOT,NATUSD,A,2017,6.851847,
DNK,PPP,TOT,NATUSD,A,2018,6.775072,
DNK,PPP,TOT,NATUSD,A,2019,6.746471,
FIN,PPP,TOT,NATUSD,A,1960,0.381996,
FIN,PPP,TOT,NATUSD,A,1961,0.398527,
FIN,PPP,TOT,NATUSD,A,1962,0.405087,
FIN,PPP,TOT,NATUSD,A,1963,0.419786,
FIN,PPP,TOT,NATUSD,A,1964,0.441983,
FIN,PPP,TOT,NATUSD,A,1965,0.451572,
FIN,PPP,TOT,NATUSD,A,1966,0.456959,
FIN,PPP,TOT,NATUSD,A,1967,0.476907,
FIN,PPP,TOT,NATUSD,A,1968,0.509659,
FIN,PPP,TOT,NATUSD,A,1969,0.504703,
FIN,PPP,TOT,NATUSD,A,1970,0.513481,
FIN,PPP,TOT,NATUSD,A,1971,0.524696,
FIN,PPP,TOT,NATUSD,A,1972,0.544419,
FIN,PPP,TOT,NATUSD,A,1973,0.587218,
FIN,PPP,TOT,NATUSD,A,1974,0.657645,
FIN,PPP,TOT,NATUSD,A,1975,0.683559,
FIN,PPP,TOT,NATUSD,A,1976,0.732937,
FIN,PPP,TOT,NATUSD,A,1977,0.755056,
FIN,PPP,TOT,NATUSD,A,1978,0.758021,
FIN,PPP,TOT,NATUSD,A,1979,0.75808,
FIN,PPP,TOT,NATUSD,A,1980,0.762269,
FIN,PPP,TOT,NATUSD,A,1981,0.777732,
FIN,PPP,TOT,NATUSD,A,1982,0.799086,
FIN,PPP,TOT,NATUSD,A,1983,0.832229,
FIN,PPP,TOT,NATUSD,A,1984,0.87135,
FIN,PPP,TOT,NATUSD,A,1985,0.888981,
FIN,PPP,TOT,NATUSD,A,1986,0.913163,
FIN,PPP,TOT,NATUSD,A,1987,0.929582,
FIN,PPP,TOT,NATUSD,A,1988,0.96722,
FIN,PPP,TOT,NATUSD,A,1989,0.991835,
FIN,PPP,TOT,NATUSD,A,1990,1.005992,
FIN,PPP,TOT,NATUSD,A,1991,0.988069,
FIN,PPP,TOT,NATUSD,A,1992,0.974897,
FIN,PPP,TOT,NATUSD,A,1993,0.969414,
FIN,PPP,TOT,NATUSD,A,1994,0.966927,
FIN,PPP,TOT,NATUSD,A,1995,0.98685,
FIN,PPP,TOT,NATUSD,A,1996,0.993436,
FIN,PPP,TOT,NATUSD,A,1997,0.989504,
FIN,PPP,TOT,NATUSD,A,1998,0.991544,
FIN,PPP,TOT,NATUSD,A,1999,0.992037,
FIN,PPP,TOT,NATUSD,A,2000,0.983754,
FIN,PPP,TOT,NATUSD,A,2001,1.00251,
FIN,PPP,TOT,NATUSD,A,2002,0.998133,
FIN,PPP,TOT,NATUSD,A,2003,1.003097,
FIN,PPP,TOT,NATUSD,A,2004,0.974094,
FIN,PPP,TOT,NATUSD,A,2005,0.979424,
FIN,PPP,TOT,NATUSD,A,2006,0.954014,
FIN,PPP,TOT,NATUSD,A,2007,0.935788,
FIN,PPP,TOT,NATUSD,A,2008,0.912125,
FIN,PPP,TOT,NATUSD,A,2009,0.89564,
FIN,PPP,TOT,NATUSD,A,2010,0.899874,
FIN,PPP,TOT,NATUSD,A,2011,0.898068,
FIN,PPP,TOT,NATUSD,A,2012,0.908495,
FIN,PPP,TOT,NATUSD,A,2013,0.905357,
FIN,PPP,TOT,NATUSD,A,2014,0.90721,
FIN,PPP,TOT,NATUSD,A,2015,0.907504,
FIN,PPP,TOT,NATUSD,A,2016,0.880984,
FIN,PPP,TOT,NATUSD,A,2017,0.863496,
FIN,PPP,TOT,NATUSD,A,2018,0.857888,
FIN,PPP,TOT,NATUSD,A,2019,0.860407,
FRA,PPP,TOT,NATUSD,A,1960,0.555651,
FRA,PPP,TOT,NATUSD,A,1961,0.568996,
FRA,PPP,TOT,NATUSD,A,1962,0.58225,
FRA,PPP,TOT,NATUSD,A,1963,0.610652,
FRA,PPP,TOT,NATUSD,A,1964,0.624771,
FRA,PPP,TOT,NATUSD,A,1965,0.624415,
FRA,PPP,TOT,NATUSD,A,1966,0.620819,
FRA,PPP,TOT,NATUSD,A,1967,0.622692,
FRA,PPP,TOT,NATUSD,A,1968,0.619051,
FRA,PPP,TOT,NATUSD,A,1969,0.62729,
FRA,PPP,TOT,NATUSD,A,1970,0.656356,
FRA,PPP,TOT,NATUSD,A,1971,0.661548,
FRA,PPP,TOT,NATUSD,A,1972,0.677289,
FRA,PPP,TOT,NATUSD,A,1973,0.692569,
FRA,PPP,TOT,NATUSD,A,1974,0.710574,
FRA,PPP,TOT,NATUSD,A,1975,0.73978,
FRA,PPP,TOT,NATUSD,A,1976,0.776563,
FRA,PPP,TOT,NATUSD,A,1977,0.795293,
FRA,PPP,TOT,NATUSD,A,1978,0.811976,
FRA,PPP,TOT,NATUSD,A,1979,0.827074,
FRA,PPP,TOT,NATUSD,A,1980,0.847205,
FRA,PPP,TOT,NATUSD,A,1981,0.864463,
FRA,PPP,TOT,NATUSD,A,1982,0.912634,
FRA,PPP,TOT,NATUSD,A,1983,0.962988,
FRA,PPP,TOT,NATUSD,A,1984,0.995145,
FRA,PPP,TOT,NATUSD,A,1985,1.017248,
FRA,PPP,TOT,NATUSD,A,1986,1.047575,
FRA,PPP,TOT,NATUSD,A,1987,1.047405,
FRA,PPP,TOT,NATUSD,A,1988,1.044025,
FRA,PPP,TOT,NATUSD,A,1989,1.037645,
FRA,PPP,TOT,NATUSD,A,1990,1.026781,
FRA,PPP,TOT,NATUSD,A,1991,1.018491,
FRA,PPP,TOT,NATUSD,A,1992,1.015386,
FRA,PPP,TOT,NATUSD,A,1993,1.007988,
FRA,PPP,TOT,NATUSD,A,1994,0.996042,
FRA,PPP,TOT,NATUSD,A,1995,0.986558,
FRA,PPP,TOT,NATUSD,A,1996,0.982965,
FRA,PPP,TOT,NATUSD,A,1997,0.969539,
FRA,PPP,TOT,NATUSD,A,1998,0.961593,
FRA,PPP,TOT,NATUSD,A,1999,0.952721,
FRA,PPP,TOT,NATUSD,A,2000,0.930021,
FRA,PPP,TOT,NATUSD,A,2001,0.911558,
FRA,PPP,TOT,NATUSD,A,2002,0.900678,
FRA,PPP,TOT,NATUSD,A,2003,0.93091,
FRA,PPP,TOT,NATUSD,A,2004,0.935975,
FRA,PPP,TOT,NATUSD,A,2005,0.916458,
FRA,PPP,TOT,NATUSD,A,2006,0.895768,
FRA,PPP,TOT,NATUSD,A,2007,0.889696,
FRA,PPP,TOT,NATUSD,A,2008,0.881874,
FRA,PPP,TOT,NATUSD,A,2009,0.862136,
FRA,PPP,TOT,NATUSD,A,2010,0.854061,
FRA,PPP,TOT,NATUSD,A,2011,0.841361,
FRA,PPP,TOT,NATUSD,A,2012,0.844301,
FRA,PPP,TOT,NATUSD,A,2013,0.811643,
FRA,PPP,TOT,NATUSD,A,2014,0.807565,
FRA,PPP,TOT,NATUSD,A,2015,0.808478,
FRA,PPP,TOT,NATUSD,A,2016,0.780123,
FRA,PPP,TOT,NATUSD,A,2017,0.766438,
FRA,PPP,TOT,NATUSD,A,2018,0.756398,
FRA,PPP,TOT,NATUSD,A,2019,0.754103,
DEU,PPP,TOT,NATUSD,A,1960,1.242774,
DEU,PPP,TOT,NATUSD,A,1961,1.288992,
DEU,PPP,TOT,NATUSD,A,1962,1.309573,
DEU,PPP,TOT,NATUSD,A,1963,1.330448,
DEU,PPP,TOT,NATUSD,A,1964,1.346592,
DEU,PPP,TOT,NATUSD,A,1965,1.358786,
DEU,PPP,TOT,NATUSD,A,1966,1.358207,
DEU,PPP,TOT,NATUSD,A,1967,1.340967,
DEU,PPP,TOT,NATUSD,A,1968,1.308165,
DEU,PPP,TOT,NATUSD,A,1969,1.295629,
DEU,PPP,TOT,NATUSD,A,1970,1.287224,
DEU,PPP,TOT,NATUSD,A,1971,1.318492,
DEU,PPP,TOT,NATUSD,A,1972,1.321134,
DEU,PPP,TOT,NATUSD,A,1973,1.3314,
DEU,PPP,TOT,NATUSD,A,1974,1.310349,
DEU,PPP,TOT,NATUSD,A,1975,1.267224,
DEU,PPP,TOT,NATUSD,A,1976,1.240833,
DEU,PPP,TOT,NATUSD,A,1977,1.204469,
DEU,PPP,TOT,NATUSD,A,1978,1.165218,
DEU,PPP,TOT,NATUSD,A,1979,1.121982,
DEU,PPP,TOT,NATUSD,A,1980,1.085124,
DEU,PPP,TOT,NATUSD,A,1981,1.032713,
DEU,PPP,TOT,NATUSD,A,1982,1.017179,
DEU,PPP,TOT,NATUSD,A,1983,1.006325,
DEU,PPP,TOT,NATUSD,A,1984,0.990604,
DEU,PPP,TOT,NATUSD,A,1985,0.980639,
DEU,PPP,TOT,NATUSD,A,1986,0.990114,
DEU,PPP,TOT,NATUSD,A,1987,0.978589,
DEU,PPP,TOT,NATUSD,A,1988,0.961225,
