,Country Code,Year of Survey,Country name,Region,Region Code,Survey Type,Subsample,Total population,Children (aged 0-14),Youth (aged 15-24),Adult (aged 25-64),Elderly (aged 65+),Urban Population (% of total Population), Working Age Population (aged 15-64 (% of total Pop.)),Dependency Rate (all compared to 15-64),Youth Dependency Rate (younger than 15 compared to 15-64),Old Age Dependency Rate (older than 64 compared to 15-64),Labor Force (aged 15-64),Labor Force Participation Rate (aged 15-64),Female Labor Force Participation Rate (aged 15-64),Not in labor force or education rate among youth (aged 15-24),Employment to Population Ratio (aged 15-64),Share of workers (aged 15-64) with more than one jobs in last week,Employment to Labor Force Ratio (aged 15-64 ),Unemployment Rate (aged 15-64),Youth Employment to Labor Force Ratio (aged 15-24),Youth Unemployment Rate (aged 15-24),Wage employees (aged 15-64) ,Unpaid or Self-employed (age 15-64),Employers (aged 15-64),Informal jobs (aged 15-64),Formal jobs (aged 15-64),Share of work contract,Share of health insurance,Share of social security,Public sector employment (aged 15-64), Agriculture (aged 15-64), Industry (aged 15-64), Services (aged 15-64), Female in non-agricultural employment (aged 15-64),Youth in non-agricultural employment (aged 15-64), Mining (aged 15-64), Manufacturing (aged 15-64), Public utilities (aged 15-64), Construction (aged 15-64), Commerce (aged 15-64),Transport & Communication (aged 15-64),Financial and Business Services (aged 15-64),Public Administration (aged 15-64), Other services (aged 15-64), Senior Officials (aged 15-64), Professionals (aged 15-64), Technicians (aged 15-64), Clerks (aged 15-64), Service and Market Sales (aged 15-64), Skilled Agriculture (aged 15-64), Craft Workers (aged 15-64), Machine Operators (aged 15-64), Elementary Occupations (aged 15-64), Armed Forces,Average weekly working hours,Underemployment ( <35 hours per week),Excessive working hours (>48 hours per week),Median Earnings for wage workers per hour (local nominal currency),Median Earnings for wage workers per hour (deflated to 2010  local currency val),Real Median Hourly  Wages in USD (base 2010) (PPP adjusted),Median Earnings for wage workers per month ( local nominal currency),Median Earnings for wage workers per month (deflated to 2010 local currency valu),Real Median Monthly Wages in USD (base 2010) (PPP adjusted),Median Earnings for wage workers per month in agriculture (local nominal currenc),Median Earnings for wage workers per month in industry (local nominal currency),Median Earnings for wage workers per month in service (local nominal currency),Female to Male gender wage gap,Public to Private wage gap, No Education, Primary Education, Secondary Education, Post Secondary Education
0,AFG,2011,Afghanistan,South Asia,SAS,nrva,Female,13105589,0.48,0.2,0.31,0.02,0.23,0.51,0.52,0.5,0.02,1221253.0,0.2,0.2,0.69,0.16,,0.83,0.17,0.76,0.24,0.18,0.81,0.0,,,,,,0.09,0.54,0.23,0.22,0.46,0.56,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.01,0.21,0.0,0.09,0.0,0.0,0.04,0.0,0.2,0.05,0.32,0.0,41.0,0.63,0.15,,,,,,,,,,,,0.83,0.1,0.05,0.02
1,AFG,2011,Afghanistan,South Asia,SAS,nrva,Higher education,8168829,0.71,0.15,0.13,0.01,0.27,0.28,0.52,0.5,0.02,1293538.0,0.59,0.25,0.34,0.56,,0.95,0.05,0.9,0.1,0.56,0.43,0.01,,,,,,0.35,0.16,0.1,0.73,0.86,0.78,0.0,0.04,0.0,0.06,0.14,0.08,0.0,0.16,0.36,0.0,0.22,0.0,0.0,0.34,0.0,0.05,0.08,0.19,0.0,41.0,0.31,0.3,,,,,,,,,,,,0.0,0.0,0.52,0.48
2,AFG,2011,Afghanistan,South Asia,SAS,nrva,Lower education,18785967,0.39,0.21,0.38,0.03,0.21,0.58,0.52,0.5,0.02,5101151.0,0.49,0.19,0.46,0.47,,0.95,0.05,0.92,0.08,0.35,0.64,0.01,,,,,,0.05,0.44,0.19,0.37,0.4,0.6,0.0,0.08,0.0,0.11,0.1,0.06,0.0,0.04,0.17,0.0,0.01,0.0,0.0,0.15,0.0,0.09,0.08,0.47,0.0,41.0,0.33,0.36,,,,,,,,,,,,0.79,0.18,0.03,0.0
3,AFG,2011,Afghanistan,South Asia,SAS,nrva,Male,13849207,0.49,0.18,0.29,0.03,0.23,0.48,0.52,0.5,0.02,5173436.0,0.83,,0.16,0.81,,0.98,0.02,0.96,0.04,0.43,0.56,0.01,,,,,,0.11,0.35,0.16,0.49,,0.66,0.0,0.04,0.0,0.12,0.13,0.07,0.0,0.07,0.21,0.0,0.05,0.0,0.0,0.22,0.0,0.06,0.08,0.43,0.0,41.0,0.26,0.38,,,,,,,,,,,,0.56,0.22,0.12,0.1
4,AFG,2011,Afghanistan,South Asia,SAS,nrva,Old worker,8138972,0.0,0.0,1.0,0.0,0.23,1.0,0.52,0.5,0.02,4498000.0,0.56,0.2,,0.54,,0.96,0.04,,,0.38,0.61,0.01,,,,,,0.12,0.39,0.15,0.46,0.41,,0.0,0.06,0.0,0.09,0.11,0.07,0.0,0.07,0.21,0.0,0.06,0.0,0.0,0.2,0.0,0.07,0.08,0.42,0.0,41.0,0.32,0.34,,,,,,,,,,,,0.8,0.11,0.03,0.06
5,AFG,2011,Afghanistan,South Asia,SAS,nrva,Rural,19365469,0.5,0.18,0.3,0.02,0.0,0.48,0.52,0.5,0.02,4572006.0,0.52,0.2,0.43,0.5,,0.95,0.05,0.92,0.08,0.36,0.63,0.01,,,,,,0.09,0.46,0.16,0.38,0.4,0.57,0.0,0.06,0.0,0.1,0.08,0.05,0.0,0.05,0.2,0.0,0.04,0.0,0.0,0.15,0.0,0.07,0.06,0.48,0.0,41.0,0.35,0.33,,,,,,,,,,,,0.76,0.13,0.07,0.04
6,AFG,2011,Afghanistan,South Asia,SAS,nrva,Total,26954796,0.48,0.19,0.3,0.02,0.23,0.49,1.04,0.99,0.05,6394689.0,0.48,0.2,0.43,0.46,,0.95,0.05,0.91,0.09,0.39,0.6,0.01,,,,,,0.11,0.38,0.17,0.45,0.46,0.64,0.0,0.07,0.0,0.1,0.11,0.06,0.0,0.06,0.21,0.0,0.05,0.0,0.0,0.19,0.0,0.08,0.08,0.41,0.0,41.0,0.32,0.34,,,,,,,,,,,,0.7,0.16,0.09,0.06
7,AFG,2011,Afghanistan,South Asia,SAS,nrva,Urban,6130066,0.42,0.24,0.31,0.03,1.0,0.55,0.52,0.5,0.02,1421876.0,0.45,0.14,0.43,0.42,,0.94,0.06,0.89,0.11,0.52,0.46,0.02,,,,,,0.22,0.04,0.22,0.74,0.88,0.96,0.0,0.11,0.0,0.12,0.22,0.11,0.0,0.12,0.29,0.0,0.1,0.0,0.0,0.35,0.0,0.13,0.14,0.1,0.0,41.0,0.2,0.41,,,,,,,,,,,,0.46,0.26,0.16,0.13
8,AFG,2011,Afghanistan,South Asia,SAS,nrva,Young worker,5106220,0.0,1.0,0.0,0.0,0.28,1.0,0.52,0.5,0.02,1896689.0,0.43,0.19,0.43,0.39,,0.91,0.09,0.91,0.09,0.4,0.59,0.01,,,,,,0.08,0.36,0.22,0.42,0.56,0.64,0.0,0.1,0.0,0.13,0.1,0.05,0.0,0.05,0.21,0.0,0.04,0.0,0.0,0.17,0.0,0.11,0.08,0.4,0.0,41.0,0.32,0.34,,,,,,,,,,,,0.53,0.24,0.17,0.06
9,AGO,2008,Angola,Sub-Saharan Africa,SSF,ibep-,Female,8484786,0.47,0.2,0.31,0.02,0.52,0.51,0.51,0.48,0.02,3516718.07,0.82,0.82,0.07,0.8,0.04,0.98,0.02,0.96,0.04,0.16,0.82,0.01,,,,,,0.07,0.64,0.01,0.35,0.36,0.29,0.0,0.0,0.0,0.0,0.22,0.01,0.0,0.01,0.1,0.01,0.03,0.03,0.02,0.13,0.46,0.0,0.0,0.32,0.01,,,,,,,,,,,,,,,0.33,0.59,0.07,0.02
