Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Bigamy / Polygamy ,7,10,7,8,9,8,8,4,4,3,2,4,74
Divorce ,0,1,0,0,0,0,0,0,0,0,0,0,1
Dowry Death ,24,24,23,22,22,51,49,28,33,17,39,36,368
Dowry Harassment / Cruelty to married women ,74,72,52,68,81,109,99,61,84,79,43,77,899
Harassment At WorkplacetdCleck Here to see sub-categories ,143,142,134,139,88,191,241,118,132,168,65,165,1726
Kidnapping / Abduction ,2,4,8,7,10,11,11,5,7,5,2,6,78
Maintenance Claim ,3,1,1,1,1,1,0,0,0,1,0,0,9
Miscellaneous ,98,101,83,105,90,142,171,63,78,69,45,105,1150
Murder ,14,12,6,8,4,7,16,10,13,4,4,9,107
Outraging Modesty of Women ,1,2,6,8,0,8,1,5,9,2,2,4,48
Police Apathy against women ,62,86,73,60,67,93,118,41,60,79,33,83,855
Pre-Marital Breach of Trust ,0,1,0,0,0,0,0,0,0,0,0,0,1
RapetdCleck Here to see sub-categories ,8,18,15,23,14,29,16,15,18,10,6,17,189
Right to live with dignitytdCleck Here to see sub-categories ,4,7,5,4,9,7,14,2,6,11,3,11,83
Sex selective abortion / female foeticide / amniocentesis ,0,0,0,0,0,0,1,0,0,0,0,1,2
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,5,12,12,14,10,8,4,5,9,2,6,21,108
Shelter & Rehabilitation of Victims ,0,0,0,0,0,0,0,0,1,0,0,0,1
Women's right of custody of children in the event of divorce ,0,0,0,0,0,0,0,0,0,0,0,1,1
Total ,445,493,425,467,405,665,749,357,454,450,250,540,5700
