id,title,channel_id,channel_name,published_date,description
R569ivre_QU,COVID-19: Protecting one&#39;s mental health during social distancing and self-isolation,UC83jt4dlz1Gjl58fzQrrKZg,CNA,2020-03-24T14:49:42Z,"Safe distancing can help contain the spread of COVID-19, but some experts have said the isolation can take a toll on one's mental state. Professor Ian Hickie ..."
GXNJtjBclXY,COVID-19 in Singapore: The Silent Mental Health Crisis **Must Watch**,UC_ZvRk15EwRv8CvmXOeX5kg,Sofia Wellness Clinic,2020-07-21T05:57:30Z,"This video was conceptualized, designed and produced by my very talented friend, Ian from https://www.iandanmari.com. We had this idea of collaborating on a ..."
QS19fg0KCZk,Mental Health During the Pandemic,UCEwEYnO7yey-oBzyNu-AauQ,Demystifying Medicine,2021-02-15T21:00:27Z,"In this video we cover the impact of covid-19 on mental health, who is most at risk, and what you can do to improve your mental wellness during this difficult time."
LWOmhmkyZBU,Mental health experts warn of psychological trauma caused by COVID-19 pandemic,UC83jt4dlz1Gjl58fzQrrKZg,CNA,2020-04-17T16:12:08Z,"Concern over the mental health impact of COVID-19 measures is rising. As quarantines and social distancing rules become common all over the world, experts ..."
KRpiNZBrYe0,COVID-19: New safe distancing measures for F&amp;B and retail outlets,UC83jt4dlz1Gjl58fzQrrKZg,CNA,2020-03-20T15:43:19Z,New safe distancing measures have been drawn up for F&B and retail outlets. The advisory will streamline how these businesses limit large numbers of people ...
53vfPhhbh-g,Mental Health at Work during COVID 19 | BritCham Singapore,UClpAYQSuNmsPYC7BDXNxAEQ,British Chamber of Commerce Singapore,2020-07-24T01:17:52Z,"Watch this webinar for insights from thought leaders about mental wellbeing, and how you can help create a supportive workplace for employees to thrive in the ..."
MUQs6chbiGc,"COVID-19: Singapore healthcare workers had increased mental preparedness after SARS, says expert",UC83jt4dlz1Gjl58fzQrrKZg,CNA,2020-04-14T18:10:09Z,New research has found that healthcare workers dealing with the COVID-19 pandemic in Singapore are experiencing lower levels of anxiety and psychological ...
GfC33m2xv2s,Stopping Youth Mental Health Stigma | Prof. Eilis Hennessy,UCSaN7iyXu4EAOP_Txt83v7w,Aware,2021-02-26T18:01:24Z,"This lecture was filmed on 12 February 2020. Professor Eilis Hennessy is a Professor in the School of Psychology, University College Dublin. Her research ..."
Wy6xtIRAVAY,Coronavirus outbreak: Is a &#39;mental health pandemic&#39; coming after COVID-19?,UChLtXXpo4Ge1ReTEboVvTDg,Global News,2020-04-16T16:13:50Z,"While countries around the world continue to mobilize to contain the spread of COVID-19, mental health experts say we can't lose sight of an equally alarming ..."
azZoksSWL5I,"How Are Singapore&#39;s Migrant Workers Coping With COVID-19 Restrictions, One Year On? | Talking Point",UC_Lnb8ZHqqgLbp-7hltuT9w,CNA Insider,2021-02-17T12:00:00Z,"It's been one year since the deadly COVID-19 virus hit foreign worker dormitories, forcing a lockdown. But months have passed since migrant workers have ..."
EKEWk4oWmjY,Physical and Mental Health,UC_zQoiPtBDvsThGroagm3ww,Psych Hub,2020-03-18T20:04:02Z,A clear distinction is often made between “mind” and “body” – but mental health and physical health should not be thought of as separate. Learn more about the ...
Z3-XSUjMUk4,Living in a Psychiatric Ward for Two Weeks for my Mental Health,UCAZ7NfSRX1reSpRUw0xtEmg,Something Private,2020-10-10T04:45:01Z,"This World Mental Health Day (10 Oct), we want to know, how are you doing, really? On this episode, Nicole speaks to Belle, who admitted herself to a two week ..."
zDx1LKkk5c4,Q&amp;A on COVID-19 and mental health --  #askWHO  -- with WHO&#39;s Aiysha Malik,UC07-dOwgza1IguKA86jqxNA,World Health Organization (WHO),2020-03-11T14:09:03Z,"Recorded version of the live Q&A on mental health during COVID-19, with Aiysha Malik, Mental Health expert at WHO speaking with Sari Setiogi, Head of WHO's ..."
cXZzBUWniKo,The pandemic is taking a toll on teens&#39; mental health,UC8p1vwvWtl6T73JiExfWs1g,CBS News,2020-12-22T20:25:08Z,The social isolation and remote learning that has come along with the coronavirus pandemic has taken an especially harsh toll on teenagers. Clinical ...
8G_B_0a6WbA,#ECSpeakerSeries | Global Perspectives: Mental Health in a #COVID19 World,UCQt0FJaJYvCFpgONmgdFRyw,Qatar Foundation,2020-05-13T13:09:30Z,The global COVID-19 pandemic has had a significant impact on the mental health of communities around the world. For this online edition of the Education City ...
