,index,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,CAMEOCodeDescription,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,title
10,52207,896121182,19200101,192001,1920,1920.0027,IND,DELHI,IND,,,,,,,,COP,POLICE,,,,,,COP,,,1,16, Make empathetic comment,16,1,1,-2.0,12,2,12,-13.53391959799,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911.0,28.6667,77.2167,-2094230,20200101130000,https://www.aninews.in/news/national/general-news/delhi-hc-dismisses-plea-seeking-fir-registration-against-ukhand-police-official-under-charges-of-sexual-assault20200101173433/,delhi hc dismisses plea seeking fir registration against ukhand police official under charges of sexual assault20200101173433
11,53122,896119666,19200101,192001,1920,1920.0027,IND,DELHI,IND,,,,,,,,,,,,,,,,,,1,110," Disapprove, not specified below",110,11,3,-2.0,8,1,8,-13.0982367758186,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,0,,,,,,,,4,"Delhi, Delhi, India",IN,IN07,17911.0,28.6667,77.2167,-2094230,20200101124500,https://www.sify.com/news/delhi-hc-dismisses-plea-seeking-fir-registration-against-u-khand-police-official-under-charges-of-sexual-assault-news-national-ubbrGedgegggi.html,delhi hc dismisses plea seeking fir registration against u khand police official under charges of sexual assault news national ubbrGedgegggi
12,64394,896141123,19200101,192001,1920,1920.0027,AGR,FARMER,,,,,,AGR,,,,,,,,,,,,,1,70," Provide aid, not specified below",70,7,2,7.0,13,1,8,-0.8130081300813,4,"Amaravati, Tamil Nadu, India",IN,IN25,17882,10.0167,78.7833,-2088586,0,,,,,,,,4,"Amaravati, Tamil Nadu, India",IN,IN25,17882.0,10.0167,78.7833,-2088586,20200101163000,https://www.indiatvnews.com/news/india/amaravati-farmers-protest-chandrababu-naidu-s-wife-donates-her-gold-bangles-for-auction-575474,amaravati farmers protest chandrababu naidu s wife donates her gold bangles for auction 575474
13,73977,896154005,19200101,192001,1920,1920.0027,IND,KERALA,IND,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,1,20," Appeal, not specified below",20,2,1,3.0,8,1,8,-1.18845500848897,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911.0,28.6667,77.2167,-2094230,20200101190000,https://www.business-standard.com/article/economy-policy/expectations-vs-reality-sgst-is-a-victim-of-irrational-estimates-120010101061_1.html,expectations vs reality sgst is a victim of irrational estimates 120010101061 1
14,75725,896158197,19200101,192001,1920,1920.0027,IND,ANDHRA PRADESH,IND,,,,,,,,,,,,,,,,,,0,10," Make statement, not specified below",10,1,1,0.0,10,1,10,-2.50521920668058,4,"Amravati, Maharashtra, India",IN,IN16,17759,20.9333,77.75,-2088786,0,,,,,,,,4,"Amravati, Maharashtra, India",IN,IN16,17759.0,20.9333,77.75,-2088786,20200101194500,https://www.hindustantimes.com/india-news/chandrababu-naidu-s-wife-backs-amaravati-farmers-against-shifting-capital/story-wPZWIqDOp7csHX2mJ79k8M.html,chandrababu naidu s wife backs amaravati farmers against shifting capital
15,77961,896160439,19200101,192001,1920,1920.0027,,,,,,,,,,,BGD,BANGLADESHI,BGD,,,,,,,,1,173," Arrest, detain, or charge with legal action ",173,17,4,-5.0,10,1,10,-7.71084337349398,0,,,,,,,,4,"Mumbai, Maharashtra, India",IN,IN16,70184,18.975,72.8258,-2092174,4,"Mumbai, Maharashtra, India",IN,IN16,70184.0,18.975,72.8258,-2092174,20200101201500,https://www.timesnownews.com/mirror-now/crime/article/bangladeshi-man-arrested-from-thane-two-years-after-killing-his-wife/534585,bangladeshi man arrested from thane two years after killing his wife
16,79686,896161319,19200101,192001,1920,1920.0027,,,,,,,,,,,BGD,BANGLADESH,BGD,,,,,,,,1,42, Make a visit,42,4,1,1.9,4,1,4,-9.70873786407772,0,,,,,,,,4,"Palghar, Maharashtra, India",IN,IN16,17783,19.6833,72.75,-2106854,4,"Palghar, Maharashtra, India",IN,IN16,17783.0,19.6833,72.75,-2106854,20200101203000,https://www.hindustantimes.com/cities/bangladeshi-national-held-2-years-after-killing-wife/story-4RGRSi7ws0LqR6U4hSXO0M.html,bangladeshi national held 2 years after killing wife
17,81489,896164251,19200101,192001,1920,1920.0027,JUD,HIGH COURT,,,,,,JUD,,,,,,,,,,,,,1,110," Disapprove, not specified below",110,11,3,-2.0,10,1,10,-2.9702970297029703,4,"Bombay, Maharashtra, India",IN,IN16,70184,18.975,72.8258,-2092174,0,,,,,,,,4,"Bombay, Maharashtra, India",IN,IN16,70184.0,18.975,72.8258,-2092174,20200101210000,https://www.thehindu.com/news/cities/mumbai/no-maintenance-for-wife-and-child-if-adultery-is-proved-hc/article30455163.ece,no maintenance for wife and child if adultery is proved hc
18,84261,896169718,19200101,192001,1920,1920.0027,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,10," Make statement, not specified below",10,1,1,0.0,10,1,10,-5.3613053613053605,4,"Dwarka, Gujarat, India",IN,IN09,17641,22.2394,68.9678,-2095389,0,,,,,,,,4,"Dwarka, Gujarat, India",IN,IN09,17641.0,22.2394,68.9678,-2095389,20200101221500,https://indianexpress.com/article/cities/delhi/dwarka-jeweller-murder-police-get-court-nod-for-narco-test-on-wife-her-brother-6195320/,dwarka jeweller murder police get court nod for narco test on wife her brother 6195320
19,84471,896169928,19200101,192001,1920,1920.0027,JUD,JUDGE,,,,,,JUD,,,,,,,,,,,,,0,20," Appeal, not specified below",20,2,1,3.0,10,1,10,-4.5045045045045,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,0,,,,,,,,4,"Delhi, Delhi, India",IN,IN07,17911.0,28.6667,77.2167,-2094230,20200101221500,https://timesofindia.indiatimes.com/blogs/toi-edit-page/to-deter-rapes-cases-of-heinous-nature-should-be-expedited-all-the-way-through-different-levels-of-the-judiciary/,to deter rapes cases of heinous nature should be expedited all the way through different levels of the judiciary
20,85812,896174310,19200101,192001,1920,1920.0027,LEG,CONGRESS,,,,,,LEG,,,IND,WEST BENGAL,IND,,,,,,,,0,114, Complain officially ,114,11,3,-2.0,10,1,10,-8.97097625329815,4,"Mangaluru, Karnataka, India",IN,IN19,17685,12.8639,74.8353,-2103790,4,"Mangaluru, Karnataka, India",IN,IN19,17685,12.8639,74.8353,-2103790,4,"Mangaluru, Karnataka, India",IN,IN19,17685.0,12.8639,74.8353,-2103790,20200101231500,https://timesofindia.indiatimes.com/city/mangaluru/anti-caa-protest-violence-rs-2-cr-collected-to-help-victims-families/articleshow/73061807.cms,anti caa protest violence rs 2 cr collected to help victims families
21,88716,896175965,19200101,192001,1920,1920.0027,,,,,,,,,,,COP,POLICE OFFICER,,,,,,COP,,,0,10," Make statement, not specified below",10,1,1,0.0,5,1,5,-10.211267605633802,0,,,,,,,,4,"Mangaluru, Karnataka, India",IN,IN19,17685,12.8639,74.8353,-2103790,4,"Mangaluru, Karnataka, India",IN,IN19,17685.0,12.8639,74.8353,-2103790,20200101234500,https://timesofindia.indiatimes.com/india/karnataka-groups-crowdfund-rs-2-crore-for-victims-families/articleshow/73063030.cms,karnataka groups crowdfund rs 2 crore for victims families
22,2927,896177121,19200102,192001,1920,1920.0055,,,,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,0,36, Express intent to meet or negotiate,36,3,1,4.0,4,1,4,-5.4607508532423195,0,,,,,,,,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911.0,28.6667,77.2167,-2094230,20200102000000,https://indianexpress.com/article/india/businessman-wife-daughter-found-dead-inside-suv-with-bullet-wounds/,businessman wife daughter found dead inside suv with bullet wounds
23,5294,896179488,19200102,192001,1920,1920.0055,CAN,CANADA,CAN,,,,,,,,,,,,,,,,,,1,33," Express intent to provide aid, not specified below",33,3,1,5.2,2,1,2,3.07262569832402,1,India,IN,IN,,20.0,77.0,IN,0,,,,,,,,1,India,IN,IN,,20.0,77.0,IN,20200102001500,https://www.winnipegfreepress.com/local/winnipegs-first-baby-of-2020-born-at-hsc-womens-hospital-566634891.html,winnipegs first baby of 2020 born at hsc womens hospital 566634891
24,18565,896204043,19200102,192001,1920,1920.0055,EDU,STUDENT,,,,,,EDU,,,,,,,,,,,,,1,180," Use unconventional violence, not specified below",180,18,4,-9.0,10,1,10,-1.9774011299435,4,"Bombay, Maharashtra, India",IN,IN16,70184,18.975,72.8258,-2092174,0,,,,,,,,4,"Bombay, Maharashtra, India",IN,IN16,70184.0,18.975,72.8258,-2092174,20200102043000,https://mumbaimirror.indiatimes.com/opinion/columnists/sanchia-desouza/women-of-the-resistance/articleshow/73063043.cms,women of the resistance
25,19142,896202701,19200102,192001,1920,1920.0055,,,,,,,,,,,COP,POLICE OFFICER,,,,,,COP,,,0,10," Make statement, not specified below",10,1,1,0.0,5,1,5,-10.4377104377104,0,,,,,,,,4,"Mangaluru, Karnataka, India",IN,IN19,17685,12.8639,74.8353,-2103790,4,"Mangaluru, Karnataka, India",IN,IN19,17685.0,12.8639,74.8353,-2103790,20200102041500,https://timesofindia.indiatimes.com/city/mangaluru/mangaluru-citizens-collect-rs-2-crore-to-help-victims-families-injured-caa-protesters/articleshow/73063539.cms,mangaluru citizens collect rs 2 crore to help victims families injured caa protesters
26,21132,896205108,19200102,192001,1920,1920.0055,CRM,GANG,,,,,,CRM,,,,,,,,,,,,,1,1821, Sexually assault,182,18,4,-9.0,4,1,4,1.0,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,0,,,,,,,,4,"Delhi, Delhi, India",IN,IN07,17911.0,28.6667,77.2167,-2094230,20200102044500,https://yourstory.com:443/herstory/2019/12/start-feminine-era-women-safe-inclusive-world,start feminine era women safe inclusive world
27,21779,896206009,19200102,192001,1920,1920.0055,,,,,,,,,,,HLH,HOSPITAL,,,,,,HLH,,,1,42, Make a visit,42,4,1,1.9,10,1,10,-6.64739884393064,0,,,,,,,,4,"Goregaon, Maharashtra, India",IN,IN16,17777,18.1667,73.3,-2096623,4,"Goregaon, Maharashtra, India",IN,IN16,17777.0,18.1667,73.3,-2096623,20200102050000,https://www.mid-day.com/articles/mumbai-scared-of-auto-driver-actress-jumps-out-of-running-vehicle-for-fear-of-being-molested/22363808,mumbai scared of auto driver actress jumps out of running vehicle for fear of being molested
28,21786,896206016,19200102,192001,1920,1920.0055,,,,,,,,,,,IND,DELHI,IND,,,,,,,,1,36, Express intent to meet or negotiate,36,3,1,4.0,3,1,3,-2.5641025641025696,0,,,,,,,,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911.0,28.6667,77.2167,-2094230,20200102050000,https://www.mid-day.com/articles/mumbai-crime-peddler-held-with-date-rape-drugs-worth-rs-50-lakh-on-new-years-eve/22360198,mumbai crime peddler held with date rape drugs worth rs 50 lakh on new years eve
29,22820,896207371,19200102,192001,1920,1920.0055,,,,,,,,,,,AGR,FARMER,,,,,,AGR,,,1,20," Appeal, not specified below",20,2,1,3.0,5,1,5,-0.8670520231213901,0,,,,,,,,4,"Amaravati, Tamil Nadu, India",IN,IN25,17882,10.0167,78.7833,-2088586,4,"Amaravati, Tamil Nadu, India",IN,IN25,17882.0,10.0167,78.7833,-2088586,20200102051500,https://www.thenewsminute.com/article/chandrababu-naidus-wife-donates-gold-bangles-protesting-amaravati-farmers-115185,chandrababu naidus wife donates gold bangles protesting amaravati farmers 115185
30,26142,896210381,19200102,192001,1920,1920.0055,,,,,,,,,,,JUD,MAGISTRATE,,,,,,JUD,,,0,181," Abduct, hijack, or take hostage ",181,18,4,-9.0,5,1,5,-6.8,0,,,,,,,,4,"Mumbai, Maharashtra, India",IN,IN16,70184,18.975,72.8258,-2092174,4,"Mumbai, Maharashtra, India",IN,IN16,70184.0,18.975,72.8258,-2092174,20200102054500,https://indianexpress.com/article/cities/mumbai/over-4-years-after-arrest-court-acquits-man-of-rape-kidnap-6195718/,over 4 years after arrest court acquits man of rape kidnap 6195718
31,26405,896210644,19200102,192001,1920,1920.0055,COP,POLICE OFFICIALS,,,,,,COP,,,MED,MEDIA,,,,,,MED,,,1,10," Make statement, not specified below",10,1,1,0.0,10,1,10,-6.50684931506849,5,"Tamil Nadu, Tamil Nadu, India",IN,IN25,70248,11.0,78.0,-2112557,5,"Tamil Nadu, Tamil Nadu, India",IN,IN25,70248,11.0,78.0,-2112557,5,"Tamil Nadu, Tamil Nadu, India",IN,IN25,70248.0,11.0,78.0,-2112557,20200102054500,https://www.timesnownews.com/mirror-now/crime/article/chennai-irked-over-wife-leaving-home-40-year-old-man-chops-off-his-genitals/534649,chennai irked over wife leaving home 40 year old man chops off his genitals
32,32327,896224993,19200102,192001,1920,1920.0055,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,112," Accuse, not specified below",112,11,3,-2.0,5,1,5,-5.73065902578797,4,"Hyderabad, Andhra Pradesh, India",IN,IN02,17564,17.3753,78.4744,-2097701,0,,,,,,,,4,"Andhra, Andhra Pradesh, India",IN,IN02,17568.0,18.0,79.5,-2112824,20200102081500,https://www.newindianexpress.com/opinions/editorials/2020/jan/02/how-to-deal-with-violence-against-women-2083871.html,how to deal with violence against women 2083871
33,39314,896231250,20190102,201901,2019,2019.0055,,,,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,0,60," Engage in material cooperation, not spec below",60,6,2,6.0,4,1,4,-2.53070338667659,0,,,,,,,,1,Australia,AS,AS,,-25.0,135.0,AS,4,"Fatehgarh Sahib, Punjab, India",IN,IN23,17833.0,30.5333,75.7167,-2095605,20200102091500,https://www.ndtv.com/india-news/a-chandigarh-bureaucrat-is-helping-indian-women-with-runaway-husbands-2157624,a chandigarh bureaucrat is helping indian women with runaway husbands 2157624
34,39607,896231543,19200102,192001,1920,1920.0055,COP,DEPUTY,,,,,,COP,,,,,,,,,,,,,0,20," Appeal, not specified below",20,2,1,3.0,10,1,10,-9.06432748538015,4,"New Delhi, Delhi, India",IN,IN07,17911,28.6,77.2,-2106102,0,,,,,,,,4,"New Delhi, Delhi, India",IN,IN07,17911.0,28.6,77.2,-2106102,20200102091500,https://timesofindia.indiatimes.com/city/gurgaon/nuh-police-arrest-man-for-rape-murder-of-8-yr-old-girl/articleshow/73062581.cms,nuh police arrest man for rape murder of 8 yr old girl
35,39920,896231856,19200102,192001,1920,1920.0055,ITA,ITALY,ITA,,,,,,,,,,,,,,,,,,1,20," Appeal, not specified below",20,2,1,3.0,4,1,4,1.40845070422535,1,India,IN,IN,,20.0,77.0,IN,0,,,,,,,,1,India,IN,IN,,20.0,77.0,IN,20200102091500,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/ranveer-singh-pays-rs-7-25-lakh-per-month-as-rent-for-a-flat-in-the-same-building-as-wife-deepika-padukone/articleshow/73067850.cms,ranveer singh pays rs 7 25 lakh per month as rent for a flat in the same building as wife deepika padukone
36,44380,896239230,19200102,192001,1920,1920.0055,,,,,,,,,,,COP,POLICE,,,,,,COP,,,1,180," Use unconventional violence, not specified below",180,18,4,-9.0,2,1,2,-10.0840336134454,0,,,,,,,,5,"Uttar Pradesh, Uttar Pradesh, India",IN,IN36,17938,27.25,80.75,-2113996,4,"Unnao, Uttar Pradesh, India",IN,IN36,17941.0,26.5333,80.5,-2113875,20200102101500,https://www.business-standard.com/article/pti-stories/up-police-submits-charge-sheet-in-connection-with-death-of-23-yr-old-unnao-rape-victim-120010200600_1.html,up police submits charge sheet in connection with death of 23 yr old unnao rape victim 120010200600 1
37,44558,896239408,19200102,192001,1920,1920.0055,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,20," Appeal, not specified below",20,2,1,3.0,10,1,10,-7.5,1,India,IN,IN,,20.0,77.0,IN,0,,,,,,,,1,India,IN,IN,,20.0,77.0,IN,20200102101500,https://www.mid-day.com/articles/man-cuts-his-genitals-with-knife-after-wife-leaves-home-during-quarrel/22363845,man cuts his genitals with knife after wife leaves home during quarrel
38,44926,896239776,19200102,192001,1920,1920.0055,JUD,HIGH COURT,,,,,,JUD,,,,,,,,,,,,,0,12, Make pessimistic comment,12,1,1,-0.4,10,1,10,-10.8832807570978,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,0,,,,,,,,4,"Delhi, Delhi, India",IN,IN07,17911.0,28.6667,77.2167,-2094230,20200102101500,https://www.business-standard.com/article/pti-stories/two-men-convicted-in-minor-girl-s-rape-case-23-years-after-incident-120010200572_1.html,two men convicted in minor girl s rape case 23 years after incident 120010200572 1
39,47219,896243535,19200102,192001,1920,1920.0055,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,1821, Sexually assault,182,18,4,-9.0,4,1,4,-10.8225108225108,4,"Rae Bareli, Uttar Pradesh, India",IN,IN36,17934,26.2167,81.2333,-2108528,0,,,,,,,,4,"Rae Bareli, Uttar Pradesh, India",IN,IN36,17934.0,26.2167,81.2333,-2108528,20200102104500,https://www.thehindu.com/news/national/other-states/charge-sheet-filed-in-death-of-unnao-rape-victim-who-was-set-ablaze/article30459315.ece,charge sheet filed in death of unnao rape victim who was set ablaze
40,47581,896243897,19200102,192001,1920,1920.0055,IND,UTTAR PRADESH,IND,,,,,,,,COP,POLICE,,,,,,COP,,,1,173," Arrest, detain, or charge with legal action ",173,17,4,-5.0,6,1,6,-10.2272727272728,4,"Rae Bareli, Uttar Pradesh, India",IN,IN36,17934,26.2167,81.2333,-2108528,4,"Rae Bareli, Uttar Pradesh, India",IN,IN36,17934,26.2167,81.2333,-2108528,4,"Rae Bareli, Uttar Pradesh, India",IN,IN36,17934.0,26.2167,81.2333,-2108528,20200102104500,https://www.timesnownews.com/mirror-now/in-focus/article/police-submits-charge-sheet-in-connection-with-death-of-23-yr-old-unnao-rape-victim/534807,police submits charge sheet in connection with death of 23 yr old unnao rape victim
41,55755,896259654,19200102,192001,1920,1920.0055,,,,,,,,,,,COP,POLICE,,,,,,COP,,,1,180," Use unconventional violence, not specified below",180,18,4,-9.0,2,1,2,-10.6227106227106,0,,,,,,,,4,"Rae Bareli, Uttar Pradesh, India",IN,IN36,17934,26.2167,81.2333,-2108528,4,"Rae Bareli, Uttar Pradesh, India",IN,IN36,17934.0,26.2167,81.2333,-2108528,20200102124500,https://www.oneindia.com/india/charge-sheet-filed-in-connection-with-death-of-23-yr-old-unnao-rape-victim-who-was-set-ablaze-3007146.html,charge sheet filed in connection with death of 23 yr old unnao rape victim who was set ablaze 3007146
42,61311,896268061,20190102,201901,2019,2019.0055,IND,MUMBAI,IND,,,,,,,,MED,TELEVISION,,,,,,MED,,,1,81," Ease administrative sanctions, not specified below",81,8,2,5.0,4,1,4,-15.3846153846154,4,"Mumbai, Maharashtra, India",IN,IN16,70184,18.975,72.8258,-2092174,4,"Mumbai, Maharashtra, India",IN,IN16,70184,18.975,72.8258,-2092174,4,"Mumbai, Maharashtra, India",IN,IN16,70184.0,18.975,72.8258,-2092174,20200102134500,https://www.indiatvnews.com/news/india/rape-accused-mumbai-surgeon-doctor-viral-desai-gets-bail-575705,rape accused mumbai surgeon doctor viral desai gets bail 575705
