State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,0,0,0,0,0,0,0,0,0,1,0,1,2
Andhra Pradesh ,3,6,10,10,7,10,12,4,7,10,17,9,105
Assam ,1,4,0,2,5,3,6,2,5,0,5,0,33
Bihar ,28,31,60,49,72,48,56,35,26,18,76,31,530
Chandigarh ,2,5,0,1,3,6,1,1,4,5,2,4,34
Chhattisgarh ,2,5,8,5,7,9,3,5,3,4,11,8,70
Dadra and Nagar Haveli ,0,0,0,0,0,0,0,0,1,1,1,0,3
Daman & Diu ,0,0,0,0,0,0,0,0,0,0,2,0,2
Delhi ,120,97,140,94,192,139,146,122,123,92,188,145,1598
Goa ,0,1,1,0,0,0,0,1,0,0,3,1,7
Gujarat ,4,8,21,11,14,6,6,11,8,7,9,9,114
Haryana ,72,61,69,48,92,78,90,71,64,51,88,61,845
Himachal Pradesh ,2,4,1,3,8,3,4,4,1,1,9,4,44
Jammu and Kashmir ,2,1,5,0,8,2,4,4,4,4,6,1,41
Jharkhand ,17,19,16,20,11,17,10,10,9,7,32,16,184
Karnataka ,11,22,39,28,47,9,35,25,23,14,43,26,322
Kerala ,6,10,14,4,3,4,2,3,5,5,10,2,68
Ladakh ,1,0,0,0,0,0,0,0,0,0,0,0,1
Lakshadweep ,0,1,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh ,34,32,36,36,56,29,37,24,27,32,53,35,431
Maharashtra ,17,35,68,28,57,18,35,27,42,28,44,28,427
Manipur ,0,0,0,1,0,0,0,0,0,0,1,0,2
Meghalaya ,0,0,0,0,0,0,0,1,0,0,2,0,3
Odisha ,8,3,9,4,11,12,10,8,8,4,11,3,91
Pondicherry ,1,0,5,1,0,0,0,1,2,0,1,0,11
Punjab ,8,11,28,10,33,14,13,16,14,10,32,21,210
Rajasthan ,57,37,53,45,81,50,61,37,45,32,68,49,615
Sikkim ,1,0,0,0,0,0,0,0,0,0,0,1,2
Tamil Nadu ,9,19,35,19,26,10,16,16,20,13,30,14,227
Telangana ,8,6,6,15,14,6,10,14,11,9,27,12,138
Tripura ,0,0,0,0,0,1,0,1,0,0,1,1,4
Uttar Pradesh ,731,575,621,599,906,837,867,517,524,410,739,623,7949
Uttarakhand ,20,11,18,14,27,18,26,17,12,13,33,14,223
West Bengal ,20,17,24,18,26,18,26,16,12,11,37,29,254
Total ,1185,1021,1287,1065,1706,1347,1476,993,1000,782,1581,1148,14591
