State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,0,0,0,1,0,0,0,1,0,0,0,0,2
Andhra Pradesh ,4,3,1,1,2,1,6,5,4,7,3,3,40
Arunachal Pradesh ,0,0,0,1,0,0,0,2,1,0,0,0,4
Assam ,1,2,2,0,4,1,0,3,0,1,2,2,18
Bihar ,26,30,35,27,42,16,40,33,32,33,37,36,387
Chandigarh ,1,0,0,0,0,1,0,3,0,1,0,3,9
Chhattisgarh ,4,2,4,7,5,2,6,5,2,3,5,4,49
Dadra and Nagar Haveli ,0,0,0,1,0,0,1,0,0,0,0,0,2
Delhi ,58,85,86,112,127,110,139,120,76,81,88,70,1152
Goa ,1,0,0,0,0,1,0,1,0,0,0,0,3
Gujarat ,1,1,4,0,2,1,1,3,0,0,0,2,15
Haryana ,21,31,19,25,29,15,37,35,17,25,26,34,314
Himachal Pradesh ,0,2,1,2,2,1,4,0,1,0,5,0,18
Jammu and Kashmir ,0,3,1,0,1,0,2,2,0,2,0,1,12
Jharkhand ,6,14,4,20,16,4,12,9,16,8,8,5,122
Karnataka ,0,0,2,2,5,1,4,2,2,3,1,2,24
Kerala ,0,1,1,3,4,2,0,0,1,0,0,1,13
Madhya Pradesh ,18,32,28,52,29,13,43,39,40,33,29,36,392
Maharashtra ,18,16,12,16,11,15,10,13,9,22,18,22,182
Manipur ,0,0,0,0,0,0,0,1,1,0,0,0,2
Mizoram ,0,0,0,0,1,0,0,0,0,0,0,0,1
Nagaland ,0,0,0,0,1,0,0,0,0,0,0,0,1
Odisha ,4,4,1,1,5,4,8,6,1,3,6,5,48
Pondicherry ,0,0,0,1,1,0,0,0,0,1,0,0,3
Punjab ,2,3,5,5,10,7,4,2,2,6,5,8,59
Rajasthan ,17,28,26,36,38,17,40,44,28,42,33,42,391
Tamil Nadu ,2,7,6,6,7,1,3,3,3,3,8,4,53
Telangana ,1,1,0,0,3,1,2,2,1,5,3,3,22
Tripura ,0,0,0,1,0,0,0,0,0,2,0,0,3
Uttar Pradesh ,207,188,176,312,380,228,413,306,209,353,265,333,3370
Uttarakhand ,14,19,10,31,34,22,38,36,14,33,19,18,288
West Bengal ,4,5,2,2,5,4,5,2,0,4,0,1,34
Total ,410,477,426,665,764,468,818,678,460,671,561,635,7033
