State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,4,0,1,0,0,0,0,4,0,0,1,0,10
Andhra Pradesh ,14,8,7,11,8,11,12,8,17,11,9,3,119
Arunachal Pradesh ,0,0,0,1,0,0,0,0,0,0,0,1,2
Assam ,2,4,4,0,6,5,0,7,4,3,1,3,39
Bihar ,60,36,31,44,51,32,72,63,33,50,44,48,564
Chandigarh ,3,2,9,8,6,2,8,5,1,4,1,1,50
Chhattisgarh ,10,5,7,6,5,3,7,8,0,10,8,11,80
Dadra and Nagar Haveli ,1,0,0,0,0,0,0,1,0,0,1,0,3
Daman & Diu ,0,0,0,1,1,0,0,0,0,0,0,1,3
Delhi ,170,166,183,251,291,267,349,265,169,196,194,205,2706
Goa ,1,0,3,1,1,0,1,3,1,0,0,1,12
Gujarat ,8,5,8,18,10,9,18,16,8,5,7,10,122
Haryana ,69,51,83,94,131,95,150,105,64,95,68,80,1085
Himachal Pradesh ,6,8,4,5,5,3,14,8,2,4,5,5,69
Jammu and Kashmir ,3,2,4,4,2,3,3,4,3,3,3,3,37
Jharkhand ,23,21,15,27,19,24,33,19,17,21,19,24,262
Karnataka ,12,7,10,10,10,13,20,8,12,11,8,8,129
Kerala ,4,6,3,3,9,2,3,5,0,2,4,4,45
Madhya Pradesh ,52,45,59,39,47,59,74,52,40,68,76,78,689
Maharashtra ,54,40,57,56,39,45,44,35,26,39,32,32,499
Manipur ,0,0,0,1,2,0,0,1,0,0,0,0,4
Meghalaya ,0,1,0,0,1,2,0,0,1,1,0,0,6
Mizoram ,0,1,0,0,0,0,0,0,0,0,0,0,1
Nagaland ,0,0,0,2,0,1,0,1,0,0,0,0,4
Odisha ,7,4,14,4,7,8,6,11,4,6,7,6,84
Pondicherry ,1,0,0,1,3,1,1,0,0,3,2,2,14
Punjab ,27,23,23,11,41,25,31,30,21,18,22,13,285
Rajasthan ,112,75,148,79,136,103,143,152,96,153,101,123,1421
Sikkim ,0,0,0,0,0,0,0,1,0,0,0,0,1
Tamil Nadu ,19,10,24,12,19,16,25,18,11,20,17,20,211
Telangana ,8,9,8,6,7,6,9,11,8,2,3,7,84
Tripura ,0,0,0,0,0,1,0,0,0,2,0,2,5
Uttar Pradesh ,622,457,482,483,669,431,1299,1294,765,932,767,621,8822
Uttarakhand ,32,26,16,26,37,22,53,38,31,27,31,38,377
West Bengal ,21,20,27,23,14,20,31,25,12,23,14,16,246
Total ,1345,1032,1230,1227,1577,1209,2406,2198,1346,1709,1445,1366,18090
