State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,0,0,0,1,0,1,0,0,0,0,0,0,2
Andhra Pradesh ,7,3,3,15,6,8,8,8,10,4,6,5,83
Arunachal Pradesh ,2,0,0,0,0,0,0,0,1,0,0,0,3
Assam ,3,3,3,1,6,6,1,1,1,3,1,0,29
Bihar ,43,30,32,57,51,102,54,35,66,45,40,37,592
Chandigarh ,0,1,1,4,3,1,3,2,1,4,3,2,25
Chhattisgarh ,9,0,3,11,7,15,7,6,8,9,4,5,84
Dadra and Nagar Haveli ,1,1,0,0,0,0,0,0,0,0,0,2,4
Daman & Diu ,0,0,0,2,0,0,0,1,0,1,0,1,5
Delhi ,201,119,133,271,257,411,310,203,274,212,176,196,2763
Goa ,1,1,0,0,0,2,0,0,1,0,0,2,7
Gujarat ,13,9,7,10,14,20,7,11,10,10,8,8,127
Haryana ,112,65,59,116,91,208,125,91,111,112,78,81,1249
Himachal Pradesh ,2,4,2,10,8,7,9,3,8,4,2,5,64
Jammu and Kashmir ,3,5,2,4,0,7,3,0,7,2,4,1,38
Jharkhand ,18,14,10,22,22,37,30,18,24,20,11,12,238
Karnataka ,7,13,7,16,11,19,12,9,14,18,16,12,154
Kerala ,5,2,3,7,2,9,6,6,7,7,5,1,60
Madhya Pradesh ,59,35,39,56,31,94,69,40,65,59,44,48,639
Maharashtra ,47,21,30,39,42,42,38,18,43,46,25,23,414
Manipur ,0,0,2,1,0,0,0,0,0,1,0,0,4
Meghalaya ,0,0,0,0,0,0,1,0,0,0,1,1,3
Mizoram ,0,0,0,0,0,0,0,1,0,0,0,0,1
Nagaland ,0,0,0,1,0,0,0,0,0,0,0,0,1
Odisha ,9,9,7,8,3,13,6,1,3,7,6,6,78
Pondicherry ,2,2,1,0,1,0,0,5,1,2,3,1,18
Punjab ,31,16,14,22,19,41,24,16,17,16,10,18,244
Rajasthan ,84,49,71,85,79,186,118,74,73,74,73,79,1045
Sikkim ,0,0,0,0,0,1,0,0,0,0,0,0,1
Tamil Nadu ,30,14,23,22,15,26,20,12,27,11,25,14,239
Telangana ,16,15,5,18,18,20,13,9,9,14,9,15,161
Tripura ,0,1,0,0,0,0,0,1,0,0,0,1,3
Uttar Pradesh ,1226,723,624,1383,873,2400,1819,1028,1297,1132,749,1137,14391
Uttarakhand ,29,23,18,35,20,49,34,24,32,34,24,24,346
West Bengal ,13,19,13,26,27,30,42,15,24,16,14,16,255
Total ,1973,1197,1112,2243,1606,3755,2759,1638,2134,1863,1337,1753,23370
