State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,0,0,0,0,2,0,0,1,0,0,0,0,3
Andhra Pradesh ,5,4,4,2,6,2,1,2,4,2,3,1,36
Assam ,3,0,1,0,0,1,2,1,1,0,1,1,11
Bihar ,40,17,16,22,14,15,26,18,14,16,8,14,220
Chandigarh ,1,0,0,1,1,0,0,2,1,0,0,1,7
Chhattisgarh ,1,2,0,3,0,1,1,1,4,0,1,0,14
Delhi ,61,50,81,54,81,51,67,80,45,63,46,40,719
Goa ,0,0,0,0,2,0,1,0,0,0,1,0,4
Gujarat ,1,2,1,4,0,2,1,1,2,0,1,1,16
Haryana ,13,10,16,16,14,19,18,24,12,14,9,19,184
Himachal Pradesh ,0,2,1,3,3,4,0,4,1,1,0,0,19
Jammu and Kashmir ,0,0,0,1,1,0,0,0,0,0,1,0,3
Jharkhand ,11,7,13,3,8,13,8,12,6,6,3,4,94
Karnataka ,2,3,4,3,1,3,0,1,0,4,2,2,25
Kerala ,1,2,0,1,2,1,2,3,0,3,0,1,16
Madhya Pradesh ,22,13,31,17,16,27,19,37,39,16,3,18,258
Maharashtra ,6,9,12,8,8,5,10,8,2,6,1,7,82
Manipur ,0,1,0,0,0,0,0,0,0,0,0,0,1
Meghalaya ,0,1,0,0,0,0,0,0,0,0,0,1,2
Odisha ,6,3,2,2,6,0,2,3,2,0,1,3,30
Pondicherry ,0,1,0,0,0,2,0,0,0,1,0,0,4
Punjab ,2,5,5,4,2,4,3,5,2,0,3,5,40
Rajasthan ,34,11,17,17,22,14,15,20,11,3,7,15,186
Tamil Nadu ,1,2,2,2,5,4,2,5,3,2,3,7,38
Telangana ,1,2,0,2,1,1,0,2,3,1,0,1,14
Tripura ,1,0,0,0,0,0,0,0,0,0,0,1,2
Uttar Pradesh ,199,145,191,197,127,125,145,164,124,93,60,140,1710
Uttarakhand ,26,22,26,27,14,18,18,23,13,17,6,19,229
West Bengal ,2,6,3,2,5,3,5,3,3,4,4,5,45
Total ,439,320,426,391,341,315,346,420,292,252,164,306,4012
