State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,0,0,0,0,0,0,1,0,0,0,0,0,1
Andhra Pradesh ,1,3,2,1,0,3,0,3,0,2,0,5,20
Arunachal Pradesh ,0,0,1,0,0,0,0,0,0,0,0,0,1
Assam ,0,0,2,0,0,1,3,0,3,0,1,2,12
Bihar ,43,41,22,39,32,18,96,19,30,45,11,43,439
Chandigarh ,0,1,0,0,0,2,0,1,1,0,0,2,7
Chhattisgarh ,3,4,2,3,3,7,8,2,3,2,0,2,39
Delhi ,55,57,60,64,58,70,84,40,66,32,59,72,717
Goa ,0,0,1,0,0,0,1,2,0,0,0,0,4
Gujarat ,1,2,1,2,3,1,2,1,1,1,1,4,20
Haryana ,19,15,23,16,20,21,59,19,20,20,14,32,278
Himachal Pradesh ,1,0,0,2,1,0,6,1,2,1,0,2,16
Jammu and Kashmir ,0,2,0,1,0,1,1,1,2,1,1,2,12
Jharkhand ,7,7,6,7,4,5,18,2,3,5,8,13,85
Karnataka ,1,2,2,5,1,1,5,1,0,0,0,2,20
Kerala ,0,2,0,3,2,4,2,0,1,1,1,6,22
Madhya Pradesh ,28,32,18,18,22,36,67,10,28,29,20,27,335
Maharashtra ,19,11,12,12,6,13,18,3,14,7,1,22,138
Meghalaya ,0,0,0,0,0,0,0,0,1,0,0,0,1
Nagaland ,0,0,0,1,0,0,0,0,0,0,0,0,1
Odisha ,4,1,3,5,4,8,5,2,1,1,2,9,45
Pondicherry ,0,0,0,1,0,0,0,0,0,0,0,0,1
Punjab ,4,3,5,3,3,5,6,4,8,1,1,9,52
Rajasthan ,19,26,16,21,12,29,50,15,34,29,13,27,291
Tamil Nadu ,2,5,2,7,4,5,3,0,5,1,1,6,41
Telangana ,1,4,0,1,1,1,0,1,2,1,0,0,12
Uttar Pradesh ,210,246,222,236,209,407,279,210,201,245,106,220,2791
Uttarakhand ,23,22,22,14,15,24,31,19,22,25,8,25,250
West Bengal ,4,7,3,5,5,3,4,1,6,1,2,8,49
Total ,445,493,425,467,405,665,749,357,454,450,250,540,5700
